"","TWIST1","MIR200","CD44s","CD24","MIR190","MIR1199","ZEB1","TGFB","SNAIL1","MIR34","MIR340","HAS2","GRHL2","ESRP1","HA","MIR129"
"MIR129",-0.234273182957393,0.106902190593421,0.224828918322296,0.224828918322296,0.22512698091544,0.22512698091544,-0.225152037292288,0.00459454567648681,0.0191303634412835,-0.121666183908481,-0.22512698091544,-0.22512698091544,-0.22512698091544,-0.22512698091544,-0.224828918322296,0.26036164070172
"HAS2",0.113788971812501,0.110453050629613,0.0995361781076067,0.0995361781076067,0.0997906310338153,0.0997906310338153,-0.0993658221977915,-0.00457043519923844,-0.0805615370436422,-0.0901761252446184,-0.0997906310338153,-0.0997906310338153,-0.0997906310338153,-0.0997906310338153,0.000463821892393321,-0.113788971812501
"MIR340",0.114062944415241,0.11024230247366,0.0997906310338153,0.0997906310338153,0.0993658221977915,0.0993658221977915,-0.0992764566928764,-0.00466705355672637,-0.0805615370436422,-0.0898600030106879,-0.0993658221977915,-0.0993658221977915,-0.0993658221977915,-0.0993658221977915,-0.0997906310338153,-0.114062944415241
"MIR1199",0.114062944415241,0.11024230247366,0.0997906310338153,0.0997906310338153,0.0993658221977915,0.0993658221977915,-0.0992764566928764,-0.00466705355672637,-0.0805615370436422,-0.0898600030106879,-0.0993658221977915,-0.0993658221977915,-0.0993658221977915,-0.0993658221977915,-0.0997906310338153,-0.114062944415241
"HA",0.114062944415241,0.11024230247366,0.0997906310338153,0.0997906310338153,0.0993658221977915,0.0993658221977915,-0.0992764566928764,-0.00466705355672637,-0.0805615370436422,-0.0898600030106879,-0.0993658221977915,-0.0993658221977915,-0.0993658221977915,-0.0993658221977915,-0.0997906310338153,-0.114062944415241
"CD44s",0.114062944415241,0.11024230247366,0.0997906310338153,0.0997906310338153,0.0993658221977915,0.0993658221977915,-0.0992764566928764,-0.00466705355672637,-0.0805615370436422,-0.0898600030106879,-0.0993658221977915,-0.0993658221977915,-0.0993658221977915,-0.0993658221977915,-0.0997906310338153,-0.114062944415241
"CD24",0.114062944415241,0.11024230247366,0.0997906310338153,0.0997906310338153,0.0993658221977915,0.0993658221977915,-0.0992764566928764,-0.00466705355672637,-0.0805615370436422,-0.0898600030106879,-0.0993658221977915,-0.0993658221977915,-0.0993658221977915,-0.0993658221977915,-0.0997906310338153,-0.114062944415241
"SNAIL1",-0.132169022393183,-0.0194720442756614,0.0913276905865102,0.0913276905865102,0.0913424029596159,0.0913424029596159,-0.0913727121129803,0.0777764369106205,-0.066635324083613,-0.113892754978977,-0.0913424029596159,-0.0913424029596159,-0.0913424029596159,-0.0913424029596159,-0.0913276905865102,0.132169022393183
"TGFB",-0.132153827134104,-0.0194630393229374,0.0912420007835967,0.0912420007835967,0.0913276905865102,0.0913276905865102,-0.0913424029596159,0.0778251936146673,0.0333726701605312,-0.113865740120805,-0.0913276905865102,-0.0913276905865102,-0.0913276905865102,-0.0913276905865102,-0.0912420007835967,0.132153827134104
"MIR34",-0.132153827134104,-0.0194630393229374,0.0912420007835967,0.0912420007835967,0.0913276905865102,0.0913276905865102,-0.0913424029596159,0.0778251936146673,0.0333726701605312,-0.113865740120805,-0.0913276905865102,-0.0913276905865102,-0.0913276905865102,-0.0913276905865102,-0.0912420007835967,0.132153827134104
"MIR190",-0.132197821854737,-0.0195939636486772,0.0909913742171807,0.0909913742171807,0.0912420007835967,0.0912420007835967,-0.0913276905865102,0.177777777777778,0.0333262449051923,-0.113891924985953,-0.0912420007835967,-0.0912420007835967,-0.0912420007835967,-0.0912420007835967,-0.0909913742171807,0.132197821854737
"MIR200",0.157661540271332,0.191051155398262,0.0863411974919601,0.0863411974919601,0.0859867671122132,0.0859867671122132,-0.0858989090907759,-0.20165967206219,-0.107466392186341,0.0144896115625205,-0.0859867671122132,-0.0859867671122132,-0.0859867671122132,-0.0859867671122132,-0.0863411974919601,-0.157661540271332
"ZEB1",-0.114156431482863,-0.110187467891316,-0.0993658221977915,-0.0993658221977915,-0.0992764566928764,-0.0992764566928764,-0.000733729718450851,0.00469957388192962,0.0805289743604772,0.0898051684283447,0.0992764566928764,0.0992764566928764,0.0992764566928764,0.0992764566928764,0.0993658221977915,0.114156431482863
"GRHL2",0.0873702066851529,0.00842128220280714,0.000278545964409839,-0.0997214540355902,-0.000103619640685703,-0.000103619640685703,5.95084805621915e-05,-0.00407370232261896,-0.0654480886508999,0.00819477885779929,0.000103619640685703,0.000103619640685703,0.000103619640685703,0.000103619640685703,-0.000278545964409839,-0.0873702066851529
"ESRP1",-0.113788971812501,-0.110453050629613,-0.199536178107607,-0.0995361781076067,-0.0997906310338153,-0.0997906310338153,0.0993658221977915,0.00457043519923844,0.0805615370436422,0.0901761252446184,0.0997906310338153,0.0997906310338153,0.0997906310338153,0.0997906310338153,0.0995361781076067,0.113788971812501
"TWIST1",0.134220881702163,-0.106963785912177,-0.22512698091544,-0.22512698091544,-0.225152037292288,-0.225152037292288,0.22516943464789,-0.00456636872523293,-0.0191440865097616,0.121635386249103,0.225152037292288,0.225152037292288,0.225152037292288,0.225152037292288,0.22512698091544,-0.260283168297849
