"","MIR340","MIR1199","HAS2","CD44s","CD24","MIR200","MIR34","MIR129","TGFB","ZEB1","SNAIL1","TWIST1","HA","MIR190","GRHL2","ESRP1"
"MIR1199",0.167042511194001,0.167042511194001,0.167042511194001,0.167467320030025,0.167467320030025,0.153847901619216,0.126932409321682,0.122055498946393,-0.00637645526612808,-0.167310607708746,-0.0892234808372936,-0.122055498946393,-0.167467320030025,-0.167042511194001,-0.167042511194001,-0.167042511194001
"CD44s",0.167042511194001,0.167042511194001,0.167042511194001,0.167467320030025,0.167467320030025,0.153847901619216,0.126932409321682,0.122055498946393,-0.00637645526612808,-0.167310607708746,-0.0892234808372936,-0.122055498946393,-0.167467320030025,-0.167042511194001,-0.167042511194001,-0.167042511194001
"CD24",0.167042511194001,0.167042511194001,0.167042511194001,0.167467320030025,0.167467320030025,0.153847901619216,0.126932409321682,0.122055498946393,-0.00637645526612808,-0.167310607708746,-0.0892234808372936,-0.122055498946393,-0.167467320030025,-0.167042511194001,-0.167042511194001,-0.167042511194001
"HAS2",0.167467320030025,0.167467320030025,0.167467320030025,0.163141620284477,0.163141620284477,0.153531779385286,0.127775401945497,0.120685635932695,-0.00627983690864015,-0.167042511194001,-0.0888450513197913,-0.120685635932695,-0.263141620284477,-0.167467320030025,-0.167467320030025,-0.167467320030025
"MIR200",0.158239449101504,0.158239449101504,0.158239449101504,0.15879641112682,0.15879641112682,0.234798062485914,0.0223372963743247,0.165648141056118,-0.203442395492573,-0.158713882417265,-0.116019348714306,-0.165648141056118,-0.15879641112682,-0.158239449101504,-0.158239449101504,-0.158239449101504
"MIR129",0.0603368419840573,0.0603368419840573,0.0603368419840573,0.059144591611479,0.059144591611479,0.0604785284840068,0.0146282686443021,0.308069913175679,-0.0136799312535192,-0.060963251405255,-0.0629373692737894,-0.27823469779166,-0.059144591611479,-0.0603368419840573,-0.0603368419840573,-0.0603368419840573
"GRHL2",0.0257935621105328,0.0257935621105328,0.0257935621105328,0.0271948359958831,-0.0728051640041169,0.0273186494010599,0.00735182363322054,0.091687305515526,-0.0048593202135,-0.0261023402313974,-0.0698859133577606,-0.091687305515526,-0.0271948359958831,-0.0257935621105328,-0.0257935621105328,-0.0257935621105328
"SNAIL1",0.013570742833301,0.013570742833301,0.013570742833301,0.0141445253844265,0.0141445253844265,-0.0630095653673095,0.0774425934755198,-0.14049174546582,0.0799647647468513,-0.0137525977534869,-0.057778523416369,0.14049174546582,-0.0141445253844265,-0.013570742833301,-0.013570742833301,-0.013570742833301
"TGFB",0.0141445253844265,0.0141445253844265,0.0141445253844265,0.0149157336106476,0.0149157336106476,-0.0625683226838336,0.0777037371045158,-0.14029420709779,0.0801435393283563,-0.013570742833301,0.0419576665268718,0.14029420709779,-0.0149157336106476,-0.0141445253844265,-0.0141445253844265,-0.0141445253844265
"MIR34",-0.0141445253844265,-0.0141445253844265,-0.0141445253844265,-0.0149157336106476,-0.0149157336106476,0.0625683226838336,-0.0777037371045158,0.14029420709779,-0.0801435393283563,0.013570742833301,-0.0419576665268718,-0.14029420709779,0.0149157336106476,0.0141445253844265,0.0141445253844265,0.0141445253844265
"MIR190",-0.0149157336106476,-0.0149157336106476,-0.0149157336106476,-0.0141638539113995,-0.0141638539113995,0.062385028627798,-0.0784630981938061,0.14016222293589,-0.179621965122572,0.0141445253844265,-0.0417255402501773,-0.14016222293589,0.0141638539113995,0.0149157336106476,0.0149157336106476,0.0149157336106476
"TWIST1",-0.060963251405255,-0.060963251405255,-0.060963251405255,-0.0603368419840573,-0.0603368419840573,-0.060971291034053,-0.0149054475787031,-0.308880794682349,0.0139898777173118,0.0615199667845173,0.0633353382596546,0.179071517875342,0.0603368419840573,0.060963251405255,0.060963251405255,0.060963251405255
"ZEB1",-0.167310607708746,-0.167310607708746,-0.167310607708746,-0.167042511194001,-0.167042511194001,-0.154158630919161,-0.126950687515796,-0.122772233131498,0.00673417884336385,0.068013470090329,0.0890932301046333,0.122772233131498,0.167042511194001,0.167310607708746,0.167310607708746,0.167310607708746
"ESRP1",-0.167467320030025,-0.167467320030025,-0.167467320030025,-0.263141620284477,-0.163141620284477,-0.153531779385286,-0.127775401945497,-0.120685635932695,0.00627983690864015,0.167042511194001,0.0888450513197913,0.120685635932695,0.163141620284477,0.167467320030025,0.167467320030025,0.167467320030025
"MIR340",-0.167042511194001,-0.167042511194001,-0.167042511194001,-0.167467320030025,-0.167467320030025,-0.153847901619216,-0.126932409321682,-0.122055498946393,0.00637645526612808,0.167310607708746,0.0892234808372936,0.122055498946393,0.167467320030025,0.167042511194001,0.167042511194001,0.167042511194001
"HA",-0.167042511194001,-0.167042511194001,-0.167042511194001,-0.167467320030025,-0.167467320030025,-0.153847901619216,-0.126932409321682,-0.122055498946393,0.00637645526612808,0.167310607708746,0.0892234808372936,0.122055498946393,0.167467320030025,0.167042511194001,0.167042511194001,0.167042511194001
