"","MIR340","MIR1199","HAS2","GRHL2","ESRP1","HA","MIR200","MIR129","SNAIL1","TWIST1","TGFB","ZEB1","MIR34","CD44s","CD24","MIR190"
"GRHL2",0.439179041877311,0.439179041877311,0.439179041877311,0.439179041877311,0.439179041877311,0.428605793469668,0.327142352941913,0.15034046170003,0.147442455545655,0.0966823000459095,0.0199928502687536,-0.447163161859667,-0.399521959882204,-0.428605793469668,-0.528605793469668,-0.439179041877311
"MIR340",0.349124861149036,0.349124861149036,0.349124861149036,0.349124861149036,0.349124861149036,0.339184334386079,0.236144214847715,0.130965573561545,0.122986080660522,0.0785867095568949,0.0123744215921657,-0.356423044050436,-0.2843810835251,-0.339184334386079,-0.339184334386079,-0.349124861149036
"MIR1199",0.349124861149036,0.349124861149036,0.349124861149036,0.349124861149036,0.349124861149036,0.339184334386079,0.236144214847715,0.130965573561545,0.122986080660522,0.0785867095568949,0.0123744215921657,-0.356423044050436,-0.2843810835251,-0.339184334386079,-0.339184334386079,-0.349124861149036
"HA",0.349124861149036,0.349124861149036,0.349124861149036,0.349124861149036,0.349124861149036,0.339184334386079,0.236144214847715,0.130965573561545,0.122986080660522,0.0785867095568949,0.0123744215921657,-0.356423044050436,-0.2843810835251,-0.339184334386079,-0.339184334386079,-0.349124861149036
"HAS2",0.339184334386079,0.339184334386079,0.339184334386079,0.339184334386079,0.339184334386079,0.426716141001855,0.231191633182805,0.127586578127755,0.121566969969889,0.0775821433468492,0.010731909514871,-0.349124861149036,-0.277004898066723,-0.326716141001855,-0.326716141001855,-0.339184334386079
"ESRP1",0.339184334386079,0.339184334386079,0.339184334386079,0.339184334386079,0.339184334386079,0.326716141001855,0.231191633182805,0.127586578127755,0.121566969969889,0.0775821433468492,0.010731909514871,-0.349124861149036,-0.277004898066723,-0.426716141001855,-0.326716141001855,-0.339184334386079
"SNAIL1",0.185203246138356,0.185203246138356,0.185203246138356,0.185203246138356,0.185203246138356,0.183158226276653,0.0190053848438491,0.109618652256567,-0.0394425285290595,0.0341494637456139,0.0849870308340362,-0.18712282585143,-0.175940413039443,-0.183158226276653,-0.183158226276653,-0.185203246138356
"TGFB",0.183158226276653,0.183158226276653,0.183158226276653,0.183158226276653,0.183158226276653,0.180416152583422,0.0182939935786532,0.108539788861946,0.0605175002502194,0.0332225529417847,0.0846782383750731,-0.185203246138356,-0.174148427447368,-0.180416152583422,-0.180416152583422,-0.183158226276653
"TWIST1",0.0334173774628834,0.0334173774628834,0.0334173774628834,0.0334173774628834,0.0334173774628834,0.0326406297805983,0.020243601297006,9.62259928780315e-05,-0.000135167811120101,0.000883330492092017,-0.00162118964517838,-0.0344090267321945,-0.0167148742174094,-0.0326406297805983,-0.0326406297805983,-0.0334173774628834
"MIR129",-0.0326406297805983,-0.0326406297805983,-0.0326406297805983,-0.0326406297805983,-0.0326406297805983,-0.0332367549668874,-0.0200588153407386,0.00108086006519155,-0.000537262544307373,-0.1002034141741,0.002156551719002,0.0334173774628834,0.0159449327329622,0.0332367549668874,0.0332367549668874,0.0326406297805983
"MIR190",-0.180416152583422,-0.180416152583422,-0.180416152583422,-0.180416152583422,-0.180416152583422,-0.173649235290189,-0.0171156746469957,-0.10858378358258,-0.0591247425900523,-0.0327386110148159,-0.1850101492333,0.183158226276653,0.171975083640088,0.173649235290189,0.173649235290189,0.180416152583422
"MIR34",-0.183158226276653,-0.183158226276653,-0.183158226276653,-0.183158226276653,-0.183158226276653,-0.180416152583422,-0.0182939935786532,-0.108539788861946,-0.0605175002502194,-0.0332225529417847,-0.0846782383750731,0.185203246138356,0.174148427447368,0.180416152583422,0.180416152583422,0.183158226276653
"ZEB1",-0.356423044050436,-0.356423044050436,-0.356423044050436,-0.356423044050436,-0.356423044050436,-0.349124861149036,-0.240074026582316,-0.132243230152383,-0.124874716284098,-0.0783685730657762,-0.0131223890718405,0.26095599709108,0.289407586906566,0.349124861149036,0.349124861149036,0.356423044050436
"MIR200",-0.31167297905883,-0.31167297905883,-0.31167297905883,-0.31167297905883,-0.31167297905883,-0.303014751210729,-0.1154825437809,-0.152939630326058,-0.142891169360444,-0.0769250251765531,-0.208956831306485,0.317102604783659,0.345769369972397,0.303014751210729,0.303014751210729,0.31167297905883
"CD44s",-0.349124861149036,-0.349124861149036,-0.349124861149036,-0.349124861149036,-0.349124861149036,-0.339184334386079,-0.236144214847715,-0.130965573561545,-0.122986080660522,-0.0785867095568949,-0.0123744215921657,0.356423044050436,0.2843810835251,0.339184334386079,0.339184334386079,0.349124861149036
"CD24",-0.349124861149036,-0.349124861149036,-0.349124861149036,-0.349124861149036,-0.349124861149036,-0.339184334386079,-0.236144214847715,-0.130965573561545,-0.122986080660522,-0.0785867095568949,-0.0123744215921657,0.356423044050436,0.2843810835251,0.339184334386079,0.339184334386079,0.349124861149036
