"","MIR34","MIR190","MIR1199","HAS2","GRHL2","TWIST1","MIR129","SNAIL1","ZEB1","MIR340","ESRP1","HA","CD44s","CD24","MIR200","TGFB"
"GRHL2",0.260387754874058,0.286534460184409,0.286534460184409,0.286534460184409,0.286534460184409,0.0668021023507996,0.0514843187366255,-0.0520796065837272,-0.28618157090342,-0.286534460184409,-0.286534460184409,-0.28666184871944,-0.28666184871944,-0.38666184871944,-0.260387754874058,-0.27267416268407
"MIR200",0.0759759365666017,0.182915741033179,0.182915741033179,0.182915741033179,0.182915741033179,0.0909411203406541,0.0477892481988002,-0.0638216021972688,-0.182652166968867,-0.182915741033179,-0.182915741033179,-0.182763842299002,-0.182763842299002,-0.182763842299002,-0.0759759365666017,0.0192036992255196
"ESRP1",0.162225814685612,0.157666633620832,0.157666633620832,0.157666633620832,0.157666633620832,0.0472881863234804,0.0323225010283834,-0.0285331867428584,-0.158261365991265,-0.157666633620832,-0.157666633620832,-0.15995670995671,-0.0599567099567099,-0.15995670995671,-0.162225814685612,-0.16448428740518
"MIR1199",0.161277447983821,0.158261365991265,0.158261365991265,0.158261365991265,0.158261365991265,0.0488406977390056,0.0358841448639998,-0.0273032908109757,-0.157576230453583,-0.158261365991265,-0.158261365991265,-0.157666633620832,-0.157666633620832,-0.157666633620832,-0.161277447983821,-0.163614722187789
"HA",0.161277447983821,0.158261365991265,0.158261365991265,0.158261365991265,0.158261365991265,0.0488406977390056,0.0358841448639998,-0.0273032908109757,-0.157576230453583,-0.158261365991265,-0.158261365991265,-0.157666633620832,-0.157666633620832,-0.157666633620832,-0.161277447983821,-0.163614722187789
"CD44s",0.161277447983821,0.158261365991265,0.158261365991265,0.158261365991265,0.158261365991265,0.0488406977390056,0.0358841448639998,-0.0273032908109757,-0.157576230453583,-0.158261365991265,-0.158261365991265,-0.157666633620832,-0.157666633620832,-0.157666633620832,-0.161277447983821,-0.163614722187789
"TGFB",0.0217153670634533,0.139649570851823,0.139649570851823,0.139649570851823,0.139649570851823,0.0661725086536698,0.0131750386496185,-3.60268291617347e-05,-0.139693707971141,-0.139649570851823,-0.139649570851823,-0.13930681164017,-0.13930681164017,-0.13930681164017,-0.0217153670634533,-0.0272027431978921
"MIR34",0.0217153670634533,0.139649570851823,0.139649570851823,0.139649570851823,0.139649570851823,0.0661725086536698,0.0131750386496185,-3.60268291617347e-05,-0.139693707971141,-0.139649570851823,-0.139649570851823,-0.13930681164017,-0.13930681164017,-0.13930681164017,-0.0217153670634533,-0.0272027431978921
"MIR129",0.0052773987284439,0.00600446435914898,0.00600446435914898,0.00600446435914898,0.00600446435914898,0.0389468348662219,-0.108836071160354,-0.00802505284815676,-0.00577895696751781,-0.00600446435914898,-0.00600446435914898,-0.00570640176600442,-0.00570640176600442,-0.00570640176600442,-0.0052773987284439,-0.00496479300775243
"TWIST1",0.00398389703457263,0.00577895696751781,0.00577895696751781,0.00577895696751781,0.00577895696751781,-0.0603732488157864,-0.105043238306574,-0.00809366819054732,-0.00551799663348858,-0.00577895696751781,-0.00577895696751781,-0.00600446435914898,-0.00600446435914898,-0.00600446435914898,-0.00398389703457263,-0.00617640191166903
"ZEB1",-0.161332282566164,-0.157576230453583,-0.157576230453583,-0.157576230453583,-0.157576230453583,-0.0492458083653689,-0.0345441635614134,0.0273032908109757,0.0579735004953472,0.157576230453583,0.157576230453583,0.158261365991265,0.158261365991265,0.158261365991265,0.161332282566164,0.163256998610553
"SNAIL1",-0.0217063621107293,-0.139693707971141,-0.139693707971141,-0.139693707971141,-0.139693707971141,-0.0651544262953656,-0.013585310644756,-0.0993004509068683,0.139511853050955,0.139693707971141,0.139693707971141,0.139649570851823,0.139649570851823,0.139649570851823,0.0217063621107293,0.0280641116360523
"MIR190",-0.0205370481317958,-0.13930681164017,-0.13930681164017,-0.13930681164017,-0.13930681164017,-0.0671843872282409,-0.0162986638145987,-5.68236815160741e-05,0.139649570851823,0.13930681164017,0.13930681164017,0.139808064773002,0.139808064773002,0.139808064773002,0.0205370481317958,-0.071896355901207
"MIR340",-0.161277447983821,-0.158261365991265,-0.158261365991265,-0.158261365991265,-0.158261365991265,-0.0488406977390056,-0.0358841448639998,0.0273032908109757,0.157576230453583,0.158261365991265,0.158261365991265,0.157666633620832,0.157666633620832,0.157666633620832,0.161277447983821,0.163614722187789
"CD24",-0.161277447983821,-0.158261365991265,-0.158261365991265,-0.158261365991265,-0.158261365991265,-0.0488406977390056,-0.0358841448639998,0.0273032908109757,0.157576230453583,0.158261365991265,0.158261365991265,0.157666633620832,0.157666633620832,0.157666633620832,0.161277447983821,0.163614722187789
"HAS2",-0.162225814685612,-0.157666633620832,-0.157666633620832,-0.157666633620832,-0.157666633620832,-0.0472881863234804,-0.0323225010283834,0.0285331867428584,0.158261365991265,0.157666633620832,0.157666633620832,0.0599567099567099,0.15995670995671,0.15995670995671,0.162225814685612,0.16448428740518
