"","MIR34","TWIST1","MIR340","MIR1199","GRHL2","ESRP1","HA","CD44s","CD24","SNAIL1","TGFB","MIR200","ZEB1","MIR190","HAS2","MIR129"
"GRHL2",0.571199522498114,0.450331890134454,0.550650675596652,0.550650675596652,0.550650675596652,0.550650675596652,0.532179338017034,0.532179338017034,0.632179338017034,0.421031328372685,0.398713813098014,0.314765213286055,-0.564854469156423,-0.550650675596652,-0.550650675596652,-0.450331890134454
"MIR340",0.444342549329274,0.429870387039767,0.414063429207285,0.414063429207285,0.414063429207285,0.414063429207285,0.396306419861491,0.396306419861491,0.396306419861491,0.398246960459648,0.264648198319598,0.185949531238171,-0.427021427419975,-0.414063429207285,-0.414063429207285,-0.429870387039767
"MIR1199",0.444342549329274,0.429870387039767,0.414063429207285,0.414063429207285,0.414063429207285,0.414063429207285,0.396306419861491,0.396306419861491,0.396306419861491,0.398246960459648,0.264648198319598,0.185949531238171,-0.427021427419975,-0.414063429207285,-0.414063429207285,-0.429870387039767
"HA",0.444342549329274,0.429870387039767,0.414063429207285,0.414063429207285,0.414063429207285,0.414063429207285,0.396306419861491,0.396306419861491,0.396306419861491,0.398246960459648,0.264648198319598,0.185949531238171,-0.427021427419975,-0.414063429207285,-0.414063429207285,-0.429870387039767
"CD44s",0.444342549329274,0.429870387039767,0.414063429207285,0.414063429207285,0.414063429207285,0.414063429207285,0.396306419861491,0.396306419861491,0.396306419861491,0.398246960459648,0.264648198319598,0.185949531238171,-0.427021427419975,-0.414063429207285,-0.414063429207285,-0.429870387039767
"CD24",0.444342549329274,0.429870387039767,0.414063429207285,0.414063429207285,0.414063429207285,0.414063429207285,0.396306419861491,0.396306419861491,0.396306419861491,0.398246960459648,0.264648198319598,0.185949531238171,-0.427021427419975,-0.414063429207285,-0.414063429207285,-0.429870387039767
"TWIST1",0.179113690543162,-0.00447214822666057,0.410785654766013,0.410785654766013,0.410785654766013,0.410785654766013,0.402642332290443,0.402642332290443,0.402642332290443,-0.0669893386001967,0.320772519948213,0.274551388744231,-0.416944318649103,-0.410785654766013,-0.410785654766013,-0.0480744932572579
"ESRP1",0.429063308022635,0.413523355076296,0.396306419861491,0.396306419861491,0.396306419861491,0.396306419861491,0.37569573283859,0.47569573283859,0.37569573283859,0.389732296315845,0.253537087208487,0.179205590247655,-0.414063429207285,-0.396306419861491,-0.396306419861491,-0.413523355076296
"MIR200",0.381585784277507,0.372509972251639,0.255283662313272,0.255283662313272,0.255283662313272,0.255283662313272,0.245714042060108,0.245714042060108,0.245714042060108,0.328319631248375,0.16620929907234,0.0204719836676305,-0.262189302798248,-0.255283662313272,-0.255283662313272,-0.372509972251639
"MIR190",-0.0181267100512131,-0.192494100279332,0.196044172357747,0.196044172357747,0.196044172357747,0.196044172357747,0.193537906693587,0.193537906693587,0.193537906693587,-0.121607243595092,0.149081756405567,0.222883253861739,-0.19784365821893,-0.196044172357747,-0.196044172357747,0.192494100279332
"TGFB",0.0168960213892597,0.188754549025483,-0.19784365821893,-0.19784365821893,-0.19784365821893,-0.19784365821893,-0.196044172357747,-0.196044172357747,-0.196044172357747,0.122675024467887,-0.249698162285131,-0.223852093872212,0.199947527573057,0.19784365821893,0.19784365821893,-0.188754549025483
"MIR34",0.0168960213892597,0.188754549025483,-0.19784365821893,-0.19784365821893,-0.19784365821893,-0.19784365821893,-0.196044172357747,-0.196044172357747,-0.196044172357747,0.122675024467887,-0.249698162285131,-0.223852093872212,0.199947527573057,0.19784365821893,0.19784365821893,-0.188754549025483
"SNAIL1",0.0160225409750319,0.188161933921395,-0.199947527573057,-0.199947527573057,-0.199947527573057,-0.199947527573057,-0.19784365821893,-0.19784365821893,-0.19784365821893,0.0232426158021261,-0.25098208882503,-0.225554029937048,0.201735767621551,0.199947527573057,0.199947527573057,-0.188161933921395
"ZEB1",-0.455583638709643,-0.44105767279857,-0.427021427419975,-0.427021427419975,-0.427021427419975,-0.427021427419975,-0.414063429207285,-0.414063429207285,-0.414063429207285,-0.404857185142162,-0.275607547913094,-0.190610470737348,0.337177279513283,0.427021427419975,0.427021427419975,0.44105767279857
"MIR129",-0.171753049951847,-0.0854860107691553,-0.402642332290443,-0.402642332290443,-0.402642332290443,-0.402642332290443,-0.392955298013245,-0.392955298013245,-0.392955298013245,0.070351490377334,-0.316574154211386,-0.271902790037733,0.410785654766013,0.402642332290443,0.402642332290443,0.038056183029688
"HAS2",-0.429063308022635,-0.413523355076296,-0.396306419861491,-0.396306419861491,-0.396306419861491,-0.396306419861491,-0.47569573283859,-0.37569573283859,-0.37569573283859,-0.389732296315845,-0.253537087208487,-0.179205590247655,0.414063429207285,0.396306419861491,0.396306419861491,0.413523355076296
