"","MIR34","TWIST1","CD24","MIR340","MIR190","MIR1199","HAS2","GRHL2","ESRP1","SNAIL1","MIR129","TGFB","ZEB1","HA","CD44s","MIR200"
"GRHL2",0.226930697906351,0.125471235975216,0.302244357930222,0.202753912070349,0.202753912070349,0.202753912070349,0.202753912070349,0.202753912070349,0.202753912070349,0.113821478802929,0.0835875442916776,0.0135111579140927,-0.202401022789361,-0.202244357930222,-0.202244357930222,-0.226930697906351
"HAS2",0.110872637277206,0.104256606138959,0.102257266542981,0.10047609605952,0.10047609605952,0.10047609605952,0.10047609605952,0.10047609605952,0.10047609605952,0.0932934089411354,0.061704577775166,0.00654682257116334,-0.101750522567592,-0.202257266542981,-0.102257266542981,-0.110872637277206
"MIR1199",0.114139233694487,0.105991765956311,0.10047609605952,0.101750522567592,0.101750522567592,0.101750522567592,0.101750522567592,0.101750522567592,0.101750522567592,0.0886576473517315,0.0669100572272208,0.00432460034894112,-0.100827079016802,-0.10047609605952,-0.10047609605952,-0.114139233694487
"CD44s",0.114139233694487,0.105991765956311,0.10047609605952,0.101750522567592,0.101750522567592,0.101750522567592,0.101750522567592,0.101750522567592,0.101750522567592,0.0886576473517315,0.0669100572272208,0.00432460034894112,-0.100827079016802,-0.10047609605952,-0.10047609605952,-0.114139233694487
"CD24",0.114139233694487,0.105991765956311,0.10047609605952,0.101750522567592,0.101750522567592,0.101750522567592,0.101750522567592,0.101750522567592,0.101750522567592,0.0886576473517315,0.0669100572272208,0.00432460034894112,-0.100827079016802,-0.10047609605952,-0.10047609605952,-0.114139233694487
"MIR200",0.202642758672649,0.138206571096748,0.0918026924597312,0.0908406671432755,0.0908406671432755,0.0908406671432755,0.0908406671432755,0.0908406671432755,0.0908406671432755,0.124362953011512,0.0674894857933104,0.00892607806899469,-0.0915259597104869,-0.0918026924597312,-0.0918026924597312,-0.202642758672649
"TGFB",-0.0405623529242111,-0.105846883667996,0.0837184448877075,0.0807193017857366,0.0807193017857366,0.0807193017857366,0.0807193017857366,0.0807193017857366,0.0807193017857366,-0.0499103211252781,-0.035386424396233,-0.0843020313871171,-0.082852595886075,-0.0837184448877075,-0.0837184448877075,0.0405623529242111
"ZEB1",-0.111781346653727,-0.104714109365472,-0.101750522567592,-0.100827079016802,-0.100827079016802,-0.100827079016802,-0.100827079016802,-0.100827079016802,-0.100827079016802,-0.0919464783514058,-0.0632640615899506,-0.00585305563349396,0.00146882293042147,0.101750522567592,0.101750522567592,0.111781346653727
"MIR129",0.00275660339433802,0.111363982453256,-0.00262693156732892,-0.0050114323124854,-0.0050114323124854,-0.0050114323124854,-0.0050114323124854,-0.0050114323124854,-0.0050114323124854,0.0326926683626673,-0.0178011928035495,0.0055767474224117,0.00328254230997976,0.00262693156732892,0.00262693156732892,-0.00275660339433802
"TWIST1",0.00722226400413168,0.013769840193842,-0.0050114323124854,-0.00328254230997976,-0.00328254230997976,-0.00328254230997976,-0.00328254230997976,-0.00328254230997976,-0.00328254230997976,0.0264212260681703,-0.0108171488590033,0.00256181363824715,0.00453515191332006,0.0050114323124854,0.0050114323124854,-0.00722226400413168
"MIR190",0.0328378177055674,0.101667385207811,-0.0794577932586348,-0.0837184448877075,-0.0837184448877075,-0.0837184448877075,-0.0837184448877075,-0.0837184448877075,-0.0837184448877075,0.0607274056192429,0.023463855104548,-0.0105296423919251,0.0807193017857366,0.0794577932586348,0.0794577932586348,-0.0328378177055674
"SNAIL1",0.0350603268098481,0.102883808147558,-0.0807193017857366,-0.082852595886075,-0.082852595886075,-0.082852595886075,-0.082852595886075,-0.082852595886075,-0.082852595886075,-0.0423752332755533,0.0268618840528201,0.0879587841906276,0.0813270351667377,0.0807193017857366,0.0807193017857366,-0.0350603268098481
"MIR34",0.0405623529242111,0.105846883667996,-0.0837184448877075,-0.0807193017857366,-0.0807193017857366,-0.0807193017857366,-0.0807193017857366,-0.0807193017857366,-0.0807193017857366,0.0499103211252781,0.035386424396233,0.0843020313871171,0.082852595886075,0.0837184448877075,0.0837184448877075,-0.0405623529242111
"MIR340",-0.114139233694487,-0.105991765956311,-0.10047609605952,-0.101750522567592,-0.101750522567592,-0.101750522567592,-0.101750522567592,-0.101750522567592,-0.101750522567592,-0.0886576473517315,-0.0669100572272208,-0.00432460034894112,0.100827079016802,0.10047609605952,0.10047609605952,0.114139233694487
"HA",-0.114139233694487,-0.105991765956311,-0.10047609605952,-0.101750522567592,-0.101750522567592,-0.101750522567592,-0.101750522567592,-0.101750522567592,-0.101750522567592,-0.0886576473517315,-0.0669100572272208,-0.00432460034894112,0.100827079016802,0.10047609605952,0.10047609605952,0.114139233694487
"ESRP1",-0.110872637277206,-0.104256606138959,-0.102257266542981,-0.10047609605952,-0.10047609605952,-0.10047609605952,-0.10047609605952,-0.10047609605952,-0.10047609605952,-0.0932934089411354,-0.061704577775166,-0.00654682257116334,0.101750522567592,0.102257266542981,0.00225726654298083,0.110872637277206
