"","ZEB1","MIR200","SNAIL1","MIR340","GRHL2","ESRP1","HA","CD24","CD44s","MIR190","MIR1199","HAS2","MIR34","TWIST1","MIR129","TGFB"
"MIR34",-0.113320298828546,0.122011783314354,-0.0334995205378069,0.113364435947863,0.113364435947863,0.113364435947863,0.113107366539123,0.113107366539123,-0.113107366539123,-0.113364435947863,-0.113364435947863,-0.113364435947863,0.0108557052073455,0.0420016713367567,0.0420016713367567,-0.152689950802703
"ZEB1",-0.0832455721247493,-0.0700675478533423,-0.0235720772976085,-0.0170702066263966,-0.0170702066263966,-0.0170702066263966,-0.0167425331083746,-0.0167425331083746,0.0167425331083746,0.0170702066263966,0.0170702066263966,0.0170702066263966,0.0374109854347078,0.037498772108064,0.037498772108064,0.0532622188870449
"MIR200",-0.081488846879602,0.192007620226845,-0.0533857481234435,0.081190129606715,0.081190129606715,0.081190129606715,0.0834686106193732,0.0834686106193732,-0.0834686106193732,-0.081190129606715,-0.081190129606715,-0.081190129606715,0.00512002433509238,0.0530374949378163,0.0530374949378163,-0.291492921558963
"MIR1199",-0.0170702066263966,0.0706341718708893,0.0253304621885235,0.0167425331083746,0.0167425331083746,0.0167425331083746,0.0203958890981792,0.0203958890981792,-0.0203958890981792,-0.0167425331083746,-0.0167425331083746,-0.0167425331083746,-0.0364422411466435,-0.0359094919584847,-0.0359094919584847,-0.0553109993748498
"CD44s",-0.0170702066263966,0.0706341718708893,0.0253304621885235,0.0167425331083746,0.0167425331083746,0.0167425331083746,0.0203958890981792,0.0203958890981792,-0.0203958890981792,-0.0167425331083746,-0.0167425331083746,-0.0167425331083746,-0.0364422411466435,-0.0359094919584847,-0.0359094919584847,-0.0553109993748498
"HAS2",-0.0167425331083746,0.0716879126506575,0.0233437072216361,0.0203958890981792,0.0203958890981792,0.0203958890981792,-0.0813852813852814,0.0186147186147186,-0.0186147186147186,-0.0203958890981792,-0.0203958890981792,-0.0203958890981792,-0.0399195857198785,-0.0367314097667039,-0.0367314097667039,-0.0544414341574585
"MIR129",-0.0157933335771846,0.0211986355105154,-0.0374500861393808,0.0143651200968539,0.0143651200968539,0.0143651200968539,0.0157064017660044,0.0157064017660044,-0.0157064017660044,-0.0143651200968539,-0.0143651200968539,-0.0143651200968539,0.00563499894105983,-0.180536381229253,0.218107570422712,-0.0181301812009847
"TWIST1",0.0155149758875535,-0.0210138495542481,0.0388361160556701,-0.0157933335771846,-0.0157933335771846,-0.0157933335771846,-0.0143651200968539,-0.0143651200968539,0.0143651200968539,0.0157933335771846,0.0157933335771846,0.0157933335771846,-0.00369474640025293,0.0830991427355288,-0.215570296030873,0.0180456503472231
"ESRP1",0.0167425331083746,-0.0716879126506575,-0.0233437072216361,-0.0203958890981792,-0.0203958890981792,-0.0203958890981792,-0.0186147186147186,-0.0186147186147186,-0.0813852813852814,0.0203958890981792,0.0203958890981792,0.0203958890981792,0.0399195857198785,0.0367314097667039,0.0367314097667039,0.0544414341574585
"MIR340",0.0170702066263966,-0.0706341718708893,-0.0253304621885235,-0.0167425331083746,-0.0167425331083746,-0.0167425331083746,-0.0203958890981792,-0.0203958890981792,0.0203958890981792,0.0167425331083746,0.0167425331083746,0.0167425331083746,0.0364422411466435,0.0359094919584847,0.0359094919584847,0.0553109993748498
"HA",0.0170702066263966,-0.0706341718708893,-0.0253304621885235,-0.0167425331083746,-0.0167425331083746,-0.0167425331083746,-0.0203958890981792,-0.0203958890981792,0.0203958890981792,0.0167425331083746,0.0167425331083746,0.0167425331083746,0.0364422411466435,0.0359094919584847,0.0359094919584847,0.0553109993748498
"CD24",0.0170702066263966,-0.0706341718708893,-0.0253304621885235,-0.0167425331083746,-0.0167425331083746,-0.0167425331083746,-0.0203958890981792,-0.0203958890981792,0.0203958890981792,0.0167425331083746,0.0167425331083746,0.0167425331083746,0.0364422411466435,0.0359094919584847,0.0359094919584847,0.0553109993748498
"GRHL2",0.0258076468088045,-0.0156301720160386,0.0384654155180754,-0.0269986481321393,-0.0269986481321393,-0.0269986481321393,-0.0238139347563431,0.0761860652436569,0.0238139347563431,0.0269986481321393,0.0269986481321393,0.0269986481321393,0.0201410347593682,-0.0424504432030826,-0.0424504432030826,0.0173990967138473
"SNAIL1",0.112815146272474,-0.122218897227006,-0.0661407384757034,-0.113320298828546,-0.113320298828546,-0.113320298828546,-0.113364435947863,-0.113364435947863,0.113364435947863,0.113320298828546,0.113320298828546,0.113320298828546,-0.0111168488363414,-0.0438099071671776,-0.0438099071671776,0.152251140466282
"TGFB",0.113320298828546,-0.122011783314354,0.0334995205378069,-0.113364435947863,-0.113364435947863,-0.113364435947863,-0.113107366539123,-0.113107366539123,0.113107366539123,0.113364435947863,0.113364435947863,0.113364435947863,-0.0108557052073455,-0.0420016713367567,-0.0420016713367567,0.152689950802703
"MIR190",0.113364435947863,-0.122875883864236,0.0328959922184012,-0.113107366539123,-0.113107366539123,-0.113107366539123,-0.113357993105539,-0.113357993105539,0.113357993105539,0.113107366539123,0.113107366539123,0.113107366539123,-0.012034024139003,-0.0460931803556745,-0.0460931803556745,0.251599386554244
