"","TWIST1","MIR129","MIR34","MIR200","ZEB1","MIR190","HAS2","GRHL2","ESRP1","CD24","TGFB","HA","CD44s","MIR340","MIR1199","SNAIL1"
"MIR129",-0.0480446369087275,0.31008634488931,0.228529041092547,0.228529041092547,-0.154174371128717,0.148887475613808,0.148887475613808,0.148887475613808,0.148887475613808,0.151868101545254,0.102155891193282,-0.151868101545254,-0.151868101545254,-0.148887475613808,-0.148887475613808,-0.344882838899124
"ZEB1",-0.0879879049160656,-0.0879879049160656,-0.0848253271783547,-0.0848253271783547,-0.0563824480866879,-0.0511045642388699,-0.0511045642388699,-0.0511045642388699,-0.0511045642388699,-0.0508364677241245,-0.0168498968302366,0.0508364677241245,0.0508364677241245,0.0511045642388699,0.0511045642388699,0.114206565444971
"MIR340",0.0872711707309612,0.0872711707309612,0.0849898309253845,0.0849898309253845,-0.0511045642388699,0.0508364677241245,0.0508364677241245,0.0508364677241245,0.0508364677241245,0.0337591525159682,0.018313311464383,-0.0337591525159682,-0.0337591525159682,-0.0508364677241245,-0.0508364677241245,-0.111145673227453
"MIR1199",0.0872711707309612,0.0872711707309612,0.0849898309253845,0.0849898309253845,-0.0511045642388699,0.0508364677241245,0.0508364677241245,0.0508364677241245,0.0508364677241245,0.0337591525159682,0.018313311464383,-0.0337591525159682,-0.0337591525159682,-0.0508364677241245,-0.0508364677241245,-0.111145673227453
"HA",0.0872711707309612,0.0872711707309612,0.0849898309253845,0.0849898309253845,-0.0511045642388699,0.0508364677241245,0.0508364677241245,0.0508364677241245,0.0508364677241245,0.0337591525159682,0.018313311464383,-0.0337591525159682,-0.0337591525159682,-0.0508364677241245,-0.0508364677241245,-0.111145673227453
"CD44s",0.0872711707309612,0.0872711707309612,0.0849898309253845,0.0849898309253845,-0.0511045642388699,0.0508364677241245,0.0508364677241245,0.0508364677241245,0.0508364677241245,0.0337591525159682,0.018313311464383,-0.0337591525159682,-0.0337591525159682,-0.0508364677241245,-0.0508364677241245,-0.111145673227453
"CD24",0.0872711707309612,0.0872711707309612,0.0849898309253845,0.0849898309253845,-0.0511045642388699,0.0508364677241245,0.0508364677241245,0.0508364677241245,0.0508364677241245,0.0337591525159682,0.018313311464383,-0.0337591525159682,-0.0337591525159682,-0.0508364677241245,-0.0508364677241245,-0.111145673227453
"TGFB",0.154098353400479,0.154098353400479,0.227191088491524,0.227191088491524,-0.0503935366863866,0.0477011724080285,0.0477011724080285,0.0477011724080285,0.0477011724080285,0.0447877191089711,0.167803495896958,-0.0447877191089711,-0.0447877191089711,-0.0477011724080285,-0.0477011724080285,-0.320044380422866
"MIR34",0.154098353400479,0.154098353400479,0.227191088491524,0.227191088491524,-0.0503935366863866,0.0477011724080285,0.0477011724080285,0.0477011724080285,0.0477011724080285,0.0447877191089711,0.167803495896958,-0.0447877191089711,-0.0447877191089711,-0.0477011724080285,-0.0477011724080285,-0.320044380422866
"GRHL2",-0.0721051427695953,-0.0721051427695953,0.0110982244794442,0.0110982244794442,-0.0232411639288882,0.0190064925570311,0.0190064925570311,0.0190064925570311,0.0190064925570311,0.131872734595248,-0.00866391161665237,-0.0318727345952477,-0.0318727345952477,-0.0190064925570311,-0.0190064925570311,0.0797936805745577
"MIR190",-0.15423033756238,-0.15423033756238,-0.224965374953949,-0.224965374953949,0.0477011724080285,-0.0447877191089711,-0.0447877191089711,-0.0447877191089711,-0.0447877191089711,-0.0510533832693721,-0.266238773279603,0.0510533832693721,0.0510533832693721,0.0447877191089711,0.0447877191089711,0.320183656188883
"SNAIL1",-0.154052767623242,-0.154052767623242,-0.228784965123672,-0.228784965123672,0.0491710675006925,-0.0503935366863866,-0.0503935366863866,-0.0503935366863866,-0.0503935366863866,-0.0477011724080285,-0.168079783886556,0.0477011724080285,0.0477011724080285,0.0503935366863866,0.0503935366863866,0.220963718499451
"HAS2",-0.0910154629684041,-0.0910154629684041,-0.0767706528431927,-0.0767706528431927,0.0508364677241245,-0.0337591525159682,-0.0337591525159682,-0.0337591525159682,-0.0337591525159682,-0.0340136054421769,-0.0174437462469917,-0.0659863945578231,0.0340136054421769,0.0337591525159682,0.0337591525159682,0.111997139641833
"ESRP1",-0.0910154629684041,-0.0910154629684041,-0.0767706528431927,-0.0767706528431927,0.0508364677241245,-0.0337591525159682,-0.0337591525159682,-0.0337591525159682,-0.0337591525159682,-0.0340136054421769,-0.0174437462469917,0.0340136054421769,-0.0659863945578231,0.0337591525159682,0.0337591525159682,0.111997139641833
"MIR200",0.100009520052365,0.100009520052365,0.0546756304316508,0.0546756304316508,0.0544139161218991,-0.0554506407748599,-0.0554506407748599,-0.0554506407748599,-0.0554506407748599,-0.0427417800153662,0.209545896731295,0.0427417800153662,0.0427417800153662,0.0554506407748599,0.0554506407748599,-0.15047923507933
"TWIST1",-0.0514846517942014,-0.309641667934039,-0.231855188305359,-0.231855188305359,0.155496570154465,-0.154174371128717,-0.154174371128717,-0.154174371128717,-0.154174371128717,-0.148887475613808,-0.103536561804722,0.148887475613808,0.148887475613808,0.154174371128717,0.154174371128717,0.345225915611077
