"","TWIST1","MIR129","ZEB1","MIR200","TGFB","MIR340","MIR1199","GRHL2","HA","CD44s","CD24","MIR190","HAS2","ESRP1","MIR34","SNAIL1"
"SNAIL1",-0.209121505987188,-0.209121505987188,-0.163323094585537,-0.175401807299314,-0.092994379441012,-0.163110930511987,-0.163110930511987,-0.163110930511987,-0.162625422199496,-0.162625422199496,0.162625422199496,0.163110930511987,0.163110930511987,0.163110930511987,0.175401807299314,0.343837837137613
"MIR34",-0.207799518447301,-0.207799518447301,-0.163110930511987,-0.174294198114262,-0.0922630288803099,-0.162625422199496,-0.162625422199496,-0.162625422199496,-0.161511454761621,-0.161511454761621,0.161511454761621,0.162625422199496,0.162625422199496,0.162625422199496,0.174294198114262,0.441543489068223
"ZEB1",-0.166816764666018,-0.166816764666018,-0.128728198577424,-0.0965428365028639,-0.0473161103829701,-0.0298588902347533,-0.0298588902347533,-0.0298588902347533,-0.0292929087036243,-0.0292929087036243,0.0292929087036243,0.0298588902347533,0.0298588902347533,0.0298588902347533,0.0965428365028639,0.255522912427514
"MIR129",-0.333125492096178,-0.0881266971688751,-0.0791484788324501,-0.158350657139943,-0.0753523597119461,-0.0769184612929863,-0.0769184612929863,-0.0769184612929863,-0.0727455849889625,-0.0727455849889625,0.0727455849889625,0.0769184612929863,0.0769184612929863,0.0769184612929863,0.158350657139943,0.464490931991582
"GRHL2",0.18667031207602,0.18667031207602,-0.0782481137386431,0.191409033567981,0.148155519000159,-0.0800125601435836,-0.0800125601435836,-0.0800125601435836,-0.085490267149953,-0.085490267149953,-0.014509732850047,0.0800125601435836,0.0800125601435836,0.0800125601435836,-0.191409033567981,-0.27845863909349
"MIR340",-0.165601432786928,-0.165601432786928,-0.0298588902347533,-0.0956106486030284,-0.049755134773214,-0.0292929087036243,-0.0292929087036243,-0.0292929087036243,-0.024110240904134,-0.024110240904134,0.024110240904134,0.0292929087036243,0.0292929087036243,0.0292929087036243,0.0956106486030284,0.254643719982056
"CD24",-0.165601432786928,-0.165601432786928,-0.0298588902347533,-0.0956106486030284,-0.049755134773214,-0.0292929087036243,-0.0292929087036243,-0.0292929087036243,-0.024110240904134,-0.024110240904134,0.024110240904134,0.0292929087036243,0.0292929087036243,0.0292929087036243,0.0956106486030284,0.254643719982056
"HAS2",-0.162770382558618,-0.162770382558618,-0.0292929087036243,-0.0963482671488661,-0.0529435405703154,-0.024110240904134,-0.024110240904134,-0.024110240904134,-0.117748917748918,-0.0177489177489178,0.0177489177489178,0.024110240904134,0.024110240904134,0.024110240904134,0.0963482671488661,0.251332461703911
"ESRP1",-0.162770382558618,-0.162770382558618,-0.0292929087036243,-0.0963482671488661,-0.0529435405703154,-0.024110240904134,-0.024110240904134,-0.024110240904134,-0.0177489177489178,-0.117748917748918,0.0177489177489178,0.024110240904134,0.024110240904134,0.024110240904134,0.0963482671488661,0.251332461703911
"MIR1199",0.165601432786928,0.165601432786928,0.0298588902347533,0.0956106486030284,0.049755134773214,0.0292929087036243,0.0292929087036243,0.0292929087036243,0.024110240904134,0.024110240904134,-0.024110240904134,-0.0292929087036243,-0.0292929087036243,-0.0292929087036243,-0.0956106486030284,-0.254643719982056
"HA",0.165601432786928,0.165601432786928,0.0298588902347533,0.0956106486030284,0.049755134773214,0.0292929087036243,0.0292929087036243,0.0292929087036243,0.024110240904134,0.024110240904134,-0.024110240904134,-0.0292929087036243,-0.0292929087036243,-0.0292929087036243,-0.0956106486030284,-0.254643719982056
"CD44s",0.165601432786928,0.165601432786928,0.0298588902347533,0.0956106486030284,0.049755134773214,0.0292929087036243,0.0292929087036243,0.0292929087036243,0.024110240904134,0.024110240904134,-0.024110240904134,-0.0292929087036243,-0.0292929087036243,-0.0292929087036243,-0.0956106486030284,-0.254643719982056
"MIR200",0.0895897508713337,0.0895897508713337,0.0595737655323922,0.0351696168890569,0.13554383662529,0.0594507643023799,0.0594507643023799,0.0594507643023799,0.0610203845555445,0.0610203845555445,-0.0610203845555445,-0.0594507643023799,-0.0594507643023799,-0.0594507643023799,-0.0351696168890569,-0.130844519945794
"TWIST1",0.236734278707057,0.091710270278998,0.0800879360349553,0.159890540108837,0.0747042898331069,0.0791484788324501,0.0791484788324501,0.0791484788324501,0.0769184612929863,0.0769184612929863,-0.0769184612929863,-0.0791484788324501,-0.0791484788324501,-0.0791484788324501,-0.159890540108837,-0.468813698562187
"MIR190",0.204763882723588,0.204763882723588,0.162625422199496,0.172435072688758,0.192689771412316,0.161511454761621,0.161511454761621,0.161511454761621,0.15775205626538,0.15775205626538,-0.15775205626538,-0.161511454761621,-0.161511454761621,-0.161511454761621,-0.172435072688758,-0.437922319151788
"TGFB",0.207799518447301,0.207799518447301,0.163110930511987,0.174294198114262,0.0922630288803099,0.162625422199496,0.162625422199496,0.162625422199496,0.161511454761621,0.161511454761621,-0.161511454761621,-0.162625422199496,-0.162625422199496,-0.162625422199496,-0.174294198114262,-0.441543489068223
