"","MIR190","MIR1199","GRHL2","ESRP1","HA","CD24","TGFB","MIR129","MIR34","TWIST1","SNAIL1","ZEB1","MIR200","CD44s","MIR340","HAS2"
"GRHL2",0.364671181823615,0.364671181823615,0.364671181823615,0.364671181823615,0.359320863352277,0.459320863352277,0.358192123814223,0.184878197761736,0.266945244146083,0.115256603707638,-0.182697907068651,-0.367097295630408,-0.362828255631218,-0.359320863352277,-0.364671181823615,-0.364671181823615
"MIR340",0.258033396058651,0.258033396058651,0.258033396058651,0.258033396058651,0.25319057532798,0.25319057532798,0.247277073104747,0.163431902290565,0.161169939958939,0.0958716165381758,-0.157452909987811,-0.259612186645485,-0.249354123432374,-0.25319057532798,-0.258033396058651,-0.258033396058651
"MIR1199",0.258033396058651,0.258033396058651,0.258033396058651,0.258033396058651,0.25319057532798,0.25319057532798,0.247277073104747,0.163431902290565,0.161169939958939,0.0958716165381758,-0.157452909987811,-0.259612186645485,-0.249354123432374,-0.25319057532798,-0.258033396058651,-0.258033396058651
"HA",0.258033396058651,0.258033396058651,0.258033396058651,0.258033396058651,0.25319057532798,0.25319057532798,0.247277073104747,0.163431902290565,0.161169939958939,0.0958716165381758,-0.157452909987811,-0.259612186645485,-0.249354123432374,-0.25319057532798,-0.258033396058651,-0.258033396058651
"CD24",0.258033396058651,0.258033396058651,0.258033396058651,0.258033396058651,0.25319057532798,0.25319057532798,0.247277073104747,0.163431902290565,0.161169939958939,0.0958716165381758,-0.157452909987811,-0.259612186645485,-0.249354123432374,-0.25319057532798,-0.258033396058651,-0.258033396058651
"ESRP1",0.25319057532798,0.25319057532798,0.25319057532798,0.25319057532798,0.246320346320346,0.246320346320346,0.242349536872863,0.161696742473213,0.160010825101194,0.0924926211043858,-0.156033799297178,-0.258033396058651,-0.244506915845441,-0.346320346320346,-0.25319057532798,-0.25319057532798
"SNAIL1",0.081021816775899,0.081021816775899,0.081021816775899,0.081021816775899,0.0809776796565816,0.0809776796565816,-0.00878237284673445,-0.0609082538406131,0.0881957877740749,-0.0122111558859148,-0.105390285072613,-0.0814360418718779,0.00472636489395595,-0.0809776796565816,-0.081021816775899,-0.081021816775899
"MIR129",0.0485788443001286,0.0485788443001286,0.0485788443001286,0.0485788443001286,0.0490259381898455,0.0490259381898455,0.0439299726173235,0.0168830088207918,0.0172578553367667,-0.0917312556419818,-0.0204926686234007,-0.0499569450267636,-0.039666762854883,-0.0490259381898455,-0.0485788443001286,-0.0485788443001286
"TWIST1",-0.0499569450267636,-0.0499569450267636,-0.0499569450267636,-0.0499569450267636,-0.0485788443001286,-0.0485788443001286,-0.0433382566409921,-0.015653607826808,-0.0184589640525043,-0.00690891172203491,0.0217963601288213,0.0504440709836181,0.0401595254049292,0.0485788443001286,0.0499569450267636,0.0499569450267636
"MIR190",-0.0813204388682354,-0.0813204388682354,-0.0813204388682354,-0.0813204388682354,-0.078814173204075,-0.078814173204075,0.111476868517699,0.063076008297527,-0.0887380750344248,0.0128289939167536,0.00657027855993919,0.0809776796565816,-0.00490372402828266,0.078814173204075,0.0813204388682354,0.0813204388682354
"TGFB",-0.0809776796565816,-0.0809776796565816,-0.0809776796565816,-0.0809776796565816,-0.0813204388682354,-0.0813204388682354,0.00905866083633302,0.0608322775452172,-0.087664495563359,0.0105852631644439,0.00527037141044987,0.081021816775899,-0.00424910239958405,0.0813204388682354,0.0809776796565816,0.0809776796565816
"MIR34",-0.0809776796565816,-0.0809776796565816,-0.0809776796565816,-0.0809776796565816,-0.0813204388682354,-0.0813204388682354,0.00905866083633302,0.0608322775452172,-0.087664495563359,0.0105852631644439,0.00527037141044987,0.081021816775899,-0.00424910239958405,0.0813204388682354,0.0809776796565816,0.0809776796565816
"ZEB1",-0.259612186645485,-0.259612186645485,-0.259612186645485,-0.259612186645485,-0.258033396058651,-0.258033396058651,-0.252122601560032,-0.16551978013413,-0.16159033842357,-0.0962144024527909,0.157550598037307,0.161272571691833,0.250871213543871,0.258033396058651,0.259612186645485,0.259612186645485
"MIR200",-0.192247727630989,-0.192247727630989,-0.192247727630989,-0.192247727630989,-0.19037430990947,-0.19037430990947,-0.37358285109949,-0.141740804578685,-0.0452567381718381,-0.0716473784459419,0.127745791243038,0.193319595492525,0.265872376698835,0.19037430990947,0.192247727630989,0.192247727630989
"HAS2",-0.25319057532798,-0.25319057532798,-0.25319057532798,-0.25319057532798,-0.346320346320346,-0.246320346320346,-0.242349536872863,-0.161696742473213,-0.160010825101194,-0.0924926211043858,0.156033799297178,0.258033396058651,0.244506915845441,0.246320346320346,0.25319057532798,0.25319057532798
"CD44s",-0.258033396058651,-0.258033396058651,-0.258033396058651,-0.258033396058651,-0.25319057532798,-0.25319057532798,-0.247277073104747,-0.163431902290565,-0.161169939958939,-0.0958716165381758,0.157452909987811,0.259612186645485,0.249354123432374,0.25319057532798,0.258033396058651,0.258033396058651
