"","MIR190","HAS2","GRHL2","ESRP1","HA","MIR200","MIR34","TWIST1","TGFB","MIR129","ZEB1","SNAIL1","CD44s","CD24","MIR340","MIR1199"
"MIR1199",0.195281875453911,0.195281875453911,0.195281875453911,0.195281875453911,0.191458595929697,0.188327882552749,0.153811378218764,0.116576186424373,0.00827749569613932,-0.0710153626121394,-0.19531166395555,-0.104059013539311,-0.191458595929697,-0.191458595929697,-0.195281875453911,-0.195281875453911
"HA",0.195281875453911,0.195281875453911,0.195281875453911,0.195281875453911,0.191458595929697,0.188327882552749,0.153811378218764,0.116576186424373,0.00827749569613932,-0.0710153626121394,-0.19531166395555,-0.104059013539311,-0.191458595929697,-0.191458595929697,-0.195281875453911,-0.195281875453911
"CD24",0.195281875453911,0.195281875453911,0.195281875453911,0.195281875453911,0.191458595929697,0.188327882552749,0.153811378218764,0.116576186424373,0.00827749569613932,-0.0710153626121394,-0.19531166395555,-0.104059013539311,-0.191458595929697,-0.191458595929697,-0.195281875453911,-0.195281875453911
"HAS2",0.191458595929697,0.191458595929697,0.191458595929697,0.191458595929697,0.291713048855906,0.185061286135468,0.152336141127088,0.115388971812501,0.00837411405362724,-0.0696454995984408,-0.195281875453911,-0.104532050436189,-0.191713048855906,-0.191713048855906,-0.191458595929697,-0.191458595929697
"ESRP1",0.191458595929697,0.191458595929697,0.191458595929697,0.191458595929697,0.191713048855906,0.185061286135468,0.152336141127088,0.115388971812501,0.00837411405362724,-0.0696454995984408,-0.195281875453911,-0.104532050436189,-0.291713048855906,-0.191713048855906,-0.191458595929697,-0.191458595929697
"MIR200",0.185480268471178,0.185480268471178,0.185480268471178,0.185480268471178,0.184011914040798,0.25853816631867,0.0445327907424189,0.135473390435271,0.204179450230202,-0.067963329244912,-0.186200704246964,-0.119913231869728,-0.184011914040798,-0.184011914040798,-0.185480268471178,-0.185480268471178
"GRHL2",0.0493748431537807,0.0493748431537807,0.0493748431537807,0.0493748431537807,0.0464449068480482,0.0522239619254276,0.0277010918431427,0.0888477450663752,0.00597141735369971,-0.0632054588484168,-0.0484043976310635,-0.0772602206360517,-0.0464449068480482,-0.146444906848048,-0.0493748431537807,-0.0493748431537807
"TWIST1",0.0460986904522206,0.0460986904522206,0.0460986904522206,0.0460986904522206,0.0444700259571066,0.0396169308931126,0.0198849328428204,0.00919297207224502,0.00586836828254122,0.0182545454939571,-0.0457507433401817,-0.0258154590324546,-0.0444700259571066,-0.0444700259571066,-0.0460986904522206,-0.0460986904522206
"SNAIL1",0.026022487526066,0.026022487526066,0.026022487526066,0.026022487526066,0.025213307005248,-0.052410847849543,0.0805276825486434,-0.0890530233306411,-0.0777296241334219,0.0240964786946271,-0.0255476441233584,-0.0669285321835107,-0.025213307005248,-0.025213307005248,-0.026022487526066,-0.026022487526066
"MIR190",0.026927103063517,0.026927103063517,0.026927103063517,0.026927103063517,0.0249220905321887,-0.051539652274066,0.0807607313853622,-0.0890210417558787,-0.178069742023387,0.0234581173706193,-0.025213307005248,0.0332125769885446,-0.0249220905321887,-0.0249220905321887,-0.026927103063517,-0.026927103063517
"TGFB",-0.025213307005248,-0.025213307005248,-0.025213307005248,-0.025213307005248,-0.026927103063517,0.0530321895874988,-0.0801584794869594,0.0889770470352452,0.0774533361438233,-0.0242940170626563,0.026022487526066,-0.0328876002011723,0.026927103063517,0.026927103063517,0.025213307005248,0.025213307005248
"MIR34",-0.025213307005248,-0.025213307005248,-0.025213307005248,-0.025213307005248,-0.026927103063517,0.0530321895874988,-0.0801584794869594,0.0889770470352452,0.0774533361438233,-0.0242940170626563,0.026022487526066,-0.0328876002011723,0.026927103063517,0.026927103063517,0.025213307005248,0.025213307005248
"MIR129",-0.0444700259571066,-0.0444700259571066,-0.0444700259571066,-0.0444700259571066,-0.0455132450331126,-0.0382618338804855,-0.0192381819958848,-0.109036068306555,-0.00617831474633384,-0.0188038523210563,0.0460986904522206,0.0259938589226701,0.0455132450331126,0.0455132450331126,0.0444700259571066,0.0444700259571066
"ZEB1",-0.19531166395555,-0.19531166395555,-0.19531166395555,-0.19531166395555,-0.195281875453911,-0.18816337880572,-0.154012438354022,-0.116731998203744,-0.0088303412245946,0.070298628427035,0.0966257110167702,0.104873080618439,0.195281875453911,0.195281875453911,0.19531166395555,0.19531166395555
"MIR340",-0.195281875453911,-0.195281875453911,-0.195281875453911,-0.195281875453911,-0.191458595929697,-0.188327882552749,-0.153811378218764,-0.116576186424373,-0.00827749569613932,0.0710153626121394,0.19531166395555,0.104059013539311,0.191458595929697,0.191458595929697,0.195281875453911,0.195281875453911
"CD44s",-0.195281875453911,-0.195281875453911,-0.195281875453911,-0.195281875453911,-0.191458595929697,-0.188327882552749,-0.153811378218764,-0.116576186424373,-0.00827749569613932,0.0710153626121394,0.19531166395555,0.104059013539311,0.191458595929697,0.191458595929697,0.195281875453911,0.195281875453911
