"","MIR190","CD44s","CD24","MIR34","MIR200","MIR129","SNAIL1","TGFB","TWIST1","ZEB1","HA","MIR340","MIR1199","HAS2","GRHL2","ESRP1"
"CD44s",0.546917134679953,0.517095554391083,0.517095554391083,0.368165877120584,0.368165877120584,0.158689563350965,0.131002719784553,-0.013484635715873,-0.158689563350965,-0.570777724492286,-0.517095554391083,-0.546917134679953,-0.546917134679953,-0.546917134679953,-0.546917134679953,-0.546917134679953
"CD24",0.546917134679953,0.517095554391083,0.517095554391083,0.368165877120584,0.368165877120584,0.158689563350965,0.131002719784553,-0.013484635715873,-0.158689563350965,-0.570777724492286,-0.517095554391083,-0.546917134679953,-0.546917134679953,-0.546917134679953,-0.546917134679953,-0.546917134679953
"MIR200",0.405343527651989,0.386254920057053,0.386254920057053,0.349329039094925,0.349329039094925,-0.0315276533977309,0.0217140207284393,0.179108273285749,0.0315276533977309,-0.419594098729129,-0.386254920057053,-0.405343527651989,-0.405343527651989,-0.405343527651989,-0.405343527651989,-0.405343527651989
"TWIST1",0.368995428316024,0.358346468155664,0.358346468155664,0.181839438525107,0.181839438525107,0.00497291774805343,0.0454491673108748,-0.0109397363182321,-0.0284755851874077,-0.377293966938154,-0.358346468155664,-0.368995428316024,-0.368995428316024,-0.368995428316024,-0.368995428316024,-0.368995428316024
"MIR190",0.024572000180622,0.0278301455440305,0.0278301455440305,-0.0325839609528232,-0.0325839609528232,0.0942433714697046,-0.0056999781039765,-0.164616393204185,-0.0942433714697046,-0.0241435511660547,-0.0278301455440305,-0.024572000180622,-0.024572000180622,-0.024572000180622,-0.024572000180622,-0.024572000180622
"MIR34",0.0241435511660547,0.024572000180622,0.024572000180622,-0.0333433220421136,-0.0333433220421136,0.0944633450728723,-0.0057464033593154,-0.0636206606295047,-0.0944633450728723,-0.0238934408232565,-0.024572000180622,-0.0241435511660547,-0.0241435511660547,-0.0241435511660547,-0.0241435511660547,-0.0241435511660547
"SNAIL1",0.0238934408232565,0.0241435511660547,0.0241435511660547,-0.0334783963329736,-0.0334783963329736,0.0945089308501098,-0.106170098298959,-0.0639294530884678,-0.0945089308501098,-0.0231660211425129,-0.0241435511660547,-0.0238934408232565,-0.0238934408232565,-0.0238934408232565,-0.0238934408232565,-0.0238934408232565
"TGFB",-0.0241435511660547,-0.024572000180622,-0.024572000180622,0.0333433220421136,0.0333433220421136,-0.0944633450728723,0.0057464033593154,0.0636206606295047,0.0944633450728723,0.0238934408232565,0.024572000180622,0.0241435511660547,0.0241435511660547,0.0241435511660547,0.0241435511660547,0.0241435511660547
"MIR129",-0.358346468155664,-0.34567880794702,-0.34567880794702,-0.176172669199576,-0.176172669199576,-0.00280184790761398,-0.044255260353279,0.0106861437569473,-0.0736687662770274,0.368995428316024,0.34567880794702,0.358346468155664,0.358346468155664,0.358346468155664,0.358346468155664,0.358346468155664
"ZEB1",-0.570777724492286,-0.546917134679953,-0.546917134679953,-0.381344455077082,-0.381344455077082,-0.163083455529214,-0.134324113467392,0.0144277251467673,0.163083455529214,0.489897618553608,0.546917134679953,0.570777724492286,0.570777724492286,0.570777724492286,0.570777724492286,0.570777724492286
"HAS2",-0.517095554391083,-0.47612863327149,-0.47612863327149,-0.351200650566317,-0.351200650566317,-0.153118787095258,-0.127218424609529,0.0112624134936508,0.153118787095258,0.546917134679953,0.57612863327149,0.517095554391083,0.517095554391083,0.517095554391083,0.517095554391083,0.517095554391083
"ESRP1",-0.517095554391083,-0.57612863327149,-0.47612863327149,-0.351200650566317,-0.351200650566317,-0.153118787095258,-0.127218424609529,0.0112624134936508,0.153118787095258,0.546917134679953,0.47612863327149,0.517095554391083,0.517095554391083,0.517095554391083,0.517095554391083,0.517095554391083
"MIR340",-0.546917134679953,-0.517095554391083,-0.517095554391083,-0.368165877120584,-0.368165877120584,-0.158689563350965,-0.131002719784553,0.013484635715873,0.158689563350965,0.570777724492286,0.517095554391083,0.546917134679953,0.546917134679953,0.546917134679953,0.546917134679953,0.546917134679953
"MIR1199",-0.546917134679953,-0.517095554391083,-0.517095554391083,-0.368165877120584,-0.368165877120584,-0.158689563350965,-0.131002719784553,0.013484635715873,0.158689563350965,0.570777724492286,0.517095554391083,0.546917134679953,0.546917134679953,0.546917134679953,0.546917134679953,0.546917134679953
"HA",-0.546917134679953,-0.517095554391083,-0.517095554391083,-0.368165877120584,-0.368165877120584,-0.158689563350965,-0.131002719784553,0.013484635715873,0.158689563350965,0.570777724492286,0.517095554391083,0.546917134679953,0.546917134679953,0.546917134679953,0.546917134679953,0.546917134679953
"GRHL2",-0.659644444786473,-0.62703297981832,-0.72703297981832,-0.474371456604895,-0.474371456604895,-0.17754000128533,-0.154850230429623,0.0209642808063091,0.17754000128533,0.685052473017616,0.62703297981832,0.659644444786473,0.659644444786473,0.659644444786473,0.659644444786473,0.659644444786473
