"","MIR340","MIR190","MIR1199","ESRP1","HA","CD24","MIR34","MIR200","TGFB","TWIST1","MIR129","SNAIL1","ZEB1","CD44s","HAS2","GRHL2"
"MIR340",0.350148152550338,0.350148152550338,0.350148152550338,0.350148152550338,0.339018161046514,0.339018161046514,0.284486457603077,0.237384049417692,-0.0124236277583134,-0.0893774204307645,-0.0893774204307645,-0.121416332977485,-0.357327181445184,-0.339018161046514,-0.350148152550338,-0.350148152550338
"MIR1199",0.350148152550338,0.350148152550338,0.350148152550338,0.350148152550338,0.339018161046514,0.339018161046514,0.284486457603077,0.237384049417692,-0.0124236277583134,-0.0893774204307645,-0.0893774204307645,-0.121416332977485,-0.357327181445184,-0.339018161046514,-0.350148152550338,-0.350148152550338
"HA",0.350148152550338,0.350148152550338,0.350148152550338,0.350148152550338,0.339018161046514,0.339018161046514,0.284486457603077,0.237384049417692,-0.0124236277583134,-0.0893774204307645,-0.0893774204307645,-0.121416332977485,-0.357327181445184,-0.339018161046514,-0.350148152550338,-0.350148152550338
"CD24",0.350148152550338,0.350148152550338,0.350148152550338,0.350148152550338,0.339018161046514,0.339018161046514,0.284486457603077,0.237384049417692,-0.0124236277583134,-0.0893774204307645,-0.0893774204307645,-0.121416332977485,-0.357327181445184,-0.339018161046514,-0.350148152550338,-0.350148152550338
"ESRP1",0.339018161046514,0.339018161046514,0.339018161046514,0.339018161046514,0.328076685219542,0.328076685219542,0.277004898066723,0.231061604739083,-0.0102014055360911,-0.0903819866408102,-0.0903819866408102,-0.119902614907475,-0.350148152550338,-0.428076685219542,-0.339018161046514,-0.339018161046514
"MIR34",0.185630693432248,0.185630693432248,0.185630693432248,0.185630693432248,0.184259656585633,0.184259656585633,0.174491700856411,0.0207695512222911,-0.0834416746611159,-0.0545311002392891,-0.0545311002392891,-0.0567267060255557,-0.188852703142414,-0.184259656585633,-0.185630693432248,-0.185630693432248
"MIR190",0.184259656585633,0.184259656585633,0.184259656585633,0.184259656585633,0.177242112725984,0.177242112725984,0.172265987318836,0.0213194333903979,-0.183963248866901,-0.0520234011631782,-0.0520234011631782,-0.0567267060255557,-0.185630693432248,-0.177242112725984,-0.184259656585633,-0.184259656585633
"MIR129",0.0511396740721733,0.0511396740721733,0.0511396740721733,0.0511396740721733,0.0508416114790287,0.0508416114790287,0.0197218751626211,0.0402289558201626,0.00732649624455511,-0.187513288399364,0.20476775525238,0.0249760632436865,-0.0537705936412036,-0.0508416114790287,-0.0511396740721733,-0.0511396740721733
"TWIST1",-0.0537705936412036,-0.0537705936412036,-0.0537705936412036,-0.0537705936412036,-0.0511396740721733,-0.0511396740721733,-0.0207074002627135,-0.0424771849547483,-0.00656571856070051,0.086101154508151,-0.20620641599002,-0.0241664022034779,0.0539967592640289,0.0511396740721733,0.0537705936412036,0.0537705936412036
"TGFB",-0.185630693432248,-0.185630693432248,-0.185630693432248,-0.185630693432248,-0.184259656585633,-0.184259656585633,-0.174491700856411,-0.0207695512222911,0.0834416746611159,0.0545311002392891,0.0545311002392891,0.0567267060255557,0.188852703142414,0.184259656585633,0.185630693432248,0.185630693432248
"SNAIL1",-0.188852703142414,-0.188852703142414,-0.188852703142414,-0.188852703142414,-0.185630693432248,-0.185630693432248,-0.176463785502967,-0.0227416358688467,0.0843030430992762,0.0536649704717766,0.0536649704717766,-0.0431373918239926,0.19058032488418,0.185630693432248,0.188852703142414,0.188852703142414
"ZEB1",-0.357327181445184,-0.357327181445184,-0.357327181445184,-0.357327181445184,-0.350148152550338,-0.350148152550338,-0.289476404596314,-0.241204191987606,0.0127813513355491,0.090717401733351,0.090717401733351,0.123760846165371,0.261636033436628,0.350148152550338,0.357327181445184,0.357327181445184
"MIR200",-0.314076732741012,-0.314076732741012,-0.314076732741012,-0.314076732741012,-0.304608378310632,-0.304608378310632,-0.345952352589049,-0.118119956860095,0.208490160039044,0.0935889389799036,0.0935889389799036,0.140963518768307,0.318873780711492,0.304608378310632,0.314076732741012,0.314076732741012
"HAS2",-0.339018161046514,-0.339018161046514,-0.339018161046514,-0.339018161046514,-0.428076685219542,-0.328076685219542,-0.277004898066723,-0.231061604739083,0.0102014055360911,0.0903819866408102,0.0903819866408102,0.119902614907475,0.350148152550338,0.328076685219542,0.339018161046514,0.339018161046514
"CD44s",-0.350148152550338,-0.350148152550338,-0.350148152550338,-0.350148152550338,-0.339018161046514,-0.339018161046514,-0.284486457603077,-0.237384049417692,0.0124236277583134,0.0893774204307645,0.0893774204307645,0.121416332977485,0.357327181445184,0.339018161046514,0.350148152550338,0.350148152550338
"GRHL2",-0.439994975695546,-0.439994975695546,-0.439994975695546,-0.439994975695546,-0.428912173147775,-0.528912173147775,-0.399600700039685,-0.328096234864815,0.0198712780881387,0.10786082903315,0.10786082903315,0.145890270149951,0.448199651478519,0.428912173147775,0.439994975695546,0.439994975695546
