"","HA","CD24","MIR340","MIR190","GRHL2","ESRP1","TGFB","MIR200","MIR129","ZEB1","SNAIL1","TWIST1","MIR34","MIR1199","HAS2","CD44s"
"GRHL2",0.21012822004445,0.31012822004445,0.208217392018973,0.208217392018973,0.208217392018973,0.208217392018973,0.212069496238059,0.214036641982038,0.0848605796636486,-0.207643946937367,-0.0640181731902821,-0.0612303677246438,-0.196026628241704,-0.208217392018973,-0.208217392018973,-0.21012822004445
"MIR190",0.17639212120278,0.17639212120278,0.181655279097517,0.181655279097517,0.181655279097517,0.181655279097517,0.102736229019749,-0.0289942064267281,-0.14132560787896,-0.181740968900431,0.130057389548242,0.043226488724003,-0.207846111650025,-0.181655279097517,-0.181655279097517,-0.17639212120278
"TGFB",0.181655279097517,0.181655279097517,0.181740968900431,0.181740968900431,0.181740968900431,0.181740968900431,0.00743039687181134,-0.0269256020800405,-0.135650288917235,-0.179843072769785,0.129082459186125,0.0403668318828239,-0.205882246763929,-0.181740968900431,-0.181740968900431,-0.181655279097517
"MIR34",0.181655279097517,0.181655279097517,0.181740968900431,0.181740968900431,0.181740968900431,0.181740968900431,0.00743039687181134,-0.0269256020800405,-0.135650288917235,-0.179843072769785,0.129082459186125,0.0403668318828239,-0.205882246763929,-0.181740968900431,-0.181740968900431,-0.181655279097517
"SNAIL1",0.181740968900431,0.181740968900431,0.179843072769785,0.179843072769785,0.179843072769785,0.179843072769785,0.00874682788107512,-0.0277090329670283,-0.134024396195764,-0.179125756140163,0.030657325282536,0.0416888194227115,-0.204342399848126,-0.179843072769785,-0.179843072769785,-0.181740968900431
"MIR340",0.111346287300486,0.111346287300486,0.109562090189186,0.109562090189186,0.109562090189186,0.109562090189186,0.106174685864253,0.103700848699596,0.0650056807549152,-0.109413147680994,-0.0380713716305478,-0.0422506517388064,-0.10714120336459,-0.109562090189186,-0.109562090189186,-0.111346287300486
"MIR1199",0.111346287300486,0.111346287300486,0.109562090189186,0.109562090189186,0.109562090189186,0.109562090189186,0.106174685864253,0.103700848699596,0.0650056807549152,-0.109413147680994,-0.0380713716305478,-0.0422506517388064,-0.10714120336459,-0.109562090189186,-0.109562090189186,-0.111346287300486
"HA",0.111346287300486,0.111346287300486,0.109562090189186,0.109562090189186,0.109562090189186,0.109562090189186,0.106174685864253,0.103700848699596,0.0650056807549152,-0.109413147680994,-0.0380713716305478,-0.0422506517388064,-0.10714120336459,-0.109562090189186,-0.109562090189186,-0.111346287300486
"CD44s",0.111346287300486,0.111346287300486,0.109562090189186,0.109562090189186,0.109562090189186,0.109562090189186,0.106174685864253,0.103700848699596,0.0650056807549152,-0.109413147680994,-0.0380713716305478,-0.0422506517388064,-0.10714120336459,-0.109562090189186,-0.109562090189186,-0.111346287300486
"CD24",0.111346287300486,0.111346287300486,0.109562090189186,0.109562090189186,0.109562090189186,0.109562090189186,0.106174685864253,0.103700848699596,0.0650056807549152,-0.109413147680994,-0.0380713716305478,-0.0422506517388064,-0.10714120336459,-0.109562090189186,-0.109562090189186,-0.111346287300486
"ZEB1",-0.109562090189186,-0.109562090189186,-0.109413147680994,-0.109413147680994,-0.109413147680994,-0.109413147680994,-0.1046462305797,-0.102695548023303,-0.0626061793526092,0.0101567557078861,0.0375178060167412,0.0407236963009753,0.107963722099739,0.109413147680994,0.109413147680994,0.109562090189186
"TWIST1",-0.0277518686484868,-0.0277518686484868,-0.0278771505327264,-0.0278771505327264,-0.0278771505327264,-0.0278771505327264,0.0295855686786474,0.0562528617768052,0.0400807357192202,0.0262591964617452,-0.137525058845384,-0.0440011598044806,0.0912948448152245,0.0278771505327264,0.0278771505327264,0.0277518686484868
"MIR129",-0.0231318984547461,-0.0231318984547461,-0.0277518686484868,-0.0277518686484868,-0.0277518686484868,-0.0277518686484868,0.0336148727079515,0.0580391260207227,0.044919867291284,0.0278771505327264,-0.138526842844286,0.0534360786892433,0.0929271207622525,0.0277518686484868,0.0277518686484868,0.0231318984547461
"MIR200",-0.053086110964907,-0.053086110964907,-0.0498962375471855,-0.0498962375471855,-0.0498962375471855,-0.0498962375471855,-0.0660997104352916,-0.173143463331398,-0.151158964170117,0.0497732363171732,0.133910814773543,0.0749840277154246,-0.0329476903948564,0.0498962375471855,0.0498962375471855,0.053086110964907
"HAS2",-0.213636363636364,-0.113636363636364,-0.111346287300486,-0.111346287300486,-0.111346287300486,-0.111346287300486,-0.106657777651692,-0.105070711713295,-0.0650970049558285,0.109562090189186,0.0404365561149375,0.044716405163464,0.107984195988404,0.111346287300486,0.111346287300486,0.113636363636364
"ESRP1",-0.113636363636364,-0.113636363636364,-0.111346287300486,-0.111346287300486,-0.111346287300486,-0.111346287300486,-0.106657777651692,-0.105070711713295,-0.0650970049558285,0.109562090189186,0.0404365561149375,0.044716405163464,0.107984195988404,0.111346287300486,0.111346287300486,0.0136363636363636
