"","CD24","MIR340","MIR190","MIR1199","HAS2","ESRP1","MIR34","MIR129","TGFB","TWIST1","SNAIL1","ZEB1","MIR200","GRHL2","HA","CD44s"
"ESRP1",0.231354359925788,0.237206777228587,0.237206777228587,0.237206777228587,0.237206777228587,0.237206777228587,0.210788231174754,0.11962467336585,-0.00849200382668942,-0.073889757301522,-0.107267714504294,-0.240010515546344,-0.172193548780413,-0.237206777228587,-0.231354359925788,-0.331354359925788
"MIR1199",0.237206777228587,0.240010515546344,0.240010515546344,0.240010515546344,0.240010515546344,0.240010515546344,0.211841971954522,0.120081294370416,-0.0101345159039841,-0.071606652278691,-0.108876039953679,-0.239921150041429,-0.17461715257388,-0.240010515546344,-0.237206777228587,-0.237206777228587
"HA",0.237206777228587,0.240010515546344,0.240010515546344,0.240010515546344,0.240010515546344,0.240010515546344,0.211841971954522,0.120081294370416,-0.0101345159039841,-0.071606652278691,-0.108876039953679,-0.239921150041429,-0.17461715257388,-0.240010515546344,-0.237206777228587,-0.237206777228587
"CD24",0.237206777228587,0.240010515546344,0.240010515546344,0.240010515546344,0.240010515546344,0.240010515546344,0.211841971954522,0.120081294370416,-0.0101345159039841,-0.071606652278691,-0.108876039953679,-0.239921150041429,-0.17461715257388,-0.240010515546344,-0.237206777228587,-0.237206777228587
"MIR129",0.225320088300221,0.223233650148209,0.223233650148209,0.223233650148209,0.223233650148209,0.223233650148209,0.125881820697551,0.0305035303871234,-0.00895976588896239,0.0900970204567806,-0.035332530629173,-0.225263216672889,-0.0970365635601562,-0.223233650148209,-0.225320088300221,-0.225320088300221
"TWIST1",0.223233650148209,0.225263216672889,0.225263216672889,0.225263216672889,0.225263216672889,0.225263216672889,0.127637287282091,0.0314713567015362,-0.00915700454773951,-0.0109490046478219,-0.0344130850411396,-0.22517622989488,-0.0977757073852255,-0.225263216672889,-0.223233650148209,-0.223233650148209
"MIR190",0.0501219631233657,0.0441069255293807,0.0441069255293807,0.0441069255293807,0.0441069255293807,0.0441069255293807,0.0957038754332565,0.0969125373553653,-0.18099836799473,-0.0271182023272661,-0.0463603860020372,-0.047191758434265,0.0476256338135169,-0.0441069255293807,-0.0501219631233657,-0.0501219631233657
"MIR34",0.0441069255293807,0.047191758434265,0.047191758434265,0.047191758434265,0.047191758434265,0.047191758434265,0.0985580257343825,0.0984523525775387,-0.0810457838316192,-0.0293619330795758,-0.0441783990011087,-0.0466768253755626,0.0467091635333389,-0.047191758434265,-0.0441069255293807,-0.0441069255293807
"SNAIL1",-0.047191758434265,-0.0466768253755626,-0.0466768253755626,-0.0466768253755626,-0.0466768253755626,-0.0466768253755626,-0.0973963868329867,-0.0977989564371345,0.0816471165148632,0.0274017446583633,-0.0545984816448262,0.0462423941773408,-0.046177871322623,0.0466768253755626,0.047191758434265,0.047191758434265
"TGFB",-0.0441069255293807,-0.047191758434265,-0.047191758434265,-0.047191758434265,-0.047191758434265,-0.047191758434265,-0.0985580257343825,-0.0984523525775387,0.0810457838316192,0.0293619330795758,0.0441783990011087,0.0466768253755626,-0.0467091635333389,0.047191758434265,0.0441069255293807,0.0441069255293807
"ZEB1",-0.240010515546344,-0.239921150041429,-0.239921150041429,-0.239921150041429,-0.239921150041429,-0.239921150041429,-0.212408595972069,-0.120361755573283,0.00971175167634183,0.07251036059904,0.10933191751799,0.141561162265123,0.173940859391647,0.239921150041429,0.240010515546344,0.240010515546344
"MIR200",-0.198384615879015,-0.202485881701799,-0.202485881701799,-0.202485881701799,-0.202485881701799,-0.202485881701799,-0.0782644774333622,0.0535629789678054,-0.189022936837779,-0.0267907400161196,-0.0171173167187848,0.201168011380239,0.238949956696875,0.202485881701799,0.198384615879015,0.198384615879015
"MIR340",-0.237206777228587,-0.240010515546344,-0.240010515546344,-0.240010515546344,-0.240010515546344,-0.240010515546344,-0.211841971954522,-0.120081294370416,0.0101345159039841,0.071606652278691,0.108876039953679,0.239921150041429,0.17461715257388,0.240010515546344,0.237206777228587,0.237206777228587
"CD44s",-0.237206777228587,-0.240010515546344,-0.240010515546344,-0.240010515546344,-0.240010515546344,-0.240010515546344,-0.211841971954522,-0.120081294370416,0.0101345159039841,0.071606652278691,0.108876039953679,0.239921150041429,0.17461715257388,0.240010515546344,0.237206777228587,0.237206777228587
"HAS2",-0.231354359925788,-0.237206777228587,-0.237206777228587,-0.237206777228587,-0.237206777228587,-0.237206777228587,-0.210788231174754,-0.11962467336585,0.00849200382668942,0.073889757301522,0.107267714504294,0.240010515546344,0.172193548780413,0.237206777228587,0.131354359925789,0.231354359925788
"GRHL2",-0.441833236377739,-0.345400115358631,-0.345400115358631,-0.345400115358631,-0.345400115358631,-0.345400115358631,-0.33370206714163,-0.140131327865166,0.0178510144195971,0.0904715822047091,0.133165371439335,0.346061782760483,0.271139580638993,0.345400115358631,0.341833236377739,0.341833236377739
