"","MIR190","MIR1199","HAS2","ESRP1","HA","CD44s","CD24","MIR200","MIR129","SNAIL1","TGFB","TWIST1","ZEB1","MIR34","MIR340","GRHL2"
"TWIST1",0.242383250522932,0.242383250522932,0.242383250522932,0.242383250522932,0.241556390086951,0.241556390086951,0.241556390086951,0.115202012985218,-0.0145089462097095,0.0225592419983618,0.005404866774428,-0.00845855393982305,-0.242522429367748,-0.115202012985218,-0.242383250522932,-0.242383250522932
"MIR1199",0.229906700887856,0.229906700887856,0.229906700887856,0.229906700887856,0.228292427310966,0.228292427310966,0.228292427310966,0.176590535164564,0.115132463131819,0.0818969998637758,0.00505352698667806,-0.115132463131819,-0.230353528412432,-0.176590535164564,-0.229906700887856,-0.229906700887856
"HA",0.229906700887856,0.229906700887856,0.229906700887856,0.229906700887856,0.228292427310966,0.228292427310966,0.228292427310966,0.176590535164564,0.115132463131819,0.0818969998637758,0.00505352698667806,-0.115132463131819,-0.230353528412432,-0.176590535164564,-0.229906700887856,-0.229906700887856
"CD24",0.229906700887856,0.229906700887856,0.229906700887856,0.229906700887856,0.228292427310966,0.228292427310966,0.228292427310966,0.176590535164564,0.115132463131819,0.0818969998637758,0.00505352698667806,-0.115132463131819,-0.230353528412432,-0.176590535164564,-0.229906700887856,-0.229906700887856
"HAS2",0.228292427310966,0.228292427310966,0.228292427310966,0.228292427310966,0.324984539270254,0.224984539270253,0.224984539270253,0.175431420306819,0.114858490529079,0.081613177725649,0.00457043519923844,-0.114858490529079,-0.229906700887856,-0.175431420306819,-0.228292427310966,-0.228292427310966
"MIR200",0.167262495620281,0.167262495620281,0.167262495620281,0.167262495620281,0.167009331063319,0.167009331063319,0.167009331063319,0.0580929791048243,0.132831441394229,0.0836757312379782,-0.00636897899003353,-0.132831441394229,-0.167631499310318,-0.0580929791048243,-0.167262495620281,-0.167262495620281
"GRHL2",0.0563854471790577,0.0563854471790577,0.0563854471790577,0.0563854471790577,0.0560032815739622,0.0560032815739622,-0.0439967184260378,0.0353744727522044,0.0878995158139619,0.0661808993460341,0.00435698844159913,-0.0878995158139619,-0.0562972248588107,-0.0353744727522044,-0.0563854471790577,-0.0563854471790577
"SNAIL1",0.01265756612502,0.01265756612502,0.01265756612502,0.01265756612502,0.0127605527367605,0.0127605527367605,0.0127605527367605,-0.0346451124299596,0.0850780583648372,-0.115553794783899,0.0608582479550908,-0.0850780583648372,-0.0125060203581984,0.0346451124299596,-0.01265756612502,-0.01265756612502
"TGFB",-0.0127605527367605,-0.0127605527367605,-0.0127605527367605,-0.0127605527367605,-0.0125034833280201,-0.0125034833280201,-0.0125034833280201,0.0347081470990276,-0.0852148156965497,0.0156257429811966,-0.0607119778429504,0.0852148156965497,0.01265756612502,-0.0347081470990276,0.0127605527367605,0.0127605527367605
"MIR34",-0.0127605527367605,-0.0127605527367605,-0.0127605527367605,-0.0127605527367605,-0.0125034833280201,-0.0125034833280201,-0.0125034833280201,0.0347081470990276,-0.0852148156965497,0.0156257429811966,-0.0607119778429504,0.0852148156965497,0.01265756612502,-0.0347081470990276,0.0127605527367605,0.0127605527367605
"MIR190",-0.0125034833280201,-0.0125034833280201,-0.0125034833280201,-0.0125034833280201,-0.0142578692929324,-0.0142578692929324,-0.0142578692929324,0.0346295925035838,-0.084994842093382,0.0153007661938243,0.039145774646381,0.084994842093382,0.0127605527367605,-0.0346295925035838,0.0125034833280201,0.0125034833280201
"ZEB1",-0.230353528412432,-0.230353528412432,-0.230353528412432,-0.230353528412432,-0.229906700887856,-0.229906700887856,-0.229906700887856,-0.176755038911594,-0.115412924334685,-0.0820272505964362,-0.0049559660110683,0.115412924334685,0.130934153858087,0.176755038911594,0.230353528412432,0.230353528412432
"ESRP1",-0.228292427310966,-0.228292427310966,-0.228292427310966,-0.228292427310966,-0.224984539270253,-0.124984539270254,-0.224984539270253,-0.175431420306819,-0.114858490529079,-0.081613177725649,-0.00457043519923844,0.114858490529079,0.229906700887856,0.175431420306819,0.228292427310966,0.228292427310966
"MIR340",-0.229906700887856,-0.229906700887856,-0.229906700887856,-0.229906700887856,-0.228292427310966,-0.228292427310966,-0.228292427310966,-0.176590535164564,-0.115132463131819,-0.0818969998637758,-0.00505352698667806,0.115132463131819,0.230353528412432,0.176590535164564,0.229906700887856,0.229906700887856
"CD44s",-0.229906700887856,-0.229906700887856,-0.229906700887856,-0.229906700887856,-0.228292427310966,-0.228292427310966,-0.228292427310966,-0.176590535164564,-0.115132463131819,-0.0818969998637758,-0.00505352698667806,0.115132463131819,0.230353528412432,0.176590535164564,0.229906700887856,0.229906700887856
"MIR129",-0.241556390086951,-0.241556390086951,-0.241556390086951,-0.241556390086951,-0.240960264900662,-0.240960264900662,-0.240960264900662,-0.11474004809455,0.0147443634213234,-0.0226004112037961,-0.00526398201815863,-0.0917506510810975,0.242383250522932,0.11474004809455,0.241556390086951,0.241556390086951
