"","MIR340","MIR190","GRHL2","HA","CD44s","MIR129","ZEB1","SNAIL1","MIR34","MIR200","TGFB","TWIST1","CD24","MIR1199","HAS2","ESRP1"
"GRHL2",0.252719832820243,0.252719832820243,0.252719832820243,0.251063781864829,0.251063781864829,0.172683704307731,-0.253822611823331,-0.137278154466474,-0.201647560003617,-0.201647560003617,-0.221538997701505,-0.172683704307731,-0.351063781864829,-0.252719832820243,-0.252719832820243,-0.252719832820243
"MIR129",0.204649435128618,0.204649435128618,0.204649435128618,0.205394591611479,0.205394591611479,0.0647245573379291,-0.205626633825686,-0.0245634790541372,-0.0907048736940607,-0.0907048736940607,-0.129703818971918,-0.13927172649691,-0.205394591611479,-0.204649435128618,-0.204649435128618,-0.204649435128618
"MIR340",0.170779072977424,0.170779072977424,0.170779072977424,0.168315181728486,0.168315181728486,0.151038110103702,-0.17140463151183,-0.111636489767926,-0.11271644692172,-0.11271644692172,-0.133171421967612,-0.151038110103702,-0.168315181728486,-0.170779072977424,-0.170779072977424,-0.170779072977424
"MIR1199",0.170779072977424,0.170779072977424,0.170779072977424,0.168315181728486,0.168315181728486,0.151038110103702,-0.17140463151183,-0.111636489767926,-0.11271644692172,-0.11271644692172,-0.133171421967612,-0.151038110103702,-0.168315181728486,-0.170779072977424,-0.170779072977424,-0.170779072977424
"HA",0.170779072977424,0.170779072977424,0.170779072977424,0.168315181728486,0.168315181728486,0.151038110103702,-0.17140463151183,-0.111636489767926,-0.11271644692172,-0.11271644692172,-0.133171421967612,-0.151038110103702,-0.168315181728486,-0.170779072977424,-0.170779072977424,-0.170779072977424
"CD44s",0.170779072977424,0.170779072977424,0.170779072977424,0.168315181728486,0.168315181728486,0.151038110103702,-0.17140463151183,-0.111636489767926,-0.11271644692172,-0.11271644692172,-0.133171421967612,-0.151038110103702,-0.168315181728486,-0.170779072977424,-0.170779072977424,-0.170779072977424
"MIR200",0.122311387299812,0.122311387299812,0.122311387299812,0.121450627806141,0.121450627806141,-0.03329282818918,-0.122820963824149,-0.0148499045113442,-0.178761784423524,-0.178761784423524,-0.0955599370962845,0.03329282818918,-0.121450627806141,-0.122311387299812,-0.122311387299812,-0.122311387299812
"TGFB",0.00952130488536447,0.00952130488536447,0.00952130488536447,0.00917854567371065,0.00917854567371065,-0.0840581172801326,-0.0102127864213362,-0.0158003406283351,-0.0459832039690191,-0.0459832039690191,-0.0661824726591143,0.0840581172801326,-0.00917854567371065,-0.00952130488536447,-0.00952130488536447,-0.00952130488536447
"MIR34",0.00952130488536447,0.00952130488536447,0.00952130488536447,0.00917854567371065,0.00917854567371065,-0.0840581172801326,-0.0102127864213362,-0.0158003406283351,-0.0459832039690191,-0.0459832039690191,-0.0661824726591143,0.0840581172801326,-0.00917854567371065,-0.00952130488536447,-0.00952130488536447,-0.00952130488536447
"SNAIL1",0.0102127864213362,0.0102127864213362,0.0102127864213362,0.00952130488536447,0.00952130488536447,-0.0846507323842201,-0.00980866437647867,-0.116240024056267,-0.046550515990631,-0.046550515990631,-0.0670438410972746,0.0846507323842201,-0.00952130488536447,-0.0102127864213362,-0.0102127864213362,-0.0102127864213362
"MIR190",-0.00917854567371065,-0.00917854567371065,-0.00917854567371065,-0.0106823050722069,-0.0106823050722069,0.0830462387055615,0.00952130488536447,0.0161717426710464,0.0448048850373616,0.0448048850373616,-0.0324424680710895,-0.0830462387055615,0.0106823050722069,0.00917854567371065,0.00917854567371065,0.00917854567371065
"ZEB1",-0.17140463151183,-0.17140463151183,-0.17140463151183,-0.170779072977424,-0.170779072977424,-0.150695324189087,0.0714759363911207,0.112222618064898,0.113392740103954,0.113392740103954,0.135220202455417,0.150695324189087,0.170779072977424,0.17140463151183,0.17140463151183,0.17140463151183
"HAS2",-0.168315181728486,-0.168315181728486,-0.168315181728486,-0.269078540507112,-0.169078540507112,-0.150581489099136,0.170779072977424,0.112393348802931,0.110925087596115,0.110925087596115,0.134040987185003,0.150581489099136,0.169078540507112,0.168315181728486,0.168315181728486,0.168315181728486
"ESRP1",-0.168315181728486,-0.168315181728486,-0.168315181728486,-0.169078540507112,-0.269078540507112,-0.150581489099136,0.170779072977424,0.112393348802931,0.110925087596115,0.110925087596115,0.134040987185003,0.150581489099136,0.169078540507112,0.168315181728486,0.168315181728486,0.168315181728486
"CD24",-0.170779072977424,-0.170779072977424,-0.170779072977424,-0.168315181728486,-0.168315181728486,-0.151038110103702,0.17140463151183,0.111636489767926,0.11271644692172,0.11271644692172,0.133171421967612,0.151038110103702,0.168315181728486,0.170779072977424,0.170779072977424,0.170779072977424
"TWIST1",-0.205626633825686,-0.205626633825686,-0.205626633825686,-0.204649435128618,-0.204649435128618,-0.0645937699981436,0.206131157138143,0.0242204023421844,0.0916903987941531,0.0916903987941531,0.128943041288063,0.0391671239864495,0.204649435128618,0.205626633825686,0.205626633825686,0.205626633825686
