"","TWIST1","MIR34","MIR200","MIR129","MIR340","MIR190","MIR1199","GRHL2","ESRP1","ZEB1","HAS2","HA","CD44s","CD24","TGFB","SNAIL1"
"MIR200",0.172131524585686,0.218814254589753,0.218814254589753,0.0849833366940039,0.0815472916351185,0.0815472916351185,0.0815472916351185,0.0815472916351185,0.0815472916351185,-0.0816000064479809,-0.0815472916351185,-0.0804840004958779,-0.0804840004958779,-0.0804840004958779,-0.305210382715247,-0.164852609728957
"MIR34",0.138296353493632,0.136251865467283,0.136251865467283,0.0464442360937168,0.0726658667824746,0.0726658667824746,0.0726658667824746,0.0726658667824746,0.0726658667824746,-0.0728865523790614,-0.0726658667824746,-0.0724087973737343,-0.0724087973737343,-0.0724087973737343,-0.147764148611318,-0.0998324891117369
"MIR190",0.137812411566663,0.135440134647697,0.135440134647697,0.0456083364016798,0.0724087973737343,0.0724087973737343,0.0724087973737343,0.0724087973737343,0.0724087973737343,-0.0726658667824746,-0.0724087973737343,-0.0724087973737343,-0.0724087973737343,-0.0724087973737343,-0.248190891143323,-0.100389592175804
"HAS2",0.144219584337231,0.107314794419825,0.107314794419825,0.0856849816849817,0.0679415277561406,0.0679415277561406,0.0679415277561406,0.0679415277561406,0.0679415277561406,-0.0697257248674405,-0.0679415277561406,0.032312925170068,-0.067687074829932,-0.067687074829932,-0.0902805555949572,-0.130599506768125
"ESRP1",0.144219584337231,0.107314794419825,0.107314794419825,0.0856849816849817,0.0679415277561406,0.0679415277561406,0.0679415277561406,0.0679415277561406,0.0679415277561406,-0.0697257248674405,-0.0679415277561406,-0.067687074829932,-0.167687074829932,-0.067687074829932,-0.0902805555949572,-0.130599506768125
"HA",0.143762963332665,0.108157787043639,0.108157787043639,0.0843151186712831,0.0697257248674405,0.0697257248674405,0.0697257248674405,0.0697257248674405,0.0697257248674405,-0.0696363593625254,-0.0697257248674405,-0.0679415277561406,-0.0679415277561406,-0.0679415277561406,-0.0909568840973727,-0.130883328906252
"CD24",0.143762963332665,0.108157787043639,0.108157787043639,0.0843151186712831,0.0697257248674405,0.0697257248674405,0.0697257248674405,0.0697257248674405,0.0697257248674405,-0.0696363593625254,-0.0697257248674405,-0.0679415277561406,-0.0679415277561406,-0.0679415277561406,-0.0909568840973727,-0.130883328906252
"ZEB1",-0.143482502129798,-0.108212621625982,-0.108212621625982,-0.0846579045858982,-0.0696363593625254,-0.0696363593625254,-0.0696363593625254,-0.0696363593625254,-0.0696363593625254,-0.0307405378565843,0.0696363593625254,0.0697257248674405,0.0697257248674405,0.0697257248674405,0.092160136129893,0.131078705005242
"TWIST1",0.00233679614823009,0.0132166582551721,0.0132166582551721,-0.0208890026483295,0.0126544216338978,0.0126544216338978,0.0126544216338978,0.0126544216338978,0.0126544216338978,-0.0128631899011212,-0.0126544216338978,-0.0132808310550955,-0.0132808310550955,-0.0132808310550955,-0.0130712747351876,-0.0164992873239509
"MIR129",0.101813783595929,0.0132166582551721,0.0132166582551721,-0.0216998841549996,0.0132808310550955,0.0132808310550955,0.0132808310550955,0.0132808310550955,0.0132808310550955,-0.0126544216338978,-0.0132808310550955,-0.0137279249448124,-0.0137279249448124,-0.0137279249448124,-0.013662990711519,-0.0167874717619913
"MIR340",-0.143762963332665,-0.108157787043639,-0.108157787043639,-0.0843151186712831,-0.0697257248674405,-0.0697257248674405,-0.0697257248674405,-0.0697257248674405,-0.0697257248674405,0.0696363593625254,0.0697257248674405,0.0679415277561406,0.0679415277561406,0.0679415277561406,0.0909568840973727,0.130883328906252
"MIR1199",-0.143762963332665,-0.108157787043639,-0.108157787043639,-0.0843151186712831,-0.0697257248674405,-0.0697257248674405,-0.0697257248674405,-0.0697257248674405,-0.0697257248674405,0.0696363593625254,0.0697257248674405,0.0679415277561406,0.0679415277561406,0.0679415277561406,0.0909568840973727,0.130883328906252
"CD44s",-0.143762963332665,-0.108157787043639,-0.108157787043639,-0.0843151186712831,-0.0697257248674405,-0.0697257248674405,-0.0697257248674405,-0.0697257248674405,-0.0697257248674405,0.0696363593625254,0.0697257248674405,0.0679415277561406,0.0679415277561406,0.0679415277561406,0.0909568840973727,0.130883328906252
"SNAIL1",-0.138220377198236,-0.136170820892767,-0.136170820892767,-0.045912402025946,-0.0728865523790614,-0.0728865523790614,-0.0728865523790614,-0.0728865523790614,-0.0728865523790614,0.0727754188167255,0.0728865523790614,0.0726658667824746,0.0726658667824746,0.0726658667824746,0.148365481294562,0.000288161027957276
"TGFB",-0.138296353493632,-0.136251865467283,-0.136251865467283,-0.0464442360937168,-0.0726658667824746,-0.0726658667824746,-0.0726658667824746,-0.0726658667824746,-0.0726658667824746,0.0728865523790614,0.0726658667824746,0.0724087973737343,0.0724087973737343,0.0724087973737343,0.147764148611318,0.0998324891117369
"GRHL2",-0.165570594293313,-0.197583859161334,-0.197583859161334,-0.104707277341758,-0.14790005821136,-0.14790005821136,-0.14790005821136,-0.14790005821136,-0.14790005821136,0.148297058652471,0.14790005821136,0.146498784326009,0.146498784326009,0.0464987843260095,0.175347499541986,0.156016340494252
