"","MIR200","MIR340","MIR190","MIR1199","HAS2","GRHL2","ESRP1","CD44s","TWIST1","ZEB1","MIR34","SNAIL1","MIR129","HA","CD24","TGFB"
"GRHL2",0.3220228256238,0.301841541496092,0.301841541496092,0.301841541496092,0.301841541496092,0.301841541496092,0.301841541496092,0.300949821750869,0.116543251048015,-0.302459097737821,-0.226169295215068,-0.183018910397437,-0.18732191986594,-0.300949821750869,-0.400949821750869,-0.312580556162923
"MIR1199",0.199327353674011,0.174947414547288,0.174947414547288,0.174947414547288,0.174947414547288,0.174947414547288,0.174947414547288,0.174522605711264,0.0963520134981859,-0.175632550084971,-0.113830533175381,-0.158094465875074,-0.165680408337298,-0.174522605711264,-0.174522605711264,-0.189350824382132
"HA",0.199327353674011,0.174947414547288,0.174947414547288,0.174947414547288,0.174947414547288,0.174947414547288,0.174947414547288,0.174522605711264,0.0963520134981859,-0.175632550084971,-0.113830533175381,-0.158094465875074,-0.165680408337298,-0.174522605711264,-0.174522605711264,-0.189350824382132
"CD44s",0.199327353674011,0.174947414547288,0.174947414547288,0.174947414547288,0.174947414547288,0.174947414547288,0.174947414547288,0.174522605711264,0.0963520134981859,-0.175632550084971,-0.113830533175381,-0.158094465875074,-0.165680408337298,-0.174522605711264,-0.174522605711264,-0.189350824382132
"ESRP1",0.19901123144008,0.174522605711264,0.174522605711264,0.174522605711264,0.174522605711264,0.174522605711264,0.174522605711264,0.272232529375387,0.0968086345027521,-0.174947414547288,-0.113619785019428,-0.157337606840069,-0.164858490529079,-0.172232529375387,-0.172232529375387,-0.186742128729958
"MIR200",0.245947832584678,0.146249997681514,0.146249997681514,0.146249997681514,0.146249997681514,0.146249997681514,0.146249997681514,0.146098098947336,0.0742949774201744,-0.146548714954401,-0.0126490196096329,-0.135870032406252,-0.14879332427061,-0.146098098947336,-0.146098098947336,-0.346302954154726
"SNAIL1",-0.0148462186986208,0.0813166329034769,0.0813166329034769,0.0813166329034769,0.0813166329034769,0.0813166329034769,0.0813166329034769,0.0814784690076405,-0.0163561816639325,-0.0814479725680556,-0.0975869191097302,-0.0901749919493666,0.0718261477703956,-0.0814784690076405,-0.0814784690076405,0.0160357887376998
"TGFB",-0.0146391047859688,0.0814784690076405,0.0814784690076405,0.0814784690076405,0.0814784690076405,0.0814784690076405,0.0814784690076405,0.0812213995989002,-0.0160674717414283,-0.0813166329034769,-0.0975779141570062,0.00994492171279669,0.0718717335476331,-0.0812213995989002,-0.0812213995989002,0.0164745990741211
"MIR34",-0.0146391047859688,0.0814784690076405,0.0814784690076405,0.0814784690076405,0.0814784690076405,0.0814784690076405,0.0814784690076405,0.0812213995989002,-0.0160674717414283,-0.0813166329034769,-0.0975779141570062,0.00994492171279669,0.0718717335476331,-0.0812213995989002,-0.0812213995989002,0.0164745990741211
"ZEB1",-0.200040203244473,-0.175632550084971,-0.175632550084971,-0.175632550084971,-0.175632550084971,-0.175632550084971,-0.175632550084971,-0.174947414547288,-0.0965701499893047,0.0757242277869162,0.113958480534182,0.1582572792909,0.166023194251913,0.174947414547288,0.174947414547288,0.189708547959368
"MIR190",0.0151889869540757,-0.0812213995989002,-0.0812213995989002,-0.0812213995989002,-0.0812213995989002,-0.0812213995989002,-0.0812213995989002,-0.0809707730324841,0.0167273925509312,0.0814784690076405,0.0978135779433377,-0.00966637018076327,-0.0721796965920677,0.0809707730324841,0.0809707730324841,-0.116332351563452
"HAS2",-0.19901123144008,-0.174522605711264,-0.174522605711264,-0.174522605711264,-0.174522605711264,-0.174522605711264,-0.174522605711264,-0.172232529375387,-0.0968086345027521,0.174947414547288,0.113619785019428,0.157337606840069,0.164858490529079,0.0722325293753865,0.172232529375387,0.186742128729958
"MIR340",-0.199327353674011,-0.174947414547288,-0.174947414547288,-0.174947414547288,-0.174947414547288,-0.174947414547288,-0.174947414547288,-0.174522605711264,-0.0963520134981859,0.175632550084971,0.113830533175381,0.158094465875074,0.165680408337298,0.174522605711264,0.174522605711264,0.189350824382132
"CD24",-0.199327353674011,-0.174947414547288,-0.174947414547288,-0.174947414547288,-0.174947414547288,-0.174947414547288,-0.174947414547288,-0.174522605711264,-0.0963520134981859,0.175632550084971,0.113830533175381,0.158094465875074,0.165680408337298,0.174522605711264,0.174522605711264,0.189350824382132
"MIR129",-0.121686916238611,-0.211258352167863,-0.211258352167863,-0.211258352167863,-0.211258352167863,-0.211258352167863,-0.211258352167863,-0.210811258278146,0.0075187969924812,0.211433746805798,0.0912308245853266,0.037572091447511,-0.116173855377289,0.210811258278146,0.210811258278146,0.150716369284388
"TWIST1",-0.12199489283239,-0.211433746805798,-0.211433746805798,-0.211433746805798,-0.211433746805798,-0.211433746805798,-0.211433746805798,-0.211258352167863,-0.0925858055179791,0.211485938872604,0.0911384316071929,0.0375858145159891,-0.115833808293847,0.211258352167863,0.211258352167863,0.151139023553196
