"","MIR340","MIR190","MIR1199","HAS2","ESRP1","CD44s","CD24","MIR200","MIR34","MIR129","SNAIL1","TWIST1","TGFB","ZEB1","HA","GRHL2"
"MIR340",0.493347774230682,0.493347774230682,0.493347774230682,0.493347774230682,0.493347774230682,0.451801470067555,0.451801470067555,0.369510843135553,0.365169523282664,0.0628351919903894,-0.0624550513886791,-0.0856293468551325,-0.396870410263126,-0.505829156417158,-0.451801470067555,-0.493347774230682
"MIR1199",0.493347774230682,0.493347774230682,0.493347774230682,0.493347774230682,0.493347774230682,0.451801470067555,0.451801470067555,0.369510843135553,0.365169523282664,0.0628351919903894,-0.0624550513886791,-0.0856293468551325,-0.396870410263126,-0.505829156417158,-0.451801470067555,-0.493347774230682
"CD44s",0.493347774230682,0.493347774230682,0.493347774230682,0.493347774230682,0.493347774230682,0.451801470067555,0.451801470067555,0.369510843135553,0.365169523282664,0.0628351919903894,-0.0624550513886791,-0.0856293468551325,-0.396870410263126,-0.505829156417158,-0.451801470067555,-0.493347774230682
"CD24",0.493347774230682,0.493347774230682,0.493347774230682,0.493347774230682,0.493347774230682,0.451801470067555,0.451801470067555,0.369510843135553,0.365169523282664,0.0628351919903894,-0.0624550513886791,-0.0856293468551325,-0.396870410263126,-0.505829156417158,-0.451801470067555,-0.493347774230682
"HAS2",0.451801470067555,0.451801470067555,0.451801470067555,0.451801470067555,0.451801470067555,0.433735312306741,0.433735312306741,0.354758472218799,0.328393970068754,0.0404607627666451,-0.0819441715400509,-0.0765882509647215,-0.374551569683416,-0.493347774230682,-0.533735312306741,-0.451801470067555
"ESRP1",0.451801470067555,0.451801470067555,0.451801470067555,0.451801470067555,0.451801470067555,0.533735312306741,0.433735312306741,0.354758472218799,0.328393970068754,0.0404607627666451,-0.0819441715400509,-0.0765882509647215,-0.374551569683416,-0.493347774230682,-0.433735312306741,-0.451801470067555
"MIR200",0.40028827555851,0.40028827555851,0.40028827555851,0.40028827555851,0.40028827555851,0.368541440115472,0.368541440115472,0.395451606126031,0.19676921623329,-0.032598493609142,0.0595313783429675,0.0814811585021401,-0.521304493515141,-0.407193916043486,-0.368541440115472,-0.40028827555851
"SNAIL1",0.17032571835369,0.17032571835369,0.17032571835369,0.17032571835369,0.17032571835369,0.160306592268652,0.160306592268652,0.180823891108645,0.00551695725228452,-0.034750695667416,-0.0190745505005313,0.120195373799233,-0.207256035878084,-0.170153966484625,-0.160306592268652,-0.17032571835369
"MIR190",0.161420559706527,0.161420559706527,0.161420559706527,0.161420559706527,0.161420559706527,0.14412732662382,0.14412732662382,0.174025616315167,0.00141209942336943,-0.0319654106948052,0.083949686162349,0.119367663369129,-0.296279327434158,-0.160306592268652,-0.14412732662382,-0.161420559706527
"MIR129",0.065700216802703,0.065700216802703,0.065700216802703,0.065700216802703,0.065700216802703,0.0697240618101545,0.0697240618101545,0.0350102175415736,0.0493275033372263,-0.0164638028143377,-0.0435225194491869,-0.11709162145871,-0.0463934356694898,-0.0763992897167596,-0.0697240618101545,-0.065700216802703
"TWIST1",-0.0763992897167596,-0.0763992897167596,-0.0763992897167596,-0.0763992897167596,-0.0763992897167596,-0.065700216802703,-0.065700216802703,-0.036272921576067,-0.0612153998570908,0.0057130834839689,0.0336281870764683,0.0211711193666599,0.0477177523784219,0.0745899647341569,0.065700216802703,0.0763992897167596
"TGFB",-0.160306592268652,-0.160306592268652,-0.160306592268652,-0.160306592268652,-0.160306592268652,-0.161420559706527,-0.161420559706527,-0.178869816367537,0.00479371361669342,0.0431840644563538,-0.0731790269237232,-0.123371182946779,0.204671930563604,0.17032571835369,0.161420559706527,0.160306592268652
"MIR34",-0.160306592268652,-0.160306592268652,-0.160306592268652,-0.160306592268652,-0.160306592268652,-0.161420559706527,-0.161420559706527,-0.178869816367537,0.00479371361669342,0.0431840644563538,-0.0731790269237232,-0.123371182946779,0.204671930563604,0.17032571835369,0.161420559706527,0.160306592268652
"ZEB1",-0.505829156417158,-0.505829156417158,-0.505829156417158,-0.505829156417158,-0.505829156417158,-0.493347774230682,-0.493347774230682,-0.384700022444637,-0.365297470641465,-0.0469112281387222,0.0783782034564094,0.0804252334241571,0.421878540344427,0.43099977880689,0.493347774230682,0.505829156417158
"HA",-0.493347774230682,-0.493347774230682,-0.493347774230682,-0.493347774230682,-0.493347774230682,-0.451801470067555,-0.451801470067555,-0.369510843135553,-0.365169523282664,-0.0628351919903894,0.0624550513886791,0.0856293468551325,0.396870410263126,0.505829156417158,0.451801470067555,0.493347774230682
"GRHL2",-0.630540271439561,-0.630540271439561,-0.630540271439561,-0.630540271439561,-0.630540271439561,-0.594871481630644,-0.694871481630644,-0.476040532975027,-0.51224094829596,-0.0726724558406954,0.0888561243858668,0.10125956420492,0.514478014828203,0.650566738135635,0.594871481630644,0.630540271439561
