"","MIR340","MIR190","MIR1199","ESRP1","HA","CD24","TGFB","MIR129","ZEB1","SNAIL1","TWIST1","MIR34","MIR200","CD44s","HAS2","GRHL2"
"TWIST1",0.153152151108454,0.153152151108454,0.153152151108454,0.153152151108454,0.153026869224215,0.153026869224215,0.0981223228876371,0.00852464611020153,-0.153534892931697,0.00372247387752649,0.00149809006919608,-0.0722009756260003,-0.0722009756260003,-0.153026869224215,-0.153152151108454,-0.153152151108454
"MIR129",0.153026869224215,0.153026869224215,0.153026869224215,0.153026869224215,0.154070088300221,0.154070088300221,0.0992212239865382,0.00912626787321487,-0.153152151108454,0.00359896626122349,0.101916500111037,-0.0721393803072445,-0.0721393803072445,-0.154070088300221,-0.153026869224215,-0.153026869224215
"GRHL2",0.135033453052828,0.135033453052828,0.135033453052828,0.135033453052828,0.135670395727987,0.0356703957279874,0.144494787306029,0.0607350078225408,-0.135695120454681,0.0442480302259027,-0.0470730500482058,-0.151887209412972,-0.151887209412972,-0.135670395727987,-0.135033453052828,-0.135033453052828
"SNAIL1",0.0682082445210082,0.0682082445210082,0.0682082445210082,0.0682082445210082,0.0681641074016908,0.0681641074016908,0.121684116318906,0.0846733205591857,-0.0682183475721296,-0.0728662607669599,-0.0221086454552287,-0.0982938492044156,-0.0982938492044156,-0.0681641074016908,-0.0682082445210082,-0.0682082445210082
"HA",0.0601195390048721,0.0601195390048721,0.0601195390048721,0.0601195390048721,0.0598646537032579,0.0598646537032579,0.0512735501164816,0.0420651875655905,-0.0609238285491081,0.0191560317185012,-0.0304323318905108,-0.0502429402517907,-0.0502429402517907,-0.0598646537032579,-0.0601195390048721,-0.0601195390048721
"CD44s",0.0601195390048721,0.0601195390048721,0.0601195390048721,0.0601195390048721,0.0598646537032579,0.0598646537032579,0.0512735501164816,0.0420651875655905,-0.0609238285491081,0.0191560317185012,-0.0304323318905108,-0.0502429402517907,-0.0502429402517907,-0.0598646537032579,-0.0601195390048721,-0.0601195390048721
"ZEB1",-0.0609238285491081,-0.0609238285491081,-0.0609238285491081,-0.0609238285491081,-0.0601195390048721,-0.0601195390048721,-0.0513060704416849,-0.0421586746332128,-0.0390863578622192,-0.0195142212333172,0.0307751178051259,0.05073645149288,0.05073645149288,0.0601195390048721,0.0609238285491081,0.0609238285491081
"HAS2",-0.0598646537032579,-0.0598646537032579,-0.0598646537032579,-0.0598646537032579,-0.16317254174397,-0.0631725417439703,-0.0538822457686555,-0.0430697537756361,0.0601195390048721,-0.0191560317185012,0.0301583592877711,0.0503483143297675,0.0503483143297675,0.0631725417439703,0.0598646537032579,0.0598646537032579
"ESRP1",-0.0598646537032579,-0.0598646537032579,-0.0598646537032579,-0.0598646537032579,-0.0631725417439703,-0.0631725417439703,-0.0538822457686555,-0.0430697537756361,0.0601195390048721,-0.0191560317185012,0.0301583592877711,0.0503483143297675,0.0503483143297675,-0.0368274582560297,0.0598646537032579,0.0598646537032579
"MIR200",-0.0598784615884585,-0.0598784615884585,-0.0598784615884585,-0.0598784615884585,-0.0598278286770661,-0.0598278286770661,-0.0641275941797136,0.0835416573240277,0.0604231813213701,0.0535845517457253,-0.0412800624129463,-0.0287711296608574,-0.0287711296608574,0.0598278286770661,0.0598784615884585,0.0598784615884585
"MIR340",-0.0601195390048721,-0.0601195390048721,-0.0601195390048721,-0.0601195390048721,-0.0598646537032579,-0.0598646537032579,-0.0512735501164816,-0.0420651875655905,0.0609238285491081,-0.0191560317185012,0.0304323318905108,0.0502429402517907,0.0502429402517907,0.0598646537032579,0.0601195390048721,0.0601195390048721
"MIR1199",-0.0601195390048721,-0.0601195390048721,-0.0601195390048721,-0.0601195390048721,-0.0598646537032579,-0.0598646537032579,-0.0512735501164816,-0.0420651875655905,0.0609238285491081,-0.0191560317185012,0.0304323318905108,0.0502429402517907,0.0502429402517907,0.0598646537032579,0.0601195390048721,0.0601195390048721
"CD24",-0.0601195390048721,-0.0601195390048721,-0.0601195390048721,-0.0601195390048721,-0.0598646537032579,-0.0598646537032579,-0.0512735501164816,-0.0420651875655905,0.0609238285491081,-0.0191560317185012,0.0304323318905108,0.0502429402517907,0.0502429402517907,0.0598646537032579,0.0601195390048721,0.0601195390048721
"MIR190",-0.0683354870075177,-0.0683354870075177,-0.0683354870075177,-0.0683354870075177,-0.0680848604411017,-0.0680848604411017,-0.0216854571860636,-0.0846413389844234,0.0681641074016908,-0.0272201357091001,0.0218158776698732,0.0982586593865436,0.0982586593865436,0.0680848604411017,0.0683354870075177,0.0683354870075177
"TGFB",-0.0681641074016908,-0.0681641074016908,-0.0681641074016908,-0.0681641074016908,-0.0683354870075177,-0.0683354870075177,-0.121732873022953,-0.0845973442637899,0.0682082445210082,-0.0271737104537611,0.0221238407143078,0.0982848442516916,0.0982848442516916,0.0683354870075177,0.0681641074016908,0.0681641074016908
"MIR34",-0.0681641074016908,-0.0681641074016908,-0.0681641074016908,-0.0681641074016908,-0.0683354870075177,-0.0683354870075177,-0.121732873022953,-0.0845973442637899,0.0682082445210082,-0.0271737104537611,0.0221238407143078,0.0982848442516916,0.0982848442516916,0.0683354870075177,0.0681641074016908,0.0681641074016908
