"","MIR34","SNAIL1","TGFB","MIR129","ZEB1","CD44s","MIR340","MIR1199","HAS2","GRHL2","MIR190","ESRP1","HA","CD24","MIR200","TWIST1"
"TWIST1",-0.00988959681311561,-0.304134328670853,0.0780813339292012,-0.0420938302005964,-0.251310180290771,0.248341710175252,0.251223193512761,0.251223193512761,0.251223193512761,0.251223193512761,-0.251223193512761,-0.251223193512761,-0.248341710175252,-0.248341710175252,0.00988959681311561,0.179919976368885
"TGFB",-0.140290111446769,-0.457781373331159,-0.0425798529643238,-0.154804489475218,-0.238394510608364,0.234389366446648,0.233789537826254,0.233789537826254,0.233789537826254,0.233789537826254,-0.233789537826254,-0.233789537826254,-0.234389366446648,-0.234389366446648,0.140290111446769,0.376362731494634
"ZEB1",-0.0877370945879519,-0.0828794956274707,-0.0782182320831705,-0.0588995458680719,-0.0513747696402587,-0.0506185019877577,-0.0418308940044392,-0.0418308940044392,-0.0418308940044392,-0.0418308940044392,0.0418308940044392,0.0418308940044392,0.0506185019877577,0.0506185019877577,0.0877370945879519,0.0966769503501168
"ESRP1",0.0842991184328095,0.0845709683633861,0.0818388282891325,0.0569383949383949,-0.0506185019877577,-0.0460111317254174,0.0374494280710202,0.0374494280710202,0.0374494280710202,0.0374494280710202,-0.0374494280710202,-0.0374494280710202,-0.0539888682745826,-0.0539888682745826,-0.0842991184328095,-0.096290423302188
"MIR340",0.0954687706983522,0.0785160960833483,0.066283272733577,0.0636050616050616,-0.0418308940044392,0.0374494280710202,0.0506185019877577,0.0506185019877577,0.0506185019877577,0.0506185019877577,-0.0506185019877577,-0.0506185019877577,-0.0374494280710202,-0.0374494280710202,-0.0954687706983522,-0.0983908799231926
"HA",0.0954687706983522,0.0785160960833483,0.066283272733577,0.0636050616050616,-0.0418308940044392,0.0374494280710202,0.0506185019877577,0.0506185019877577,0.0506185019877577,0.0506185019877577,-0.0506185019877577,-0.0506185019877577,-0.0374494280710202,-0.0374494280710202,-0.0954687706983522,-0.0983908799231926
"CD24",0.0954687706983522,0.0785160960833483,0.066283272733577,0.0636050616050616,-0.0418308940044392,0.0374494280710202,0.0506185019877577,0.0506185019877577,0.0506185019877577,0.0506185019877577,-0.0506185019877577,-0.0506185019877577,-0.0374494280710202,-0.0374494280710202,-0.0954687706983522,-0.0983908799231926
"GRHL2",0.0148421409167083,0.0629849617776529,-0.00538436339385756,0.0606484470930476,0.0124202150748999,-0.0165079429006131,-0.00249520404710988,-0.00249520404710988,-0.00249520404710988,-0.00249520404710988,0.00249520404710988,0.00249520404710988,0.0165079429006131,-0.0834920570993869,-0.0148421409167083,-0.0798303126429107
"MIR1199",-0.0954687706983522,-0.0785160960833483,-0.066283272733577,-0.0636050616050616,0.0418308940044392,-0.0374494280710202,-0.0506185019877577,-0.0506185019877577,-0.0506185019877577,-0.0506185019877577,0.0506185019877577,0.0506185019877577,0.0374494280710202,0.0374494280710202,0.0954687706983522,0.0983908799231926
"CD44s",-0.0954687706983522,-0.0785160960833483,-0.066283272733577,-0.0636050616050616,0.0418308940044392,-0.0374494280710202,-0.0506185019877577,-0.0506185019877577,-0.0506185019877577,-0.0506185019877577,0.0506185019877577,0.0506185019877577,0.0374494280710202,0.0374494280710202,0.0954687706983522,0.0983908799231926
"HAS2",-0.0842991184328095,-0.0845709683633861,-0.0818388282891325,-0.0569383949383949,0.0506185019877577,-0.0539888682745826,-0.0374494280710202,-0.0374494280710202,-0.0374494280710202,-0.0374494280710202,0.0374494280710202,0.0374494280710202,-0.0460111317254174,0.0539888682745826,0.0842991184328095,0.096290423302188
"MIR200",0.00712756124908173,0.229237748211059,-0.108211526717395,0.107694713781287,0.150521341618913,-0.144356030634881,-0.155950967343741,-0.155950967343741,-0.155950967343741,-0.155950967343741,0.155950967343741,0.155950967343741,0.144356030634881,0.144356030634881,-0.00712756124908173,-0.218490060636113
"MIR190",0.13607434815795,0.454438754946758,-0.0524414841622765,0.151152927662635,0.233789537826254,-0.225116183489255,-0.234389366446648,-0.234389366446648,-0.234389366446648,-0.234389366446648,0.234389366446648,0.234389366446648,0.225116183489255,0.225116183489255,-0.13607434815795,-0.369719528678972
"SNAIL1",0.138768274436413,0.362266144296064,0.0454239940337208,0.154698122661663,0.237879255001171,-0.233789537826254,-0.238394510608364,-0.238394510608364,-0.238394510608364,-0.238394510608364,0.238394510608364,0.238394510608364,0.233789537826254,0.233789537826254,-0.138768274436413,-0.379812055305605
"MIR34",0.140290111446769,0.457781373331159,0.0425798529643238,0.154804489475218,0.238394510608364,-0.234389366446648,-0.233789537826254,-0.233789537826254,-0.233789537826254,-0.233789537826254,0.233789537826254,0.233789537826254,0.234389366446648,0.234389366446648,-0.140290111446769,-0.376362731494634
"MIR129",0.010597942978807,0.301211315085015,-0.0792929428331178,0.0419107279248967,0.251223193512761,-0.247745584988962,-0.248341710175252,-0.248341710175252,-0.248341710175252,-0.248341710175252,0.248341710175252,0.248341710175252,0.247745584988962,0.247745584988962,-0.010597942978807,-0.277304913607379
