"","MIR340","MIR190","HAS2","HA","CD44s","CD24","MIR200","MIR129","ZEB1","SNAIL1","TWIST1","MIR34","TGFB","MIR1199","GRHL2","ESRP1"
"GRHL2",0.212835910185962,0.212835910185962,0.212835910185962,0.21270852165093,0.21270852165093,0.11270852165093,0.212003542067069,0.0537232857276078,-0.212968243666332,-0.0507681711408992,-0.0537232857276078,-0.212003542067069,-0.211452576176216,-0.212835910185962,-0.212835910185962,-0.212835910185962
"MIR200",0.113983900569535,0.113983900569535,0.113983900569535,0.114540862594851,0.114540862594851,0.114540862594851,0.0161168134950576,-0.0475289862095986,-0.114493477093871,0.0462375191135081,0.0475289862095986,-0.0161168134950576,-0.114073918981252,-0.113983900569535,-0.113983900569535,-0.113983900569535
"MIR340",0.110077366960845,0.110077366960845,0.110077366960845,0.110332252262459,0.110332252262459,0.110332252262459,0.0915149936276218,0.0382679195636488,-0.11034546347559,-0.0266592698536024,-0.0382679195636488,-0.0915149936276218,-0.096394911004665,-0.110077366960845,-0.110077366960845,-0.110077366960845
"MIR1199",0.110077366960845,0.110077366960845,0.110077366960845,0.110332252262459,0.110332252262459,0.110332252262459,0.0915149936276218,0.0382679195636488,-0.11034546347559,-0.0266592698536024,-0.0382679195636488,-0.0915149936276218,-0.096394911004665,-0.110077366960845,-0.110077366960845,-0.110077366960845
"HA",0.110077366960845,0.110077366960845,0.110077366960845,0.110332252262459,0.110332252262459,0.110332252262459,0.0915149936276218,0.0382679195636488,-0.11034546347559,-0.0266592698536024,-0.0382679195636488,-0.0915149936276218,-0.096394911004665,-0.110077366960845,-0.110077366960845,-0.110077366960845
"CD44s",0.110077366960845,0.110077366960845,0.110077366960845,0.110332252262459,0.110332252262459,0.110332252262459,0.0915149936276218,0.0382679195636488,-0.11034546347559,-0.0266592698536024,-0.0382679195636488,-0.0915149936276218,-0.096394911004665,-0.110077366960845,-0.110077366960845,-0.110077366960845
"HAS2",0.110332252262459,0.110332252262459,0.110332252262459,0.209059987631416,0.109059987631416,0.109059987631416,0.091409619549645,0.0356195177371648,-0.110077366960845,-0.0260916255773489,-0.0356195177371648,-0.091409619549645,-0.096298292647177,-0.110332252262459,-0.110332252262459,-0.110332252262459
"MIR190",0.0692562672189158,0.0692562672189158,0.0692562672189158,0.0702587734845799,0.0702587734845799,0.0702587734845799,-0.0262076322530134,-0.0378165368045529,-0.0701131652480503,0.0202832798842986,0.0378165368045529,0.0262076322530134,-0.0733308307826567,-0.0692562672189158,-0.0692562672189158,-0.0692562672189158
"SNAIL1",0.0696865064279826,0.0696865064279826,0.0696865064279826,0.0701131652480503,0.0701131652480503,0.0701131652480503,-0.0258601339804953,-0.0381075530906217,-0.06987846439929,-0.0794997027377586,0.0381075530906217,0.0258601339804953,0.026833356088913,-0.0696865064279826,-0.0696865064279826,-0.0696865064279826
"MIR34",0.0701131652480503,0.0701131652480503,0.0701131652480503,0.0692562672189158,0.0692562672189158,0.0692562672189158,-0.0252387922425395,-0.0373325948775841,-0.0696865064279826,0.0212117849910766,0.0373325948775841,0.0252387922425395,0.0277597334658023,-0.0701131652480503,-0.0701131652480503,-0.0701131652480503
"TWIST1",0.0236488842688346,0.0236488842688346,0.0236488842688346,0.0241750681826407,0.0241750681826407,0.0241750681826407,0.0225039046436413,0.213275006110938,-0.0240664208032814,-0.0291004292650221,0.0862956661060087,-0.0225039046436413,-0.022785237957504,-0.0236488842688346,-0.0236488842688346,-0.0236488842688346
"MIR129",0.0241750681826407,0.0241750681826407,0.0241750681826407,0.0234299116997793,0.0234299116997793,0.0234299116997793,0.0227810835780423,0.211522455757812,-0.0236488842688346,-0.028592675731332,0.188021607528603,-0.0227810835780423,-0.0226443532012347,-0.0241750681826407,-0.0241750681826407,-0.0241750681826407
"ZEB1",-0.11034546347559,-0.11034546347559,-0.11034546347559,-0.110077366960845,-0.110077366960845,-0.110077366960845,-0.0918988357040247,-0.037738159513789,0.0100296847244445,0.0260080161903005,0.037738159513789,0.0918988357040247,0.0963623906794617,0.11034546347559,0.11034546347559,0.11034546347559
"TGFB",-0.0701131652480503,-0.0701131652480503,-0.0701131652480503,-0.0692562672189158,-0.0692562672189158,-0.0692562672189158,0.0252387922425395,0.0373325948775841,0.0696865064279826,-0.0212117849910766,-0.0373325948775841,-0.0252387922425395,-0.0277597334658023,0.0701131652480503,0.0701131652480503,0.0701131652480503
"ESRP1",-0.110332252262459,-0.110332252262459,-0.110332252262459,-0.109059987631416,-0.209059987631416,-0.109059987631416,-0.091409619549645,-0.0356195177371648,0.110077366960845,0.0260916255773489,0.0356195177371648,0.091409619549645,0.096298292647177,0.110332252262459,0.110332252262459,0.110332252262459
"CD24",-0.110077366960845,-0.110077366960845,-0.110077366960845,-0.110332252262459,-0.110332252262459,-0.110332252262459,-0.0915149936276218,-0.0382679195636488,0.11034546347559,0.0266592698536024,0.0382679195636488,0.0915149936276218,0.096394911004665,0.110077366960845,0.110077366960845,0.110077366960845
