"","SNAIL1","ZEB1","MIR34","MIR200","MIR190","MIR1199","HAS2","GRHL2","ESRP1","CD44s","HA","CD24","TGFB","MIR340","TWIST1","MIR129"
"ZEB1",-0.0812278001711262,-0.0672003940641922,-0.0327687325371331,-0.0327687325371331,-0.031220712180078,-0.031220712180078,-0.031220712180078,-0.031220712180078,-0.031220712180078,-0.0281524965113261,0.0281524965113261,0.0281524965113261,0.0294837448823153,0.031220712180078,0.0718513892338225,0.0718513892338225
"TGFB",0.0109643474803015,-0.0462652958760119,0.0649565900702454,0.0649565900702454,0.0453972658627708,0.0453972658627708,0.0453972658627708,0.0453972658627708,0.0453972658627708,0.0471967517239533,-0.0471967517239533,-0.0471967517239533,-0.0924333654693444,-0.0453972658627708,0.0243922148436004,0.0243922148436004
"MIR340",0.0818139284680979,-0.031220712180078,0.0296797177317959,0.0296797177317959,0.0281524965113261,0.0281524965113261,0.0281524965113261,0.0281524965113261,0.0281524965113261,0.029936693622626,-0.029936693622626,-0.029936693622626,-0.0306219562644291,-0.0281524965113261,-0.0735653188068982,-0.0735653188068982
"CD24",0.0818139284680979,-0.031220712180078,0.0296797177317959,0.0296797177317959,0.0281524965113261,0.0281524965113261,0.0281524965113261,0.0281524965113261,0.0281524965113261,0.029936693622626,-0.029936693622626,-0.029936693622626,-0.0306219562644291,-0.0281524965113261,-0.0735653188068982,-0.0735653188068982
"HAS2",0.0849359719874924,-0.0281524965113261,0.0304173362776336,0.0304173362776336,0.029936693622626,0.029936693622626,0.029936693622626,0.029936693622626,0.029936693622626,0.040878169449598,-0.140878169449598,-0.040878169449598,-0.0401871736557335,-0.029936693622626,-0.0745698850169439,-0.0745698850169439
"TWIST1",0.0255724221482731,-0.00658052606550724,-0.00784125819227982,-0.00784125819227982,0.00638915515388581,0.00638915515388581,0.00638915515388581,0.00638915515388581,0.00638915515388581,0.00591308399377556,-0.00591308399377556,-0.00591308399377556,0.00290346110246973,-0.00638915515388581,0.0857910495504401,-0.206527673891134
"MIR129",-0.0260252834080508,0.00638915515388581,0.00784125819227982,0.00784125819227982,-0.00591308399377556,-0.00591308399377556,-0.00591308399377556,-0.00591308399377556,-0.00591308399377556,-0.00755242825607064,0.00755242825607064,0.00755242825607064,-0.00197362171109188,0.00591308399377556,-0.186418664613202,0.205873737192207
"GRHL2",0.0642225831153925,0.026601740841129,-0.0357773731070712,-0.0357773731070712,-0.0293366327687867,-0.0293366327687867,-0.0293366327687867,-0.0293366327687867,-0.0293366327687867,-0.030737906654137,0.030737906654137,-0.069262093345863,0.0344131119688193,0.0293366327687867,-0.0654840179888271,-0.0654840179888271
"ESRP1",-0.0849359719874924,0.0281524965113261,-0.0304173362776336,-0.0304173362776336,-0.029936693622626,-0.029936693622626,-0.029936693622626,-0.029936693622626,-0.029936693622626,0.059121830550402,0.040878169449598,0.040878169449598,0.0401871736557335,0.029936693622626,0.0745698850169439,0.0745698850169439
"MIR1199",-0.0818139284680979,0.031220712180078,-0.0296797177317959,-0.0296797177317959,-0.0281524965113261,-0.0281524965113261,-0.0281524965113261,-0.0281524965113261,-0.0281524965113261,-0.029936693622626,0.029936693622626,0.029936693622626,0.0306219562644291,0.0281524965113261,0.0735653188068982,0.0735653188068982
"HA",-0.0818139284680979,0.031220712180078,-0.0296797177317959,-0.0296797177317959,-0.0281524965113261,-0.0281524965113261,-0.0281524965113261,-0.0281524965113261,-0.0281524965113261,-0.029936693622626,0.029936693622626,0.029936693622626,0.0306219562644291,0.0281524965113261,0.0735653188068982,0.0735653188068982
"CD44s",-0.0818139284680979,0.031220712180078,-0.0296797177317959,-0.0296797177317959,-0.0281524965113261,-0.0281524965113261,-0.0281524965113261,-0.0281524965113261,-0.0281524965113261,-0.029936693622626,0.029936693622626,0.029936693622626,0.0306219562644291,0.0281524965113261,0.0735653188068982,0.0735653188068982
"MIR190",-0.0119857030977574,0.0453972658627708,-0.0655064722383523,-0.0655064722383523,-0.0471967517239533,-0.0471967517239533,-0.0471967517239533,-0.0471967517239533,-0.0471967517239533,-0.0489511376888656,0.0489511376888656,0.0489511376888656,-0.00486393182795285,0.0471967517239533,-0.0225884312976259,-0.0225884312976259
"MIR34",-0.0109643474803015,0.0462652958760119,-0.0649565900702454,-0.0649565900702454,-0.0453972658627708,-0.0453972658627708,-0.0453972658627708,-0.0453972658627708,-0.0453972658627708,-0.0471967517239533,0.0471967517239533,0.0471967517239533,0.0924333654693444,0.0453972658627708,-0.0243922148436004,-0.0243922148436004
"SNAIL1",-0.111020307189311,0.0470836430168485,-0.0658841002008173,-0.0658841002008173,-0.0462652958760119,-0.0462652958760119,-0.0462652958760119,-0.0462652958760119,-0.0462652958760119,-0.0453972658627708,0.0453972658627708,0.0453972658627708,0.0914094746843615,0.0462652958760119,-0.0244378006208379,-0.0244378006208379
"MIR200",0.00394566727168028,0.0513688769233109,-0.138475774107644,-0.138475774107644,-0.0502970090617752,-0.0502970090617752,-0.0502970090617752,-0.0502970090617752,-0.0502970090617752,-0.0520691609605093,0.0520691609605093,0.0520691609605093,0.0454693853262591,0.0502970090617752,-0.02521348532942,-0.02521348532942
