"","MIR200","TGFB","MIR340","MIR190","MIR1199","HAS2","GRHL2","ESRP1","MIR34","MIR129","SNAIL1","TWIST1","ZEB1","HA","CD44s","CD24"
"GRHL2",0.242629387270815,0.254959594506409,0.265949706791272,0.265949706791272,0.265949706791272,0.265949706791272,0.265949706791272,0.265949706791272,0.258544282670306,0.0771268992325617,0.0593446931928422,0.0595539190835227,-0.265861484471025,-0.264803209975985,-0.264803209975985,-0.364803209975985
"MIR129",0.120685692457061,0.156208258578983,0.22530335929044,0.22530335929044,0.22530335929044,0.22530335929044,0.22530335929044,0.22530335929044,0.111496973101959,-0.159592851218692,-0.0135323155239609,-0.0248185480963629,-0.2263807834949,-0.226346578366446,-0.226346578366446,-0.226346578366446
"MIR200",0.25289161720231,0.366816126250931,0.168711585017139,0.168711585017139,0.168711585017139,0.168711585017139,0.168711585017139,0.168711585017139,0.0475079520355565,-0.0878879451370158,-0.0662220660791093,-0.0365871456224931,-0.168448010952827,-0.166939433118405,-0.166939433118405,-0.166939433118405
"MIR190",0.160962892331541,0.298830431871801,0.160564554659926,0.160564554659926,0.160564554659926,0.160564554659926,0.160564554659926,0.160564554659926,0.00318094562729941,-0.107094280673537,-0.064432013682028,-0.0275045023007763,-0.161592832294888,-0.160564554659926,-0.160564554659926,-0.160564554659926
"TGFB",0.165754722653615,0.194894917409971,0.161592832294888,0.161592832294888,0.161592832294888,0.161592832294888,0.161592832294888,0.161592832294888,-0.000354011167673096,-0.109601979749647,-0.0577467769132258,-0.0358195045005123,-0.161136748728609,-0.160564554659926,-0.160564554659926,-0.160564554659926
"MIR1199",0.13743022063963,0.138697157660029,0.119025203912433,0.119025203912433,0.119025203912433,0.119025203912433,0.119025203912433,0.119025203912433,0.113757520220758,0.0611694723755965,0.0327760582686267,0.0493339425548934,-0.117863452348536,-0.116051542060266,-0.116051542060266,-0.116051542060266
"HA",0.13743022063963,0.138697157660029,0.119025203912433,0.119025203912433,0.119025203912433,0.119025203912433,0.119025203912433,0.119025203912433,0.113757520220758,0.0611694723755965,0.0327760582686267,0.0493339425548934,-0.117863452348536,-0.116051542060266,-0.116051542060266,-0.116051542060266
"CD44s",0.13743022063963,0.138697157660029,0.119025203912433,0.119025203912433,0.119025203912433,0.119025203912433,0.119025203912433,0.119025203912433,0.113757520220758,0.0611694723755965,0.0327760582686267,0.0493339425548934,-0.117863452348536,-0.116051542060266,-0.116051542060266,-0.116051542060266
"ZEB1",-0.143992092326707,-0.134762198310436,-0.117863452348536,-0.117863452348536,-0.117863452348536,-0.117863452348536,-0.117863452348536,-0.117863452348536,-0.105769949392755,-0.0559653589446211,-0.0457685688514987,-0.0344071740911975,0.0185051962621556,0.119025203912433,0.119025203912433,0.119025203912433
"MIR340",-0.13743022063963,-0.138697157660029,-0.119025203912433,-0.119025203912433,-0.119025203912433,-0.119025203912433,-0.119025203912433,-0.119025203912433,-0.113757520220758,-0.0611694723755965,-0.0327760582686267,-0.0493339425548934,0.117863452348536,0.116051542060266,0.116051542060266,0.116051542060266
"CD24",-0.13743022063963,-0.138697157660029,-0.119025203912433,-0.119025203912433,-0.119025203912433,-0.119025203912433,-0.119025203912433,-0.119025203912433,-0.113757520220758,-0.0611694723755965,-0.0327760582686267,-0.0493339425548934,0.117863452348536,0.116051542060266,0.116051542060266,0.116051542060266
"HAS2",-0.145649398721822,-0.133189911283218,-0.116051542060266,-0.116051542060266,-0.116051542060266,-0.116051542060266,-0.116051542060266,-0.116051542060266,-0.101850249409377,-0.0537722121016239,-0.0516029267643693,-0.0282380521439345,0.119025203912433,0.0203772418058132,0.120377241805813,0.120377241805813
"ESRP1",-0.145649398721822,-0.133189911283218,-0.116051542060266,-0.116051542060266,-0.116051542060266,-0.116051542060266,-0.116051542060266,-0.116051542060266,-0.101850249409377,-0.0537722121016239,-0.0516029267643693,-0.0282380521439345,0.119025203912433,0.120377241805813,0.0203772418058132,0.120377241805813
"MIR34",-0.165754722653615,-0.194894917409971,-0.161592832294888,-0.161592832294888,-0.161592832294888,-0.161592832294888,-0.161592832294888,-0.161592832294888,0.000354011167673096,0.109601979749647,0.0577467769132258,0.0358195045005123,0.161136748728609,0.160564554659926,0.160564554659926,0.160564554659926
"SNAIL1",-0.162882142734659,-0.1982591299892,-0.161136748728609,-0.161136748728609,-0.161136748728609,-0.161136748728609,-0.161136748728609,-0.161136748728609,-0.00196026168239444,0.10809764910081,-0.0380242679344839,0.0305771401181996,0.161682313489166,0.161592832294888,0.161592832294888,0.161592832294888
"TWIST1",-0.12083968075395,-0.155672896505159,-0.2263807834949,-0.2263807834949,-0.2263807834949,-0.2263807834949,-0.2263807834949,-0.2263807834949,-0.112667284158319,0.159043544391593,0.0149183454402502,-0.0762274770082396,0.225893657538045,0.22530335929044,0.22530335929044,0.22530335929044
