"","MIR190","HAS2","CD24","TGFB","MIR129","SNAIL1","ZEB1","TWIST1","MIR34","MIR200","HA","CD44s","MIR340","MIR1199","GRHL2","ESRP1"
"MIR1199",0.156693378642746,0.156693378642746,0.163915128855151,0.140384198412243,0.0708746629143084,0.0386806102866904,-0.162025520436014,-0.0708746629143084,-0.131398518376971,-0.131398518376971,-0.163915128855151,-0.163915128855151,-0.156693378642746,-0.156693378642746,-0.156693378642746,-0.156693378642746
"HA",0.156693378642746,0.156693378642746,0.163915128855151,0.140384198412243,0.0708746629143084,0.0386806102866904,-0.162025520436014,-0.0708746629143084,-0.131398518376971,-0.131398518376971,-0.163915128855151,-0.163915128855151,-0.156693378642746,-0.156693378642746,-0.156693378642746,-0.156693378642746
"CD44s",0.156693378642746,0.156693378642746,0.163915128855151,0.140384198412243,0.0708746629143084,0.0386806102866904,-0.162025520436014,-0.0708746629143084,-0.131398518376971,-0.131398518376971,-0.163915128855151,-0.163915128855151,-0.156693378642746,-0.156693378642746,-0.156693378642746,-0.156693378642746
"CD24",0.156693378642746,0.156693378642746,0.163915128855151,0.140384198412243,0.0708746629143084,0.0386806102866904,-0.162025520436014,-0.0708746629143084,-0.131398518376971,-0.131398518376971,-0.163915128855151,-0.163915128855151,-0.156693378642746,-0.156693378642746,-0.156693378642746,-0.156693378642746
"ESRP1",0.163915128855151,0.163915128855151,0.155009276437848,0.140094343339779,0.0643906446494682,0.0482359556036252,-0.156693378642746,-0.0643906446494682,-0.129712533129342,-0.129712533129342,-0.155009276437848,-0.0550092764378479,-0.163915128855151,-0.163915128855151,-0.163915128855151,-0.163915128855151
"SNAIL1",0.0928716043696699,0.0928716043696699,0.0915916279094668,0.154478931474957,0.174587777033605,-0.0241070951120164,-0.0923765548647194,-0.174587777033605,-0.136990935785991,-0.136990935785991,-0.0915916279094668,-0.0915916279094668,-0.0928716043696699,-0.0928716043696699,-0.0928716043696699,-0.0928716043696699
"TWIST1",0.030835947135624,0.030835947135624,0.0305102142366012,0.0111993057406435,-0.303495052252983,-0.0608962924346827,-0.0314448545816922,0.173778166376406,-0.000808231815434227,-0.000808231815434227,-0.0305102142366012,-0.0305102142366012,-0.030835947135624,-0.030835947135624,-0.030835947135624,-0.030835947135624
"MIR129",-0.0305102142366012,-0.0305102142366012,-0.0321495584988962,-0.0142705934273158,0.305718437029336,0.0559697108510406,0.030835947135624,-0.275974819096072,-0.00162478327541887,-0.00162478327541887,0.0321495584988962,0.0321495584988962,0.0305102142366012,0.0305102142366012,0.0305102142366012,0.0305102142366012
"ZEB1",-0.162025520436014,-0.162025520436014,-0.156693378642746,-0.138660621176471,-0.0667923942948007,-0.0435975754446195,0.0583482259468626,0.0667923942948007,0.13097811991234,0.13097811991234,0.156693378642746,0.156693378642746,0.162025520436014,0.162025520436014,0.162025520436014,0.162025520436014
"MIR190",-0.0946764608143511,-0.0946764608143511,-0.0894133029196143,-0.0533795128795802,-0.173722523015736,-0.0758598293523228,0.0915916279094668,0.173722523015736,0.13760476278597,0.13760476278597,0.0894133029196143,0.0894133029196143,0.0946764608143511,0.0946764608143511,0.0946764608143511,0.0946764608143511
"TGFB",-0.0915916279094668,-0.0915916279094668,-0.0946764608143511,-0.157030532320073,-0.173326570530034,-0.0779953910979124,0.0928716043696699,0.173326570530034,0.135379049248395,0.135379049248395,0.0946764608143511,0.0946764608143511,0.0915916279094668,0.0915916279094668,0.0915916279094668,0.0915916279094668
"MIR34",-0.0915916279094668,-0.0915916279094668,-0.0946764608143511,-0.157030532320073,-0.173326570530034,-0.0779953910979124,0.0928716043696699,0.173326570530034,0.135379049248395,0.135379049248395,0.0946764608143511,0.0946764608143511,0.0915916279094668,0.0915916279094668,0.0915916279094668,0.0915916279094668
"MIR200",-0.130856820030309,-0.130856820030309,-0.137287199777144,-0.118848830642546,0.118234403805571,0.0688309444837818,0.135267292706464,-0.118234403805571,0.0122860046920158,0.0122860046920158,0.137287199777144,0.137287199777144,0.130856820030309,0.130856820030309,0.130856820030309,0.130856820030309
"HAS2",-0.163915128855151,-0.163915128855151,-0.155009276437848,-0.140094343339779,-0.0643906446494682,-0.0482359556036252,0.156693378642746,0.0643906446494682,0.129712533129342,0.129712533129342,0.0550092764378479,0.155009276437848,0.163915128855151,0.163915128855151,0.163915128855151,0.163915128855151
"MIR340",-0.156693378642746,-0.156693378642746,-0.163915128855151,-0.140384198412243,-0.0708746629143084,-0.0386806102866904,0.162025520436014,0.0708746629143084,0.131398518376971,0.131398518376971,0.163915128855151,0.163915128855151,0.156693378642746,0.156693378642746,0.156693378642746,0.156693378642746
"GRHL2",-0.282869626505769,-0.282869626505769,-0.386054339881565,-0.275536331908249,-0.0870008255980866,-0.0632186971336298,0.284942851031574,0.0870008255980866,0.269593228815586,0.269593228815586,0.286054339881565,0.286054339881565,0.282869626505769,0.282869626505769,0.282869626505769,0.282869626505769
