"","MIR340","MIR190","MIR1199","HAS2","GRHL2","ESRP1","MIR200","MIR34","MIR129","SNAIL1","ZEB1","TWIST1","TGFB","HA","CD44s","CD24"
"TWIST1",0.169779503329381,0.169779503329381,0.169779503329381,0.169779503329381,0.169779503329381,0.169779503329381,0.0787868125852219,0.0817768979576247,0.116991474465265,0.00446184370543652,-0.170005668952206,-0.0720169583853418,-0.107896039279064,-0.168752191878617,-0.168752191878617,-0.168752191878617
"HAS2",0.139875228370321,0.139875228370321,0.139875228370321,0.139875228370321,0.139875228370321,0.139875228370321,0.133780364422102,0.106404505192947,0.03768292883587,0.0250017238594245,-0.143698507894535,-0.0494400579812345,-0.142891230923685,-0.243692022263451,-0.143692022263451,-0.143692022263451
"ESRP1",0.139875228370321,0.139875228370321,0.139875228370321,0.139875228370321,0.139875228370321,0.139875228370321,0.133780364422102,0.106404505192947,0.03768292883587,0.0250017238594245,-0.143698507894535,-0.0494400579812345,-0.142891230923685,-0.143692022263451,-0.243692022263451,-0.143692022263451
"MIR340",0.143698507894535,0.143698507894535,0.143698507894535,0.143698507894535,0.143698507894535,0.143698507894535,0.138311449775105,0.106615253348901,0.0328427461874682,0.026515441929434,-0.141404793268381,-0.0484354917711888,-0.137770457976825,-0.139875228370321,-0.139875228370321,-0.139875228370321
"CD24",0.143698507894535,0.143698507894535,0.143698507894535,0.143698507894535,0.143698507894535,0.143698507894535,0.138311449775105,0.106615253348901,0.0328427461874682,0.026515441929434,-0.141404793268381,-0.0484354917711888,-0.137770457976825,-0.139875228370321,-0.139875228370321,-0.139875228370321
"MIR200",0.139704724488096,0.139704724488096,0.139704724488096,0.139704724488096,0.139704724488096,0.139704724488096,0.212581500619813,0.0196967035382709,-0.0404622469457704,-0.0508580755396884,-0.138070565289361,0.0804168672986013,-0.319606862743154,-0.135704724488096,-0.135704724488096,-0.135704724488096
"TGFB",0.0186473287642425,0.0186473287642425,0.0186473287642425,0.0186473287642425,0.0186473287642425,0.0186473287642425,-0.0543200323408074,0.0748899031006566,0.0234138759823677,0.0264718817953172,-0.0194859340312721,-0.085483095971985,0.0632764582133017,-0.0179618103409349,-0.0179618103409349,-0.0179618103409349
"MIR34",0.0186473287642425,0.0186473287642425,0.0186473287642425,0.0186473287642425,0.0186473287642425,0.0186473287642425,-0.0543200323408074,0.0748899031006566,0.0234138759823677,0.0264718817953172,-0.0194859340312721,-0.085483095971985,0.0632764582133017,-0.0179618103409349,-0.0179618103409349,-0.0179618103409349
"SNAIL1",0.0194859340312721,0.0194859340312721,0.0194859340312721,0.0194859340312721,0.0194859340312721,0.0194859340312721,-0.0529422745740356,0.0745387099444206,0.0214232970429968,-0.0720971485028682,-0.018516041123614,-0.0846777472407892,0.0631951970398904,-0.0186473287642425,-0.0186473287642425,-0.0186473287642425
"MIR190",-0.0179618103409349,-0.0179618103409349,-0.0179618103409349,-0.0179618103409349,-0.0179618103409349,-0.0179618103409349,0.05403199882418,-0.073763953899295,-0.0215221029951262,-0.0287002940515846,0.0186473287642425,0.0839432807498117,-0.159720270446588,0.0222224619700076,0.0222224619700076,0.0222224619700076
"ZEB1",-0.141404793268381,-0.141404793268381,-0.141404793268381,-0.141404793268381,-0.141404793268381,-0.141404793268381,-0.136319126616633,-0.105792734613752,-0.0341827274900547,-0.0271015702264056,0.0421076556499638,0.0477810822978326,0.142030620578451,0.143698507894535,0.143698507894535,0.143698507894535
"MIR1199",-0.143698507894535,-0.143698507894535,-0.143698507894535,-0.143698507894535,-0.143698507894535,-0.143698507894535,-0.138311449775105,-0.106615253348901,-0.0328427461874682,-0.026515441929434,0.141404793268381,0.0484354917711888,0.137770457976825,0.139875228370321,0.139875228370321,0.139875228370321
"HA",-0.143698507894535,-0.143698507894535,-0.143698507894535,-0.143698507894535,-0.143698507894535,-0.143698507894535,-0.138311449775105,-0.106615253348901,-0.0328427461874682,-0.026515441929434,0.141404793268381,0.0484354917711888,0.137770457976825,0.139875228370321,0.139875228370321,0.139875228370321
"CD44s",-0.143698507894535,-0.143698507894535,-0.143698507894535,-0.143698507894535,-0.143698507894535,-0.143698507894535,-0.138311449775105,-0.106615253348901,-0.0328427461874682,-0.026515441929434,0.141404793268381,0.0484354917711888,0.137770457976825,0.139875228370321,0.139875228370321,0.139875228370321
"MIR129",-0.168752191878617,-0.168752191878617,-0.168752191878617,-0.168752191878617,-0.168752191878617,-0.168752191878617,-0.0782632523757978,-0.0810377541325554,-0.116389852702252,-0.00557341225216357,0.169779503329381,-0.0287675604431101,0.110967326965736,0.172179911699779,0.172179911699779,0.172179911699779
"GRHL2",-0.220228171143868,-0.220228171143868,-0.220228171143868,-0.220228171143868,-0.220228171143868,-0.220228171143868,-0.209366633070023,-0.216888668765512,-0.0506283599690192,-0.0507664474397603,0.219522392581892,0.0670811569728043,0.212646429782787,0.21831734311839,0.21831734311839,0.11831734311839
