"","MIR340","MIR1199","HAS2","CD24","TGFB","MIR34","SNAIL1","MIR129","TWIST1","ZEB1","MIR200","HA","CD44s","MIR190","GRHL2","ESRP1"
"MIR129",0.191335886275632,0.191335886275632,0.191335886275632,0.18924944812362,0.121212239541595,0.0908281663788926,-0.00426206802982485,-0.115902902224442,0.0331356152175606,-0.190960040622914,-0.0908281663788926,-0.18924944812362,-0.18924944812362,-0.191335886275632,-0.191335886275632,-0.191335886275632
"TWIST1",0.190960040622914,0.190960040622914,0.190960040622914,0.191335886275632,0.12371998820319,0.0891342951131088,-0.00155862353963684,-0.112999423281204,-0.0655045521464561,-0.190403325243651,-0.0891342951131088,-0.191335886275632,-0.191335886275632,-0.190960040622914,-0.190960040622914,-0.190960040622914
"MIR340",0.155571262989296,0.155571262989296,0.155571262989296,0.16296293673611,0.140501243961867,0.125954970294892,0.0334335554485821,-0.0361142339798262,-0.0511507461112618,-0.159771441720306,-0.125954970294892,-0.16296293673611,-0.16296293673611,-0.155571262989296,-0.155571262989296,-0.155571262989296
"MIR1199",0.155571262989296,0.155571262989296,0.155571262989296,0.16296293673611,0.140501243961867,0.125954970294892,0.0334335554485821,-0.0361142339798262,-0.0511507461112618,-0.159771441720306,-0.125954970294892,-0.16296293673611,-0.16296293673611,-0.155571262989296,-0.155571262989296,-0.155571262989296
"CD44s",0.155571262989296,0.155571262989296,0.155571262989296,0.16296293673611,0.140501243961867,0.125954970294892,0.0334335554485821,-0.0361142339798262,-0.0511507461112618,-0.159771441720306,-0.125954970294892,-0.16296293673611,-0.16296293673611,-0.155571262989296,-0.155571262989296,-0.155571262989296
"HAS2",0.16296293673611,0.16296293673611,0.16296293673611,0.150494743351886,0.132868393720321,0.130169933413965,0.0314468004816947,-0.03565761297526,-0.0527032575267869,-0.155571262989296,-0.130169933413965,-0.250494743351886,-0.150494743351886,-0.16296293673611,-0.16296293673611,-0.16296293673611
"ESRP1",0.16296293673611,0.16296293673611,0.16296293673611,0.150494743351886,0.132868393720321,0.130169933413965,0.0314468004816947,-0.03565761297526,-0.0527032575267869,-0.155571262989296,-0.130169933413965,-0.150494743351886,-0.0504947433518862,-0.16296293673611,-0.16296293673611,-0.16296293673611
"MIR200",0.124293969246639,0.124293969246639,0.124293969246639,0.128800298360563,0.119094813006747,0.211218963343151,0.0733296412201039,-0.0509340582303849,-0.0983834182813453,-0.127615002456971,-0.211218963343151,-0.128800298360563,-0.128800298360563,-0.124293969246639,-0.124293969246639,-0.124293969246639
"MIR190",0.0211726019115109,0.0211726019115109,0.0211726019115109,0.0214232284779269,-0.0142179101349025,0.0712119880203107,0.0117336451188343,-0.0215460929253383,-0.0767935054113295,-0.0232291571814338,-0.0712119880203107,-0.0214232284779269,-0.0214232284779269,-0.0211726019115109,-0.0211726019115109,-0.0211726019115109
"SNAIL1",0.0206250671417104,0.0206250671417104,0.0206250671417104,0.0232291571814338,0.08786168235245,0.0696613959959542,-0.0859409131360838,-0.0192352904465256,-0.0756494822321751,-0.0228578414395483,-0.0696613959959542,-0.0232291571814338,-0.0232291571814338,-0.0206250671417104,-0.0206250671417104,-0.0206250671417104
"MIR34",0.0232291571814338,0.0232291571814338,0.0232291571814338,0.0211726019115109,0.0881054658726841,0.0695623415159902,0.0160976191206913,-0.0156947950810796,-0.0748137429828209,-0.0206250671417104,-0.0695623415159902,-0.0211726019115109,-0.0211726019115109,-0.0232291571814338,-0.0232291571814338,-0.0232291571814338
"TGFB",-0.0232291571814338,-0.0232291571814338,-0.0232291571814338,-0.0211726019115109,-0.0881054658726841,-0.0695623415159902,-0.0160976191206913,0.0156947950810796,0.0748137429828209,0.0206250671417104,0.0695623415159902,0.0211726019115109,0.0211726019115109,0.0232291571814338,0.0232291571814338,0.0232291571814338
"GRHL2",-0.0246402004021306,-0.0246402004021306,-0.0246402004021306,-0.133302620784296,-0.0282424461806379,-0.0217918515265898,-0.0426330102871646,0.0428770028398862,0.0520507720160788,0.0296688726562109,0.0217918515265898,0.0333026207842962,0.0333026207842962,0.0246402004021306,0.0246402004021306,0.0246402004021306
"ZEB1",-0.159771441720306,-0.159771441720306,-0.159771441720306,-0.155571262989296,-0.135070349652924,-0.129299879817831,-0.0304377885973935,0.0379528129763984,0.0526153768373447,0.0580295653833395,0.129299879817831,0.155571262989296,0.155571262989296,0.159771441720306,0.159771441720306,0.159771441720306
"HA",-0.155571262989296,-0.155571262989296,-0.155571262989296,-0.16296293673611,-0.140501243961867,-0.125954970294892,-0.0334335554485821,0.0361142339798262,0.0511507461112618,0.159771441720306,0.125954970294892,0.16296293673611,0.16296293673611,0.155571262989296,0.155571262989296,0.155571262989296
"CD24",-0.155571262989296,-0.155571262989296,-0.155571262989296,-0.16296293673611,-0.140501243961867,-0.125954970294892,-0.0334335554485821,0.0361142339798262,0.0511507461112618,0.159771441720306,0.125954970294892,0.16296293673611,0.16296293673611,0.155571262989296,0.155571262989296,0.155571262989296
