"","TWIST1","MIR34","MIR340","MIR190","MIR1199","GRHL2","ESRP1","HA","CD44s","CD24","TGFB","ZEB1","MIR200","SNAIL1","HAS2","MIR129"
"GRHL2",0.185166485784708,0.255668423146404,0.228777442019747,0.228777442019747,0.228777442019747,0.228777442019747,0.228777442019747,0.229032219089811,0.229032219089811,0.329032219089811,0.202280437108301,-0.228909775500118,-0.1827938054094,-0.149503410467266,-0.228777442019747,-0.185166485784708
"MIR340",0.163345536655126,0.157806851462065,0.146430591018795,0.146430591018795,0.146430591018795,0.146430591018795,0.146430591018795,0.146515552786,0.146515552786,0.146515552786,0.11471980313148,-0.146639110530264,-0.0942380811490707,-0.124297376016057,-0.146430591018795,-0.163345536655126
"HA",0.163345536655126,0.157806851462065,0.146430591018795,0.146430591018795,0.146430591018795,0.146430591018795,0.146430591018795,0.146515552786,0.146515552786,0.146515552786,0.11471980313148,-0.146639110530264,-0.0942380811490707,-0.124297376016057,-0.146430591018795,-0.163345536655126
"CD44s",0.163345536655126,0.157806851462065,0.146430591018795,0.146430591018795,0.146430591018795,0.146430591018795,0.146430591018795,0.146515552786,0.146515552786,0.146515552786,0.11471980313148,-0.146639110530264,-0.0942380811490707,-0.124297376016057,-0.146430591018795,-0.163345536655126
"CD24",0.163345536655126,0.157806851462065,0.146430591018795,0.146430591018795,0.146430591018795,0.146430591018795,0.146430591018795,0.146515552786,0.146515552786,0.146515552786,0.11471980313148,-0.146639110530264,-0.0942380811490707,-0.124297376016057,-0.146430591018795,-0.163345536655126
"ESRP1",0.163254212454212,0.157806851462065,0.146515552786,0.146515552786,0.146515552786,0.146515552786,0.146515552786,0.147278911564626,0.247278911564626,0.147278911564626,0.115202894918919,-0.146430591018795,-0.0943434552270475,-0.124202768636681,-0.146515552786,-0.163254212454212
"MIR200",-0.0363557780040673,0.0574737293184147,0.137723767092045,0.137723767092045,0.137723767092045,0.137723767092045,0.137723767092045,0.137369336712298,0.137369336712298,0.137369336712298,0.10997740738807,-0.137600765862032,-0.19100422366599,-0.0132943993592684,-0.137723767092045,0.0363557780040673
"SNAIL1",-0.0954243757045143,-0.00582115219387967,0.0852275096401224,0.0852275096401224,0.0852275096401224,0.0852275096401224,0.0852275096401224,0.0849185498049009,0.0849185498049009,0.0849185498049009,0.124341311793781,-0.0850860669244222,-0.093068956035017,-0.104240069729026,-0.0852275096401224,0.0954243757045143
"MIR129",-0.0745195699259657,0.0247449421206686,0.02030335929044,0.02030335929044,0.02030335929044,0.02030335929044,0.02030335929044,0.0213465783664459,0.0213465783664459,0.0213465783664459,0.00906205347732794,-0.020829543204246,-0.00121185471248264,-0.0383938352545333,-0.02030335929044,-0.0067521435377405
"TWIST1",-0.026160346392026,-0.0256996695613831,-0.020829543204246,-0.020829543204246,-0.020829543204246,-0.020829543204246,-0.020829543204246,-0.02030335929044,-0.02030335929044,-0.02030335929044,-0.00897752262356632,0.0205859802258187,0.000903878118703762,0.0375018358034561,0.020829543204246,0.00745839517258224
"ZEB1",-0.163439023722748,-0.157971355209094,-0.146639110530264,-0.146639110530264,-0.146639110530264,-0.146639110530264,-0.146639110530264,-0.146430591018795,-0.146430591018795,-0.146430591018795,-0.11462224215587,0.0465270600056635,0.0943294721196428,0.124167125283396,0.146639110530264,0.163439023722748
"MIR190",0.0951747268901489,0.00536725447472172,-0.0855183784252951,-0.0855183784252951,-0.0855183784252951,-0.0855183784252951,-0.0855183784252951,-0.0845158721596309,-0.0845158721596309,-0.0845158721596309,-0.0243426526609386,0.0849185498049009,0.0929700265255935,0.00378476523628276,0.0855183784252951,-0.0951747268901489
"TGFB",0.0958346476996518,0.00638846421549155,-0.0849185498049009,-0.0849185498049009,-0.0849185498049009,-0.0849185498049009,-0.0849185498049009,-0.0855183784252951,-0.0855183784252951,-0.0855183784252951,-0.124390068497828,0.0852275096401224,0.0932580600422209,0.00475969559839975,0.0849185498049009,-0.0958346476996518
"MIR34",0.0958346476996518,0.00638846421549155,-0.0849185498049009,-0.0849185498049009,-0.0849185498049009,-0.0849185498049009,-0.0849185498049009,-0.0855183784252951,-0.0855183784252951,-0.0855183784252951,-0.124390068497828,0.0852275096401224,0.0932580600422209,0.00475969559839975,0.0849185498049009,-0.0958346476996518
"HAS2",-0.163254212454212,-0.157806851462065,-0.146515552786,-0.146515552786,-0.146515552786,-0.146515552786,-0.146515552786,-0.247278911564626,-0.147278911564626,-0.147278911564626,-0.115202894918919,0.146430591018795,0.0943434552270475,0.124202768636681,0.146515552786,0.163254212454212
"MIR1199",-0.163345536655126,-0.157806851462065,-0.146430591018795,-0.146430591018795,-0.146430591018795,-0.146430591018795,-0.146430591018795,-0.146515552786,-0.146515552786,-0.146515552786,-0.11471980313148,0.146639110530264,0.0942380811490707,0.124297376016057,0.146430591018795,0.163345536655126
