"","MIR340","HAS2","GRHL2","ESRP1","HA","CD44s","MIR200","TWIST1","TGFB","ZEB1","SNAIL1","MIR129","MIR34","CD24","MIR190","MIR1199"
"TWIST1",0.270080794364962,0.270080794364962,0.270080794364962,0.270080794364962,0.269103595667894,0.269103595667894,0.17136607606101,0.19148019664455,0.0179475256649236,-0.270794085944642,-0.076577322552008,-0.320676316515939,-0.112538032038545,-0.269103595667894,-0.270080794364962,-0.270080794364962
"MIR200",0.1797178845989,0.1797178845989,0.1797178845989,0.1797178845989,0.178553327636875,0.178553327636875,0.256224918636413,0.172866138633891,0.205080849751421,-0.180508606791836,-0.123609903848472,-0.172866138633891,-0.0392300266621232,-0.178553327636875,-0.1797178845989,-0.1797178845989
"MIR340",0.161050959456467,0.161050959456467,0.161050959456467,0.161050959456467,0.160796074154853,0.160796074154853,0.148990977294874,0.120990258304682,0.00623242471729993,-0.161855249000703,-0.0874806238198566,-0.120990258304682,-0.122779257669073,-0.160796074154853,-0.161050959456467,-0.161050959456467
"MIR1199",0.161050959456467,0.161050959456467,0.161050959456467,0.161050959456467,0.160796074154853,0.160796074154853,0.148990977294874,0.120990258304682,0.00623242471729993,-0.161855249000703,-0.0874806238198566,-0.120990258304682,-0.122779257669073,-0.160796074154853,-0.161050959456467,-0.161050959456467
"HA",0.161050959456467,0.161050959456467,0.161050959456467,0.161050959456467,0.160796074154853,0.160796074154853,0.148990977294874,0.120990258304682,0.00623242471729993,-0.161855249000703,-0.0874806238198566,-0.120990258304682,-0.122779257669073,-0.160796074154853,-0.161050959456467,-0.161050959456467
"CD44s",0.161050959456467,0.161050959456467,0.161050959456467,0.161050959456467,0.160796074154853,0.160796074154853,0.148990977294874,0.120990258304682,0.00623242471729993,-0.161855249000703,-0.0874806238198566,-0.120990258304682,-0.122779257669073,-0.160796074154853,-0.161050959456467,-0.161050959456467
"CD24",0.161050959456467,0.161050959456467,0.161050959456467,0.161050959456467,0.160796074154853,0.160796074154853,0.148990977294874,0.120990258304682,0.00623242471729993,-0.161855249000703,-0.0874806238198566,-0.120990258304682,-0.122779257669073,-0.160796074154853,-0.161050959456467,-0.161050959456467
"HAS2",0.160796074154853,0.160796074154853,0.160796074154853,0.160796074154853,0.259523809523809,0.15952380952381,0.148358732827013,0.119620395290984,0.00574933292986031,-0.161050959456467,-0.0877644459579834,-0.119620395290984,-0.123095379903003,-0.15952380952381,-0.160796074154853,-0.160796074154853
"ESRP1",0.160796074154853,0.160796074154853,0.160796074154853,0.160796074154853,0.15952380952381,0.259523809523809,0.148358732827013,0.119620395290984,0.00574933292986031,-0.161050959456467,-0.0877644459579834,-0.119620395290984,-0.123095379903003,-0.15952380952381,-0.160796074154853,-0.160796074154853
"TGFB",0.158186566667637,0.158186566667637,0.158186566667637,0.158186566667637,0.157415358441416,0.157415358441416,0.159456013018844,0.157115812110291,0.0848521805709445,-0.15852495124907,-0.0600008071596955,-0.157115812110291,-0.00326418814898981,-0.157415358441416,-0.158186566667637,-0.158186566667637
"MIR190",0.157415358441416,0.157415358441416,0.157415358441416,0.157415358441416,0.154909092777255,0.154909092777255,0.158591912468962,0.15610393353572,0.184994428081613,-0.158186566667637,-0.0594901293509675,-0.15610393353572,-0.00318563355354597,-0.154909092777255,-0.157415358441416,-0.157415358441416
"ZEB1",-0.161855249000703,-0.161855249000703,-0.161855249000703,-0.161855249000703,-0.161050959456467,-0.161050959456467,-0.149374819371277,-0.121270719507549,-0.00652510764412919,0.0620895364612306,0.0878062506515076,0.121270719507549,0.123382438074849,0.161050959456467,0.161855249000703,0.161855249000703
"MIR34",-0.158186566667637,-0.158186566667637,-0.158186566667637,-0.158186566667637,-0.157415358441416,-0.157415358441416,-0.159456013018844,-0.157115812110291,-0.0848521805709445,0.15852495124907,0.0600008071596955,0.157115812110291,0.00326418814898981,0.157415358441416,0.158186566667637,0.158186566667637
"SNAIL1",-0.15852495124907,-0.15852495124907,-0.15852495124907,-0.15852495124907,-0.158186566667637,-0.158186566667637,-0.159861235891424,-0.157799598768853,-0.0850959640911786,0.158929073293927,-0.0399911985961603,0.157799598768853,0.0032731931017138,0.158186566667637,0.15852495124907,0.15852495124907
"GRHL2",-0.24493515936678,-0.24493515936678,-0.24493515936678,-0.24493515936678,-0.244425605226652,-0.244425605226652,-0.254411021049355,-0.140799623526776,-0.0136337065515536,0.245596826768632,0.11267784450292,0.140799623526776,0.205082952957039,0.144425605226652,0.24493515936678,0.24493515936678
"MIR129",-0.269103595667894,-0.269103595667894,-0.269103595667894,-0.269103595667894,-0.266719094922737,-0.266719094922737,-0.170318955642162,-0.290015761498107,-0.0176939331036388,0.270080794364962,0.0762342458400552,0.319237655778298,0.112384043741656,0.266719094922737,0.269103595667894,0.269103595667894
