"","ZEB1","MIR200","MIR129","MIR34","HA","CD24","MIR340","MIR190","MIR1199","HAS2","GRHL2","ESRP1","CD44s","SNAIL1","TGFB","TWIST1"
"ZEB1",-0.0994599710336213,-0.0527635130196054,-0.0313456878758814,-0.0166915240135419,-0.00550972229189496,-0.00550972229189496,-0.00232235261658963,0.00232235261658963,0.00232235261658963,0.00232235261658963,0.00232235261658963,0.00232235261658963,0.00550972229189496,0.0259231462415819,0.0309151367536092,0.0449070643956407
"SNAIL1",-0.0660494592047753,0.124104137333528,-0.039313396523971,-0.057984338382528,-0.0651124766479896,-0.0651124766479896,-0.0660393561536539,0.0660393561536539,0.0660393561536539,0.0660393561536539,0.0660393561536539,0.0660393561536539,0.0651124766479896,-0.0159113599940021,-0.138305332185103,0.125331249890659
"MIR190",-0.0651124766479896,0.123831998654898,-0.0370379181758113,-0.0559141188505521,-0.0667599114303182,-0.0667599114303182,-0.0675117911295663,0.0675117911295663,0.0675117911295663,0.0675117911295663,0.0675117911295663,0.0675117911295663,0.0667599114303182,0.0851947034360571,-0.240398333344028,0.124235279294989
"MIR200",-0.0385854301994897,0.175619222503766,-0.0486677016448297,-0.0442039902506481,-0.0381449745833603,-0.0381449745833603,-0.0376892783808287,0.0376892783808287,0.0376892783808287,0.0376892783808287,0.0376892783808287,0.0376892783808287,0.0381449745833603,0.0802058406697233,-0.266817299806878,0.102709874866639
"TWIST1",-0.0264837259746626,0.0244367054568149,0.0120461577349873,0.00669255056526937,-0.0287205350651231,-0.0287205350651231,-0.0274927725995756,0.0274927725995756,0.0274927725995756,0.0274927725995756,0.0274927725995756,0.0274927725995756,0.0287205350651231,0.0298161839691577,-0.0247876112174503,0.0146794154534252
"HAS2",-0.00550972229189496,-0.0513949404579675,-0.0308111182934712,-0.0157291742043458,-0.0887136672850959,0.0112863327149041,-0.0042352957838236,0.0042352957838236,0.0042352957838236,0.0042352957838236,0.0042352957838236,0.0042352957838236,-0.0112863327149041,0.027704389704785,0.0420144651381974,0.0479415094709212
"ESRP1",-0.00550972229189496,-0.0513949404579675,-0.0308111182934712,-0.0157291742043458,0.0112863327149041,0.0112863327149041,-0.0042352957838236,0.0042352957838236,0.0042352957838236,0.0042352957838236,0.0042352957838236,0.0042352957838236,0.0887136672850959,0.027704389704785,0.0420144651381974,0.0479415094709212
"MIR1199",-0.00232235261658963,-0.0487605885085471,-0.0345554105309142,-0.016782914984114,-0.0042352957838236,-0.0042352957838236,-0.00550972229189496,0.00550972229189496,0.00550972229189496,0.00550972229189496,0.00550972229189496,0.00550972229189496,0.0042352957838236,0.0224063764597519,0.0330289578918206,0.0471195916627021
"CD44s",-0.00232235261658963,-0.0487605885085471,-0.0345554105309142,-0.016782914984114,-0.0042352957838236,-0.0042352957838236,-0.00550972229189496,0.00550972229189496,0.00550972229189496,0.00550972229189496,0.00550972229189496,0.00550972229189496,0.0042352957838236,0.0224063764597519,0.0330289578918206,0.0471195916627021
"MIR340",0.00232235261658963,0.0487605885085471,0.0345554105309142,0.016782914984114,0.0042352957838236,0.0042352957838236,0.00550972229189496,-0.00550972229189496,-0.00550972229189496,-0.00550972229189496,-0.00550972229189496,-0.00550972229189496,-0.0042352957838236,-0.0224063764597519,-0.0330289578918206,-0.0471195916627021
"HA",0.00232235261658963,0.0487605885085471,0.0345554105309142,0.016782914984114,0.0042352957838236,0.0042352957838236,0.00550972229189496,-0.00550972229189496,-0.00550972229189496,-0.00550972229189496,-0.00550972229189496,-0.00550972229189496,-0.0042352957838236,-0.0224063764597519,-0.0330289578918206,-0.0471195916627021
"CD24",0.00232235261658963,0.0487605885085471,0.0345554105309142,0.016782914984114,0.0042352957838236,0.0042352957838236,0.00550972229189496,-0.00550972229189496,-0.00550972229189496,-0.00550972229189496,-0.00550972229189496,-0.00550972229189496,-0.0042352957838236,-0.0224063764597519,-0.0330289578918206,-0.0471195916627021
"MIR129",0.0274927725995756,-0.0237591569505014,-0.0151065814859682,-0.00887918438109937,0.023355408388521,0.023355408388521,0.0287205350651231,-0.0287205350651231,-0.0287205350651231,-0.0287205350651231,-0.0287205350651231,-0.0287205350651231,-0.023355408388521,-0.0325470745963019,0.0225616320683942,-0.114522511687735
"TGFB",0.0660393561536539,-0.124905578125964,0.0421853004899336,0.0599204032181876,0.0675117911295663,0.0675117911295663,0.0651124766479896,-0.0651124766479896,-0.0651124766479896,-0.0651124766479896,-0.0651124766479896,-0.0651124766479896,-0.0675117911295663,-0.0816663840303004,0.138549115705337,-0.12586308395843
"MIR34",0.0660393561536539,-0.124905578125964,0.0421853004899336,0.0599204032181876,0.0675117911295663,0.0675117911295663,0.0651124766479896,-0.0651124766479896,-0.0651124766479896,-0.0651124766479896,-0.0651124766479896,-0.0651124766479896,-0.0675117911295663,-0.0816663840303004,0.138549115705337,-0.12586308395843
"GRHL2",0.109114289876643,-0.127583189649867,-0.0498311744496873,-0.134361368677241,0.111925940842171,0.0119259408421712,0.107085176510961,-0.107085176510961,-0.107085176510961,-0.107085176510961,-0.107085176510961,-0.107085176510961,-0.111925940842171,0.0474665529746243,0.123619002265409,0.0654653312830642
