"","MIR129","MIR34","ZEB1","HA","MIR340","MIR1199","HAS2","GRHL2","ESRP1","TGFB","MIR200","MIR190","CD44s","CD24","TWIST1","SNAIL1"
"MIR190",-0.147055692332159,-0.0895303365455566,-0.21864920636378,0.220011867515374,0.223019386312366,0.223019386312366,0.223019386312366,0.223019386312366,0.223019386312366,-0.22578803609662,0.324784829009972,-0.223019386312366,-0.220011867515374,-0.220011867515374,0.147055692332159,0.307471588962118
"TGFB",-0.145163919344917,-0.0896088911410005,-0.217957724827808,0.223019386312366,0.21864920636378,0.21864920636378,0.21864920636378,0.21864920636378,0.21864920636378,-0.325266461890835,0.319521671115235,-0.21864920636378,-0.223019386312366,-0.223019386312366,0.145163919344917,0.302596937151533
"SNAIL1",-0.142626311078696,-0.0881410838469888,-0.215462271200813,0.21864920636378,0.217957724827808,0.217957724827808,0.217957724827808,0.217957724827808,0.217957724827808,-0.320342034782108,0.317207398265168,-0.217957724827808,-0.21864920636378,-0.21864920636378,0.142626311078696,0.200686312801065
"TWIST1",-0.0640159253354767,-0.143809426829081,-0.0717810260171416,0.0717784977118926,0.0702500587241702,0.0702500587241702,0.0702500587241702,0.0702500587241702,0.0702500587241702,-0.170537046015903,0.221834519854961,-0.0702500587241702,-0.0717784977118926,-0.0717784977118926,0.208411039111277,0.403986927308146
"MIR129",-0.0648268068421469,-0.144086605763482,-0.0702500587241702,0.062985651214128,0.0717784977118926,0.0717784977118926,0.0717784977118926,0.0717784977118926,0.0717784977118926,-0.164591709301335,0.223990356011413,-0.0717784977118926,-0.062985651214128,-0.062985651214128,0.309195557939729,0.408090124783102
"ZEB1",-0.216326783229228,-0.192985232845338,-0.0539605018274186,-0.0488311392708095,-0.0457033465987809,-0.0457033465987809,-0.0457033465987809,-0.0457033465987809,-0.0457033465987809,-0.000669533620183118,0.0356309701723568,0.0457033465987809,0.0488311392708095,0.0488311392708095,0.216326783229228,0.346857010814462
"HAS2",0.218982954300601,0.198076355132235,-0.0488311392708095,0.165460729746444,0.0519747246573855,0.0519747246573855,0.0519747246573855,0.0519747246573855,0.0519747246573855,-0.0139749815206205,-0.0329848308100828,-0.0519747246573855,-0.065460729746444,-0.065460729746444,-0.218982954300601,-0.353791968934292
"MIR340",0.217978388090556,0.196074247650676,-0.0457033465987809,0.0519747246573855,0.0488311392708095,0.0488311392708095,0.0488311392708095,0.0488311392708095,0.0488311392708095,-0.00170445011965428,-0.0348815642136655,-0.0488311392708095,-0.0519747246573855,-0.0519747246573855,-0.217978388090556,-0.350764532794274
"MIR1199",0.217978388090556,0.196074247650676,-0.0457033465987809,0.0519747246573855,0.0488311392708095,0.0488311392708095,0.0488311392708095,0.0488311392708095,0.0488311392708095,-0.00170445011965428,-0.0348815642136655,-0.0488311392708095,-0.0519747246573855,-0.0519747246573855,-0.217978388090556,-0.350764532794274
"HA",0.217978388090556,0.196074247650676,-0.0457033465987809,0.0519747246573855,0.0488311392708095,0.0488311392708095,0.0488311392708095,0.0488311392708095,0.0488311392708095,-0.00170445011965428,-0.0348815642136655,-0.0488311392708095,-0.0519747246573855,-0.0519747246573855,-0.217978388090556,-0.350764532794274
"CD44s",0.217978388090556,0.196074247650676,-0.0457033465987809,0.0519747246573855,0.0488311392708095,0.0488311392708095,0.0488311392708095,0.0488311392708095,0.0488311392708095,-0.00170445011965428,-0.0348815642136655,-0.0488311392708095,-0.0519747246573855,-0.0519747246573855,-0.217978388090556,-0.350764532794274
"CD24",0.217978388090556,0.196074247650676,-0.0457033465987809,0.0519747246573855,0.0488311392708095,0.0488311392708095,0.0488311392708095,0.0488311392708095,0.0488311392708095,-0.00170445011965428,-0.0348815642136655,-0.0488311392708095,-0.0519747246573855,-0.0519747246573855,-0.217978388090556,-0.350764532794274
"MIR200",0.218677051705846,0.262761926515263,-0.0161650376900308,0.0193063600978299,0.0162177525028932,0.0162177525028932,0.0162177525028932,0.0162177525028932,0.0162177525028932,0.0264484337792717,-0.155484978864414,-0.0162177525028932,-0.0193063600978299,-0.0193063600978299,-0.218677051705846,-0.387488098835457
"ESRP1",-0.218982954300601,-0.198076355132235,0.0488311392708095,-0.065460729746444,-0.0519747246573855,-0.0519747246573855,-0.0519747246573855,-0.0519747246573855,-0.0519747246573855,0.0139749815206205,0.0329848308100828,0.0519747246573855,-0.034539270253556,0.065460729746444,0.218982954300601,0.353791968934292
"GRHL2",-0.240330423047847,-0.321255806095822,0.192194766467344,-0.201059142912546,-0.195326658836113,-0.195326658836113,-0.195326658836113,-0.195326658836113,-0.195326658836113,0.138100334962136,-0.0898289066313574,0.195326658836113,0.201059142912546,0.101059142912546,0.240330423047847,0.376353620333882
"MIR34",0.145163919344917,0.0896088911410005,0.217957724827808,-0.223019386312366,-0.21864920636378,-0.21864920636378,-0.21864920636378,-0.21864920636378,-0.21864920636378,0.325266461890835,-0.319521671115235,0.21864920636378,0.223019386312366,0.223019386312366,-0.145163919344917,-0.302596937151533
