"","MIR129","MIR34","MIR200","TWIST1","HA","MIR340","GRHL2","ESRP1","ZEB1","TGFB","MIR190","MIR1199","HAS2","CD44s","CD24","SNAIL1"
"MIR200",-0.059032042523946,0.178544807114608,0.178544807114608,-0.029025336775321,0.081881278922715,0.0826407725936011,0.0826407725936011,0.0826407725936011,-0.0823069121121391,-0.191618812332263,-0.0826407725936011,-0.0826407725936011,-0.0826407725936011,-0.081881278922715,-0.081881278922715,0.0231255995924542
"SNAIL1",-0.0763040012003201,0.0981555008269647,0.0981555008269647,-0.0183142392627509,0.0780770953807282,0.0782683562311033,0.0782683562311033,0.0782683562311033,-0.0781572226687675,-0.0726320375319653,-0.0782683562311033,-0.0782683562311033,-0.0782683562311033,-0.0780770953807282,-0.0780770953807282,-0.08421628928402
"MIR190",-0.0763055922569241,0.0981203110090927,0.0981203110090927,-0.0181158251450784,0.0773316585238044,0.0783341647894685,0.0783341647894685,0.0783341647894685,-0.0780770953807282,-0.172755351073637,-0.0783341647894685,-0.0783341647894685,-0.0783341647894685,-0.0773316585238044,-0.0773316585238044,0.0159423485858502
"HAS2",0.0888805469040763,0.0679537139453757,0.0679537139453757,0.0558608842138254,-0.0463821892393321,0.052854451982042,0.052854451982042,0.052854451982042,-0.0534491843524753,0.00221263973799471,-0.052854451982042,-0.052854451982042,-0.052854451982042,-0.0536178107606679,-0.0536178107606679,-0.0708134625321955
"MIR340",0.089154519506816,0.0679537139453757,0.0679537139453757,0.0563175052183916,0.052854451982042,0.0534491843524753,0.0534491843524753,0.0534491843524753,-0.0530619338311765,0.00192278466553094,-0.0534491843524753,-0.0534491843524753,-0.0534491843524753,-0.052854451982042,-0.052854451982042,-0.0704350330146932
"MIR1199",0.089154519506816,0.0679537139453757,0.0679537139453757,0.0563175052183916,0.052854451982042,0.0534491843524753,0.0534491843524753,0.0534491843524753,-0.0530619338311765,0.00192278466553094,-0.0534491843524753,-0.0534491843524753,-0.0534491843524753,-0.052854451982042,-0.052854451982042,-0.0704350330146932
"CD44s",0.089154519506816,0.0679537139453757,0.0679537139453757,0.0563175052183916,0.052854451982042,0.0534491843524753,0.0534491843524753,0.0534491843524753,-0.0530619338311765,0.00192278466553094,-0.0534491843524753,-0.0534491843524753,-0.0534491843524753,-0.052854451982042,-0.052854451982042,-0.0704350330146932
"ZEB1",-0.0890610324391937,-0.0678623229748036,-0.0678623229748036,-0.0559747193037764,-0.0534491843524753,-0.0530619338311765,-0.0530619338311765,-0.0530619338311765,-0.0468463884668779,-0.0021504269419537,0.0530619338311765,0.0530619338311765,0.0530619338311765,0.0534491843524753,0.0534491843524753,0.0705978464305186
"GRHL2",-0.0743643467472746,0.0162257483057543,0.0162257483057543,-0.0551931845956307,0.0154319446308975,0.0147950019557383,0.0147950019557383,0.0147950019557383,-0.0152361135569734,-0.0027456109020868,-0.0147950019557383,-0.0147950019557383,-0.0147950019557383,-0.0154319446308975,-0.115431944630897,0.0601920921246242
"MIR129",-0.153865683828405,0.00862312823955539,0.00862312823955539,-0.0216378691262102,0.0127455849889625,0.0134907414718239,0.0134907414718239,0.0134907414718239,-0.0133153468338885,-0.00093908301545533,-0.0134907414718239,-0.0134907414718239,-0.0134907414718239,-0.0127455849889625,-0.0127455849889625,0.00744130304886501
"TWIST1",0.153944156232276,-0.00865392589893328,-0.00865392589893328,-0.0781529258528693,-0.0134907414718239,-0.0133153468338885,-0.0133153468338885,-0.0133153468338885,0.0134545256787041,0.000798198259185959,0.0133153468338885,0.0133153468338885,0.0133153468338885,0.0134907414718239,0.0134907414718239,-0.00723545702169334
"HA",-0.089154519506816,-0.0679537139453757,-0.0679537139453757,-0.0563175052183916,-0.052854451982042,-0.0534491843524753,-0.0534491843524753,-0.0534491843524753,0.0530619338311765,-0.00192278466553094,0.0534491843524753,0.0534491843524753,0.0534491843524753,0.052854451982042,0.052854451982042,0.0704350330146932
"CD24",-0.089154519506816,-0.0679537139453757,-0.0679537139453757,-0.0563175052183916,-0.052854451982042,-0.0534491843524753,-0.0534491843524753,-0.0534491843524753,0.0530619338311765,-0.00192278466553094,0.0534491843524753,0.0534491843524753,0.0534491843524753,0.052854451982042,0.052854451982042,0.0704350330146932
"ESRP1",-0.0888805469040763,-0.0679537139453757,-0.0679537139453757,-0.0558608842138254,-0.0536178107606679,-0.052854451982042,-0.052854451982042,-0.052854451982042,0.0534491843524753,-0.00221263973799471,0.052854451982042,0.052854451982042,0.052854451982042,-0.0463821892393321,0.0536178107606679,0.0708134625321955
"TGFB",0.0763495869775576,-0.0981464958742407,-0.0981464958742407,0.0185117776307801,-0.0783341647894685,-0.0780770953807282,-0.0780770953807282,-0.0780770953807282,0.0782683562311033,0.0725182718891894,0.0780770953807282,0.0780770953807282,0.0780770953807282,0.0783341647894685,0.0783341647894685,-0.0156637970538168
"MIR34",0.0763495869775576,-0.0981464958742407,-0.0981464958742407,0.0185117776307801,-0.0783341647894685,-0.0780770953807282,-0.0780770953807282,-0.0780770953807282,0.0782683562311033,0.0725182718891894,0.0780770953807282,0.0780770953807282,0.0780770953807282,0.0783341647894685,0.0783341647894685,-0.0156637970538168
