"","SNAIL1","MIR200","MIR1199","HAS2","GRHL2","ESRP1","CD44s","ZEB1","HA","CD24","MIR340","MIR190","MIR129","TGFB","MIR34","TWIST1"
"SNAIL1",0.679057182745468,0.543125837563471,0.291571737726496,0.291571737726496,0.291571737726496,0.291571737726496,0.279463454660437,-0.30157375833672,-0.279463454660437,-0.279463454660437,-0.291571737726496,-0.291571737726496,-0.270609082889544,-0.4699988216606,-0.543125837563471,-0.60236083445175
"MIR200",0.653949543096344,0.511647243518058,0.279669125808788,0.279669125808788,0.279669125808788,0.279669125808788,0.264529885302459,-0.290721664905608,-0.264529885302459,-0.264529885302459,-0.279669125808788,-0.279669125808788,-0.273734371863034,-0.540266857948635,-0.511647243518058,-0.529397080622586
"HA",0.510809142481774,0.360611728727597,0.237963074610921,0.237963074610921,0.237963074610921,0.237963074610921,0.224454153625364,-0.246929413604069,-0.224454153625364,-0.224454153625364,-0.237963074610921,-0.237963074610921,-0.24258847604182,-0.294497455783283,-0.360611728727597,-0.431120963913873
"CD44s",0.510809142481774,0.360611728727597,0.237963074610921,0.237963074610921,0.237963074610921,0.237963074610921,0.224454153625364,-0.246929413604069,-0.224454153625364,-0.224454153625364,-0.237963074610921,-0.237963074610921,-0.24258847604182,-0.294497455783283,-0.360611728727597,-0.431120963913873
"CD24",0.510809142481774,0.360611728727597,0.237963074610921,0.237963074610921,0.237963074610921,0.237963074610921,0.224454153625364,-0.246929413604069,-0.224454153625364,-0.224454153625364,-0.237963074610921,-0.237963074610921,-0.24258847604182,-0.294497455783283,-0.360611728727597,-0.431120963913873
"ESRP1",0.479399492529078,0.338061676040558,0.224454153625364,0.224454153625364,0.224454153625364,0.224454153625364,0.313512677798392,-0.237963074610921,-0.213512677798392,-0.213512677798392,-0.224454153625364,-0.224454153625364,-0.230259708918532,-0.275463639358163,-0.338061676040558,-0.401440598617069
"GRHL2",0.288227724881791,0.135691698685561,0.072131498293135,0.072131498293135,0.072131498293135,0.072131498293135,0.0647429632612879,-0.0752633906619043,-0.0647429632612879,-0.164742963261288,-0.072131498293135,-0.072131498293135,-0.158385091291755,-0.10072751185236,-0.135691698685561,-0.261642312916398
"MIR129",-0.348769142488064,-0.180473104048369,-0.0447195300085866,-0.0447195300085866,-0.0447195300085866,-0.0447195300085866,-0.0387582781456954,0.0484529301589248,0.0387582781456954,0.0387582781456954,0.0447195300085866,0.0447195300085866,0.0587440511915966,0.125350378134785,0.180473104048369,0.306247379092149
"TWIST1",-0.359761320339032,-0.187833744639684,-0.0484529301589248,-0.0484529301589248,-0.0484529301589248,-0.0484529301589248,-0.0447195300085866,0.0522977457469555,0.0447195300085866,0.0447195300085866,0.0484529301589248,0.0484529301589248,0.0631123483404326,0.133662578754678,0.187833744639684,0.216707630138174
"ZEB1",-0.537087227796004,-0.378250186048013,-0.246929413604069,-0.246929413604069,-0.246929413604069,-0.246929413604069,-0.237963074610921,0.155924014806066,0.237963074610921,0.237963074610921,0.246929413604069,0.246929413604069,0.253152514683141,0.313586886677592,0.378250186048013,0.456019686257282
"HAS2",-0.479399492529078,-0.338061676040558,-0.224454153625364,-0.224454153625364,-0.224454153625364,-0.224454153625364,-0.213512677798392,0.237963074610921,0.113512677798392,0.213512677798392,0.224454153625364,0.224454153625364,0.230259708918532,0.275463639358163,0.338061676040558,0.401440598617069
"MIR340",-0.510809142481774,-0.360611728727597,-0.237963074610921,-0.237963074610921,-0.237963074610921,-0.237963074610921,-0.224454153625364,0.246929413604069,0.224454153625364,0.224454153625364,0.237963074610921,0.237963074610921,0.24258847604182,0.294497455783283,0.360611728727597,0.431120963913873
"MIR1199",-0.510809142481774,-0.360611728727597,-0.237963074610921,-0.237963074610921,-0.237963074610921,-0.237963074610921,-0.224454153625364,0.246929413604069,0.224454153625364,0.224454153625364,0.237963074610921,0.237963074610921,0.24258847604182,0.294497455783283,0.360611728727597,0.431120963913873
"MIR190",-0.710603524161449,-0.495619484403089,-0.265410326982631,-0.265410326982631,-0.265410326982631,-0.265410326982631,-0.247866467333508,0.279463454660437,0.247866467333508,0.247866467333508,0.265410326982631,0.265410326982631,0.24381146468791,0.522788183682942,0.495619484403089,0.538337345108186
"TGFB",-0.747743728432573,-0.521306837113223,-0.279463454660437,-0.279463454660437,-0.279463454660437,-0.279463454660437,-0.265410326982631,0.291571737726496,0.265410326982631,0.265410326982631,0.279463454660437,0.279463454660437,0.25828572777634,0.44872464646151,0.521306837113223,0.573049179688036
"MIR34",-0.747743728432573,-0.521306837113223,-0.279463454660437,-0.279463454660437,-0.279463454660437,-0.279463454660437,-0.265410326982631,0.291571737726496,0.265410326982631,0.265410326982631,0.279463454660437,0.279463454660437,0.25828572777634,0.44872464646151,0.521306837113223,0.573049179688036
