"","SNAIL1","MIR340","MIR190","HAS2","GRHL2","HA","CD44s","MIR34","ZEB1","CD24","MIR1199","ESRP1","TWIST1","MIR129","TGFB","MIR200"
"MIR129",0.407367937449118,0.318096939430128,0.318096939430128,0.318096939430128,0.318096939430128,0.312582781456954,0.312582781456954,-0.00859653849329238,-0.321980677841554,-0.312582781456954,-0.318096939430128,-0.318096939430128,-0.308080399502785,-0.0594189708044278,-0.332243203627452,-0.351379000189714
"SNAIL1",0.255498035750036,0.259598382919225,0.259598382919225,0.259598382919225,0.259598382919225,0.257759336281002,0.257759336281002,-0.0809141165542761,-0.261194664996412,-0.257759336281002,-0.259598382919225,-0.259598382919225,-0.170500285717797,-0.170500285717797,-0.350172853649277,-0.350641677465737
"MIR34",0.35245222873109,0.257759336281002,0.257759336281002,0.257759336281002,0.257759336281002,0.254760193179031,0.254760193179031,-0.0802027252890803,-0.259598382919225,-0.254760193179031,-0.257759336281002,-0.257759336281002,-0.168418535223951,-0.168418535223951,-0.346418587437673,-0.347679048019541
"MIR190",0.347716852686521,0.254760193179031,0.254760193179031,0.254760193179031,0.254760193179031,0.248995782151462,0.248995782151462,-0.0796528431209734,-0.257759336281002,-0.248995782151462,-0.254760193179031,-0.254760193179031,-0.165470888941505,-0.165470888941505,-0.440207112805145,-0.343463284730722
"MIR1199",0.277208710080205,0.152186908475701,0.152186908475701,0.152186908475701,0.152186908475701,0.149043323089125,0.149043323089125,0.0458310162393033,-0.155076393134622,-0.149043323089125,-0.152186908475701,-0.152186908475701,-0.176767615623699,-0.176767615623699,-0.190755209259487,-0.222209661037847
"HA",0.277208710080205,0.152186908475701,0.152186908475701,0.152186908475701,0.152186908475701,0.149043323089125,0.149043323089125,0.0458310162393033,-0.155076393134622,-0.149043323089125,-0.152186908475701,-0.152186908475701,-0.176767615623699,-0.176767615623699,-0.190755209259487,-0.222209661037847
"CD24",0.277208710080205,0.152186908475701,0.152186908475701,0.152186908475701,0.152186908475701,0.149043323089125,0.149043323089125,0.0458310162393033,-0.155076393134622,-0.149043323089125,-0.152186908475701,-0.152186908475701,-0.176767615623699,-0.176767615623699,-0.190755209259487,-0.222209661037847
"HAS2",0.273519022284556,0.149043323089125,0.149043323089125,0.149043323089125,0.149043323089125,0.246753246753247,0.146753246753247,0.0466740088631179,-0.152186908475701,-0.146753246753247,-0.149043323089125,-0.149043323089125,-0.173936565395389,-0.173936565395389,-0.186214146457554,-0.21746782752889
"ESRP1",0.273519022284556,0.149043323089125,0.149043323089125,0.149043323089125,0.149043323089125,0.146753246753247,0.0467532467532468,0.0466740088631179,-0.152186908475701,-0.146753246753247,-0.149043323089125,-0.149043323089125,-0.173936565395389,-0.173936565395389,-0.186214146457554,-0.21746782752889
"GRHL2",0.164737300261976,0.0262456342667768,0.0262456342667768,0.0262456342667768,0.0262456342667768,0.0244621947763309,0.0244621947763309,-0.0244575026855578,-0.0275689690704821,-0.124462194776331,-0.0262456342667768,-0.0262456342667768,-0.12254851455171,-0.12254851455171,-0.0433210052536755,-0.0593131464302098
"ZEB1",-0.279488097901761,-0.155076393134622,-0.155076393134622,-0.155076393134622,-0.155076393134622,-0.152186908475701,-0.152186908475701,-0.0461783019274773,0.0566349140676976,0.152186908475701,0.155076393134622,0.155076393134622,0.178232246349782,0.178232246349782,0.1948852905603,0.22540834500787
"MIR340",-0.277208710080205,-0.152186908475701,-0.152186908475701,-0.152186908475701,-0.152186908475701,-0.149043323089125,-0.149043323089125,-0.0458310162393033,0.155076393134622,0.149043323089125,0.152186908475701,0.152186908475701,0.176767615623699,0.176767615623699,0.190755209259487,0.222209661037847
"CD44s",-0.277208710080205,-0.152186908475701,-0.152186908475701,-0.152186908475701,-0.152186908475701,-0.149043323089125,-0.149043323089125,-0.0458310162393033,0.155076393134622,0.149043323089125,0.152186908475701,0.152186908475701,0.176767615623699,0.176767615623699,0.190755209259487,0.222209661037847
"MIR200",-0.359451794436508,-0.21628884266399,-0.21628884266399,-0.21628884266399,-0.21628884266399,-0.212086311018421,-0.212086311018421,0.0220683528057746,0.219223300579998,0.212086311018421,0.21628884266399,0.21628884266399,0.201876442787538,0.201876442787538,0.439963839430326,0.363359402165889
"TGFB",-0.35245222873109,-0.257759336281002,-0.257759336281002,-0.257759336281002,-0.257759336281002,-0.254760193179031,-0.254760193179031,0.0802027252890803,0.259598382919225,0.254760193179031,0.257759336281002,0.257759336281002,0.168418535223951,0.168418535223951,0.346418587437673,0.347679048019541
"TWIST1",-0.41251408812841,-0.321980677841554,-0.321980677841554,-0.321980677841554,-0.321980677841554,-0.318096939430128,-0.318096939430128,0.00915089636209435,0.324555486470642,0.318096939430128,0.321980677841554,0.321980677841554,0.211532282347973,0.0628455991068081,0.339033848879636,0.356706995262089
