"","MIR340","MIR190","HAS2","GRHL2","ESRP1","MIR34","MIR200","SNAIL1","TWIST1","TGFB","MIR129","ZEB1","MIR1199","HA","CD44s","CD24"
"HAS2",0.214664797216597,0.214664797216597,0.214664797216597,0.214664797216597,0.214664797216597,0.216338380364475,0.216338380364475,0.162231254797435,0.07445195588725,0.0176319285852754,-0.07445195588725,-0.272693684217446,-0.214664797216597,-0.363265306122449,-0.263265306122449,-0.263265306122449
"MIR340",0.272693684217446,0.272693684217446,0.272693684217446,0.272693684217446,0.272693684217446,0.270922152756467,0.270922152756467,0.120130970975297,0.123493051777661,0.00671405418914018,-0.123493051777661,-0.227385373225489,-0.272693684217446,-0.214664797216597,-0.214664797216597,-0.214664797216597
"CD44s",0.272693684217446,0.272693684217446,0.272693684217446,0.272693684217446,0.272693684217446,0.270922152756467,0.270922152756467,0.120130970975297,0.123493051777661,0.00671405418914018,-0.123493051777661,-0.227385373225489,-0.272693684217446,-0.214664797216597,-0.214664797216597,-0.214664797216597
"CD24",0.272693684217446,0.272693684217446,0.272693684217446,0.272693684217446,0.272693684217446,0.270922152756467,0.270922152756467,0.120130970975297,0.123493051777661,0.00671405418914018,-0.123493051777661,-0.227385373225489,-0.272693684217446,-0.214664797216597,-0.214664797216597,-0.214664797216597
"MIR200",0.237866140882247,0.237866140882247,0.237866140882247,0.237866140882247,0.237866140882247,0.134688038238189,0.134688038238189,-0.0260921138097918,0.00408017998592001,0.001158429098127,-0.00408017998592001,-0.179862275129304,-0.237866140882247,-0.170372469996171,-0.170372469996171,-0.170372469996171
"MIR129",0.0388236972921046,0.0388236972921046,0.0388236972921046,0.0388236972921046,0.0388236972921046,0.0395062382924019,0.0395062382924019,0.104701335292701,0.126803631633745,0.0194002361703237,0.074117359033446,-0.110459878700273,-0.0388236972921046,-0.110358719646799,-0.110358719646799,-0.110358719646799
"TGFB",0.017597684873567,0.017597684873567,0.017597684873567,0.017597684873567,0.017597684873567,-0.0813113325268336,-0.0813113325268336,-0.0134083044868448,-0.083429967769163,-0.0747316179383073,0.083429967769163,-0.0895853264801582,-0.017597684873567,-0.0938616094665405,-0.0938616094665405,-0.0938616094665405
"GRHL2",0.113945948562516,0.113945948562516,0.113945948562516,0.113945948562516,0.113945948562516,0.11552832630503,0.11552832630503,0.0747934897888211,0.102009671823065,0.00318709448155333,-0.102009671823065,-0.0653354501064063,-0.113945948562516,-0.0582771587535985,-0.0582771587535985,-0.158277158753599
"TWIST1",0.110459878700273,0.110459878700273,0.110459878700273,0.110459878700273,0.110459878700273,0.108616185936381,0.108616185936381,0.0453765102618237,0.0937492383283055,0.00308578139433044,0.00718039853122266,-0.0463158285958889,-0.110459878700273,-0.0388236972921046,-0.0388236972921046,-0.0388236972921046
"MIR190",-0.0938616094665405,-0.0938616094665405,-0.0938616094665405,-0.0938616094665405,-0.0938616094665405,0.00718197929300277,0.00718197929300277,0.0796571438554613,0.00991478959054446,-0.00682362151166895,-0.00991478959054446,0.017597684873567,0.0938616094665405,0.0124079753813274,0.0124079753813274,0.0124079753813274
"SNAIL1",-0.0895853264801582,-0.0895853264801582,-0.0895853264801582,-0.0895853264801582,-0.0895853264801582,0.0115499637740196,0.0115499637740196,-0.024676274616201,0.014671420435931,0.0918127165893719,-0.014671420435931,0.0221676663467979,0.0895853264801582,0.017597684873567,0.017597684873567,0.017597684873567
"MIR34",-0.017597684873567,-0.017597684873567,-0.017597684873567,-0.017597684873567,-0.017597684873567,0.0813113325268336,0.0813113325268336,0.0134083044868448,0.083429967769163,0.0747316179383073,-0.083429967769163,0.0895853264801582,0.017597684873567,0.0938616094665405,0.0938616094665405,0.0938616094665405
"ZEB1",-0.227385373225489,-0.227385373225489,-0.227385373225489,-0.227385373225489,-0.227385373225489,-0.226853426746596,-0.226853426746596,-0.162071706891937,-0.0790243699453144,-0.0181937289858881,0.0790243699453144,0.175292065697731,0.227385373225489,0.272693684217446,0.272693684217446,0.272693684217446
"MIR1199",-0.272693684217446,-0.272693684217446,-0.272693684217446,-0.272693684217446,-0.272693684217446,-0.270922152756467,-0.270922152756467,-0.120130970975297,-0.123493051777661,-0.00671405418914018,0.123493051777661,0.227385373225489,0.272693684217446,0.214664797216597,0.214664797216597,0.214664797216597
"HA",-0.272693684217446,-0.272693684217446,-0.272693684217446,-0.272693684217446,-0.272693684217446,-0.270922152756467,-0.270922152756467,-0.120130970975297,-0.123493051777661,-0.00671405418914018,0.123493051777661,0.227385373225489,0.272693684217446,0.214664797216597,0.214664797216597,0.214664797216597
"ESRP1",-0.214664797216597,-0.214664797216597,-0.214664797216597,-0.214664797216597,-0.214664797216597,-0.216338380364475,-0.216338380364475,-0.162231254797435,-0.07445195588725,-0.0176319285852754,0.07445195588725,0.272693684217446,0.214664797216597,0.263265306122449,0.163265306122449,0.263265306122449
