"","TWIST1","MIR200","TGFB","ZEB1","CD24","MIR340","MIR190","MIR1199","HAS2","ESRP1","MIR34","GRHL2","HA","CD44s","SNAIL1","MIR129"
"MIR129",-0.350408183865879,0.0585518208433307,0.138844167412186,-0.290282866683446,0.295394591611479,0.292562996976606,0.292562996976606,0.292562996976606,0.292562996976606,0.292562996976606,-0.251472695479997,-0.292562996976606,-0.295394591611479,-0.295394591611479,0.188683956917275,0.346236083485737
"MIR34",-0.295286994908959,-0.0264516877868107,0.040552742798858,-0.268492346029005,0.27279472551267,0.270566790636921,0.270566790636921,0.270566790636921,0.270566790636921,0.270566790636921,-0.306769616304483,-0.270566790636921,-0.27279472551267,-0.27279472551267,0.228165711934499,0.295286994908959
"SNAIL1",-0.292323919388521,-0.0269649700920786,0.039886401176885,-0.26711833107649,0.270566790636921,0.268492346029005,0.268492346029005,0.268492346029005,0.268492346029005,0.268492346029005,-0.304743501941584,-0.268492346029005,-0.270566790636921,-0.270566790636921,0.12748620118224,0.292323919388521
"ZEB1",-0.299600457282754,-0.136918406630052,-0.0970140515118327,-0.0666127638810343,-0.0330762486527425,-0.0328677291412739,-0.0328677291412739,-0.0328677291412739,-0.0328677291412739,-0.0328677291412739,-0.0234599857018365,0.0328677291412739,0.0330762486527425,0.0330762486527425,0.250187470615068,0.299600457282754
"ESRP1",0.301895657283893,0.140878476576405,0.105737039611279,-0.0330762486527425,0.0432591218305504,0.0358799869704995,0.0358799869704995,0.0358799869704995,0.0358799869704995,0.0358799869704995,0.0236868163573534,-0.0358799869704995,-0.0432591218305504,-0.14325912183055,-0.254891006947105,-0.301895657283893
"MIR340",0.301439036279326,0.138033376471031,0.0998433198045157,-0.0328677291412739,0.0358799869704995,0.0330762486527425,0.0330762486527425,0.0330762486527425,0.0330762486527425,0.0330762486527425,0.0243190608252143,-0.0330762486527425,-0.0358799869704995,-0.0358799869704995,-0.252336607703964,-0.301439036279326
"MIR1199",0.301439036279326,0.138033376471031,0.0998433198045157,-0.0328677291412739,0.0358799869704995,0.0330762486527425,0.0330762486527425,0.0330762486527425,0.0330762486527425,0.0330762486527425,0.0243190608252143,-0.0330762486527425,-0.0358799869704995,-0.0358799869704995,-0.252336607703964,-0.301439036279326
"HA",0.301439036279326,0.138033376471031,0.0998433198045157,-0.0328677291412739,0.0358799869704995,0.0330762486527425,0.0330762486527425,0.0330762486527425,0.0330762486527425,0.0330762486527425,0.0243190608252143,-0.0330762486527425,-0.0358799869704995,-0.0358799869704995,-0.252336607703964,-0.301439036279326
"CD24",0.301439036279326,0.138033376471031,0.0998433198045157,-0.0328677291412739,0.0358799869704995,0.0330762486527425,0.0330762486527425,0.0330762486527425,0.0330762486527425,0.0330762486527425,0.0243190608252143,-0.0330762486527425,-0.0358799869704995,-0.0358799869704995,-0.252336607703964,-0.301439036279326
"GRHL2",0.188898838368676,0.0156319974737637,-0.00409047723755035,0.0325840333204788,-0.132902701332021,-0.0331574784020844,-0.0331574784020844,-0.0331574784020844,-0.0331574784020844,-0.0331574784020844,0.0591940622021049,0.0331574784020844,0.0329027013320207,0.0329027013320207,-0.151017132720566,-0.188898838368676
"CD44s",-0.301439036279326,-0.138033376471031,-0.0998433198045157,0.0328677291412739,-0.0358799869704995,-0.0330762486527425,-0.0330762486527425,-0.0330762486527425,-0.0330762486527425,-0.0330762486527425,-0.0243190608252143,0.0330762486527425,0.0358799869704995,0.0358799869704995,0.252336607703964,0.301439036279326
"HAS2",-0.301895657283893,-0.140878476576405,-0.105737039611279,0.0330762486527425,-0.0432591218305504,-0.0358799869704995,-0.0358799869704995,-0.0358799869704995,-0.0358799869704995,-0.0358799869704995,-0.0236868163573534,0.0358799869704995,-0.0567408781694496,0.0432591218305504,0.254891006947105,0.301895657283893
"MIR200",0.0893698270612139,-0.0539548355874084,0.0469459974373687,0.146218910804017,-0.149635382292421,-0.147255635456978,-0.147255635456978,-0.147255635456978,-0.147255635456978,-0.147255635456978,0.201550891557526,0.147255635456978,0.149635382292421,0.149635382292421,-0.0382162457137957,-0.0893698270612139
"TGFB",0.295286994908959,0.0264516877868107,-0.040552742798858,0.268492346029005,-0.27279472551267,-0.270566790636921,-0.270566790636921,-0.270566790636921,-0.270566790636921,-0.270566790636921,0.306769616304483,0.270566790636921,0.27279472551267,0.27279472551267,-0.228165711934499,-0.295286994908959
"MIR190",0.30017040889928,0.0267397213034381,0.0596843363855896,0.270566790636921,-0.274549111477583,-0.27279472551267,-0.27279472551267,-0.27279472551267,-0.27279472551267,-0.27279472551267,0.309780875796497,0.27279472551267,0.274549111477583,0.274549111477583,-0.230115572658733,-0.30017040889928
"TWIST1",0.246799397255,-0.0581514512714181,-0.137857974118301,0.288664912612465,-0.292562996976606,-0.290282866683446,-0.290282866683446,-0.290282866683446,-0.290282866683446,-0.290282866683446,0.249070478048522,0.290282866683446,0.292562996976606,0.292562996976606,-0.187709619055329,-0.3426001954397
