"","MIR340","HAS2","GRHL2","ESRP1","HA","CD44s","CD24","MIR200","MIR129","SNAIL1","TGFB","TWIST1","ZEB1","MIR34","MIR190","MIR1199"
"MIR340",0.263737685077079,0.263737685077079,0.263737685077079,0.263737685077079,0.259574558484046,0.259574558484046,0.259574558484046,0.23018746048676,0.123307666064797,0.113338138884439,-0.0104225770016404,-0.0741551737545291,-0.266567592732724,-0.23018746048676,-0.263737685077079,-0.263737685077079
"HA",0.263737685077079,0.263737685077079,0.263737685077079,0.263737685077079,0.259574558484046,0.259574558484046,0.259574558484046,0.23018746048676,0.123307666064797,0.113338138884439,-0.0104225770016404,-0.0741551737545291,-0.266567592732724,-0.23018746048676,-0.263737685077079,-0.263737685077079
"CD44s",0.263737685077079,0.263737685077079,0.263737685077079,0.263737685077079,0.259574558484046,0.259574558484046,0.259574558484046,0.23018746048676,0.123307666064797,0.113338138884439,-0.0104225770016404,-0.0741551737545291,-0.266567592732724,-0.23018746048676,-0.263737685077079,-0.263737685077079
"CD24",0.263737685077079,0.263737685077079,0.263737685077079,0.263737685077079,0.259574558484046,0.259574558484046,0.259574558484046,0.23018746048676,0.123307666064797,0.113338138884439,-0.0104225770016404,-0.0741551737545291,-0.266567592732724,-0.23018746048676,-0.263737685077079,-0.263737685077079
"HAS2",0.259574558484046,0.259574558484046,0.259574558484046,0.259574558484046,0.352195423623995,0.252195423623995,0.252195423623995,0.227026238147455,0.121755154649272,0.112202850331932,-0.00955301178424911,-0.0738812011517894,-0.263737685077079,-0.227026238147455,-0.259574558484046,-0.259574558484046
"ESRP1",0.259574558484046,0.259574558484046,0.259574558484046,0.259574558484046,0.252195423623995,0.352195423623995,0.252195423623995,0.227026238147455,0.121755154649272,0.112202850331932,-0.00955301178424911,-0.0738812011517894,-0.263737685077079,-0.227026238147455,-0.259574558484046,-0.259574558484046
"MIR200",0.19298677905994,0.19298677905994,0.19298677905994,0.19298677905994,0.190910829692852,0.190910829692852,0.190910829692852,0.264586828274408,0.138495646989126,0.123994262370535,-0.205080849751421,-0.0695876898384617,-0.19437493579865,-0.264586828274408,-0.19298677905994,-0.19298677905994
"TGFB",0.0955859126822315,0.0955859126822315,0.0955859126822315,0.0955859126822315,0.0949003942589238,0.0949003942589238,0.0949003942589238,-0.0156315326463882,-0.0869508853015568,-0.0301749465943205,0.0770987652309506,0.0229108035558913,-0.095953722009876,0.0156315326463882,-0.0955859126822315,-0.0955859126822315
"MIR34",0.0955859126822315,0.0955859126822315,0.0955859126822315,0.0955859126822315,0.0949003942589238,0.0949003942589238,0.0949003942589238,-0.0156315326463882,-0.0869508853015568,-0.0301749465943205,0.0770987652309506,0.0229108035558913,-0.095953722009876,0.0156315326463882,-0.0955859126822315,-0.0955859126822315
"TWIST1",0.0417965847385883,0.0417965847385883,0.0417965847385883,0.0417965847385883,0.0411701753173906,0.0411701753173906,0.0411701753173906,0.0353803062342645,0.0258280343555144,0.026677275555821,-0.00623294460697312,-0.00713839297291333,-0.0422663133398409,-0.0353803062342645,-0.0417965847385883,-0.0417965847385883
"MIR129",0.0411701753173906,0.0411701753173906,0.0411701753173906,0.0411701753173906,0.0399779249448124,0.0399779249448124,0.0399779249448124,0.034979936662352,0.0255926171439005,0.0264439833916931,-0.006035705948196,0.0926524020061662,-0.0417965847385883,-0.034979936662352,-0.0411701753173906,-0.0411701753173906
"GRHL2",-0.0741467840242643,-0.0741467840242643,-0.0741467840242643,-0.0741467840242643,-0.0728728986739458,-0.0728728986739458,0.0271271013260542,-0.0693531427822978,-0.092352761683137,-0.0823278579988709,0.00720203530192612,0.0645570019091469,0.075161340707105,0.0693531427822978,0.0741467840242643,0.0741467840242643
"MIR190",-0.0949003942589238,-0.0949003942589238,-0.0949003942589238,-0.0949003942589238,-0.0938978879932597,-0.0938978879932597,-0.0938978879932597,0.016233784544791,0.0873468377872585,0.0301749465943205,-0.177241012741619,-0.023306756041593,0.0955859126822315,-0.016233784544791,0.0949003942589238,0.0949003942589238
"SNAIL1",-0.095953722009876,-0.095953722009876,-0.095953722009876,-0.095953722009876,-0.0955859126822315,-0.0955859126822315,-0.0955859126822315,0.0154064088282883,0.0868141279698443,-0.0699609555561312,-0.0769849995881747,-0.0230475608876038,0.0962265043901549,-0.0154064088282883,0.095953722009876,0.095953722009876
"ZEB1",-0.266567592732724,-0.266567592732724,-0.266567592732724,-0.266567592732724,-0.263737685077079,-0.263737685077079,-0.263737685077079,-0.232362565586376,-0.124149049673398,-0.114021955230906,0.0107803005788762,0.0743733102456478,0.168289096247036,0.232362565586376,0.266567592732724,0.266567592732724
"MIR1199",-0.263737685077079,-0.263737685077079,-0.263737685077079,-0.263737685077079,-0.259574558484046,-0.259574558484046,-0.259574558484046,-0.23018746048676,-0.123307666064797,-0.113338138884439,0.0104225770016404,0.0741551737545291,0.266567592732724,0.23018746048676,0.263737685077079,0.263737685077079
