"","MIR34","MIR340","MIR190","MIR1199","GRHL2","ESRP1","HA","CD24","TGFB","ZEB1","TWIST1","MIR129","CD44s","HAS2","SNAIL1","MIR200"
"MIR129",0.0208975233673402,0.263893709925221,0.263893709925221,0.263893709925221,0.263893709925221,0.263893709925221,0.262552428256071,0.262552428256071,-0.0776398865579454,-0.264720570361202,-0.0954784688995215,0.259619279353757,-0.262552428256071,-0.263893709925221,0.241599176011822,-0.0208975233673402
"MIR340",0.22333187406924,0.18367101411313,0.18367101411313,0.18367101411313,0.18367101411313,0.18367101411313,0.181546969933011,0.181546969933011,0.0349181613772848,-0.183760379618045,-0.13964361869664,-0.13964361869664,-0.181546969933011,-0.18367101411313,-0.211491742816707,-0.22333187406924
"MIR1199",0.22333187406924,0.18367101411313,0.18367101411313,0.18367101411313,0.18367101411313,0.18367101411313,0.181546969933011,0.181546969933011,0.0349181613772848,-0.183760379618045,-0.13964361869664,-0.13964361869664,-0.181546969933011,-0.18367101411313,-0.211491742816707,-0.22333187406924
"HA",0.22333187406924,0.18367101411313,0.18367101411313,0.18367101411313,0.18367101411313,0.18367101411313,0.181546969933011,0.181546969933011,0.0349181613772848,-0.183760379618045,-0.13964361869664,-0.13964361869664,-0.181546969933011,-0.18367101411313,-0.211491742816707,-0.22333187406924
"CD44s",0.22333187406924,0.18367101411313,0.18367101411313,0.18367101411313,0.18367101411313,0.18367101411313,0.181546969933011,0.181546969933011,0.0349181613772848,-0.183760379618045,-0.13964361869664,-0.13964361869664,-0.181546969933011,-0.18367101411313,-0.211491742816707,-0.22333187406924
"CD24",0.22333187406924,0.18367101411313,0.18367101411313,0.18367101411313,0.18367101411313,0.18367101411313,0.181546969933011,0.181546969933011,0.0349181613772848,-0.183760379618045,-0.13964361869664,-0.13964361869664,-0.181546969933011,-0.18367101411313,-0.211491742816707,-0.22333187406924
"SNAIL1",-0.145964234125247,0.0879948084616704,0.0879948084616704,0.0879948084616704,0.0879948084616704,0.0879948084616704,0.087685848626449,0.087685848626449,-0.159910561649807,-0.0879341901549418,0.141144410998656,0.141144410998656,-0.087685848626449,-0.0879948084616704,0.191801701283538,0.145964234125247
"MIR190",-0.145282597638377,0.0879429180351894,0.0879429180351894,0.0879429180351894,0.0879429180351894,0.0879429180351894,0.0866897852031092,0.0866897852031092,-0.25908019498506,-0.087685848626449,0.14034773285744,0.14034773285744,-0.0866897852031092,-0.0879429180351894,0.290884857232981,0.145282597638377
"GRHL2",-0.0661450196598909,-0.0427436651798875,-0.0427436651798875,-0.0427436651798875,-0.0427436651798875,-0.0427436651798875,-0.0412150027595054,0.0587849972404946,-0.0171668978304559,0.0422584424185289,0.10111348983883,0.10111348983883,0.0412150027595054,0.0427436651798875,0.131690607178043,0.0661450196598909
"ZEB1",-0.224410287521991,-0.183760379618045,-0.183760379618045,-0.183760379618045,-0.183760379618045,-0.183760379618045,-0.18367101411313,-0.18367101411313,-0.0360563727593986,0.0843410050637009,0.14054732701699,0.14054732701699,0.18367101411313,0.183760379618045,0.213217565024457,0.224410287521991
"TGFB",0.145937219267075,-0.087685848626449,-0.087685848626449,-0.087685848626449,-0.087685848626449,-0.087685848626449,-0.0879429180351894,-0.0879429180351894,0.159601769190844,0.0879948084616704,-0.141007653666943,-0.141007653666943,0.0879429180351894,0.087685848626449,-0.291441960297048,-0.145937219267075
"MIR34",0.145937219267075,-0.087685848626449,-0.087685848626449,-0.087685848626449,-0.087685848626449,-0.087685848626449,-0.0879429180351894,-0.0879429180351894,0.159601769190844,0.0879948084616704,-0.141007653666943,-0.141007653666943,0.0879429180351894,0.087685848626449,-0.291441960297048,-0.145937219267075
"MIR200",-0.300820558853673,-0.14958543153826,-0.14958543153826,-0.14958543153826,-0.14958543153826,-0.14958543153826,-0.148825937867374,-0.148825937867374,-0.241302359266639,0.149743575976847,0.174784627982284,0.174784627982284,0.148825937867374,0.14958543153826,0.302403412332337,0.300820558853673
"HAS2",-0.220170651729935,-0.181546969933011,-0.181546969933011,-0.181546969933011,-0.181546969933011,-0.181546969933011,-0.281292517006803,-0.181292517006803,-0.0332756492999901,0.18367101411313,0.137177865271983,0.137177865271983,0.181292517006803,0.181546969933011,0.208842736194191,0.220170651729935
"ESRP1",-0.220170651729935,-0.181546969933011,-0.181546969933011,-0.181546969933011,-0.181546969933011,-0.181546969933011,-0.181292517006803,-0.181292517006803,-0.0332756492999901,0.18367101411313,0.137177865271983,0.137177865271983,0.0812925170068027,0.181546969933011,0.208842736194191,0.220170651729935
"TWIST1",-0.0216674648517874,-0.264720570361202,-0.264720570361202,-0.264720570361202,-0.264720570361202,-0.264720570361202,-0.263893709925221,-0.263893709925221,0.077499001801676,0.265085914828843,-0.00415542231386759,-0.259279232270315,0.263893709925221,0.264720570361202,-0.241091422478132,0.0216674648517874
