"","SNAIL1","MIR129","HA","CD44s","MIR190","MIR1199","HAS2","GRHL2","MIR34","MIR200","ZEB1","TGFB","MIR340","ESRP1","CD24","TWIST1"
"MIR340",0.197959229053932,0.137310571566494,0.10148729859744,0.10148729859744,0.102251954502283,0.102251954502283,0.102251954502283,0.102251954502283,0.0307054431692484,0.0307054431692484,-0.0993624698433615,-0.0564454218797635,-0.102251954502283,-0.102251954502283,-0.10148729859744,-0.137310571566494
"CD44s",0.197959229053932,0.137310571566494,0.10148729859744,0.10148729859744,0.102251954502283,0.102251954502283,0.102251954502283,0.102251954502283,0.0307054431692484,0.0307054431692484,-0.0993624698433615,-0.0564454218797635,-0.102251954502283,-0.102251954502283,-0.10148729859744,-0.137310571566494
"MIR200",0.258948791334549,0.15408393764515,0.092037266350669,0.092037266350669,0.0923916967304158,0.0923916967304158,0.0923916967304158,0.0923916967304158,-0.0634891895822496,-0.0634891895822496,-0.0912495424517301,-0.0567604439423838,-0.0923916967304158,-0.0923916967304158,-0.092037266350669,-0.15408393764515
"MIR34",0.21886241608441,0.107726849334941,0.049960368609516,0.049960368609516,0.0513314054561313,0.0513314054561313,0.0513314054561313,0.0513314054561313,-0.135998434688827,-0.135998434688827,-0.0514049673216602,0.108194822488541,-0.0513314054561313,-0.0513314054561313,-0.049960368609516,-0.107726849334941
"MIR190",0.219048117105766,0.107330896849239,0.0502109951759321,0.0502109951759321,0.049960368609516,0.049960368609516,0.049960368609516,0.049960368609516,-0.136653056317526,-0.136653056317526,-0.0513314054561313,0.00814740665165136,-0.049960368609516,-0.049960368609516,-0.0502109951759321,-0.107330896849239
"SNAIL1",0.119062272188016,0.107468529930595,0.0513314054561313,0.0513314054561313,0.0514049673216602,0.0514049673216602,0.0514049673216602,0.0514049673216602,-0.135881370303415,-0.135881370303415,-0.0509503300211955,0.107268445111652,-0.0514049673216602,-0.0514049673216602,-0.0513314054561313,-0.107468529930595
"MIR129",-0.195327096266458,0.0401545332152505,0.0202152317880795,0.0202152317880795,0.0218545760503746,0.0218545760503746,0.0218545760503746,0.0218545760503746,0.109208999709742,0.109208999709742,-0.0213785048902643,-0.0793343649190905,-0.0218545760503746,-0.0218545760503746,-0.0202152317880795,0.210684031713346
"TWIST1",-0.195368265471892,0.0393436517085804,0.0218545760503746,0.0218545760503746,0.0213785048902643,0.0213785048902643,0.0213785048902643,0.0213785048902643,0.109270595028498,0.109270595028498,-0.0206826106661864,-0.0803205582129761,-0.0213785048902643,-0.0213785048902643,-0.0218545760503746,0.111520851797027
"GRHL2",-0.123874400587188,-0.101097223418901,0.00382270550856938,0.00382270550856938,0.0052239793939197,0.0052239793939197,0.0052239793939197,0.0052239793939197,0.0371756024103784,0.0371756024103784,-0.0075618708804658,-0.0233940866254963,-0.0052239793939197,-0.0052239793939197,-0.103822705508569,0.101097223418901
"ZEB1",-0.198805858816224,-0.137404058634117,-0.102251954502283,-0.102251954502283,-0.0993624698433615,-0.0993624698433615,-0.0993624698433615,-0.0993624698433615,-0.0292980222224379,-0.0292980222224379,-0.000219887292219607,0.0578437958635034,0.0993624698433615,0.0993624698433615,0.102251954502283,0.137404058634117
"TGFB",-0.21886241608441,-0.107726849334941,-0.049960368609516,-0.049960368609516,-0.0513314054561313,-0.0513314054561313,-0.0513314054561313,-0.0513314054561313,0.135998434688827,0.135998434688827,0.0514049673216602,-0.108194822488541,0.0513314054561313,0.0513314054561313,0.049960368609516,0.107726849334941
"MIR1199",-0.197959229053932,-0.137310571566494,-0.10148729859744,-0.10148729859744,-0.102251954502283,-0.102251954502283,-0.102251954502283,-0.102251954502283,-0.0307054431692484,-0.0307054431692484,0.0993624698433615,0.0564454218797635,0.102251954502283,0.102251954502283,0.10148729859744,0.137310571566494
"HA",-0.197959229053932,-0.137310571566494,-0.10148729859744,-0.10148729859744,-0.102251954502283,-0.102251954502283,-0.102251954502283,-0.102251954502283,-0.0307054431692484,-0.0307054431692484,0.0993624698433615,0.0564454218797635,0.102251954502283,0.102251954502283,0.10148729859744,0.137310571566494
"CD24",-0.197959229053932,-0.137310571566494,-0.10148729859744,-0.10148729859744,-0.102251954502283,-0.102251954502283,-0.102251954502283,-0.102251954502283,-0.0307054431692484,-0.0307054431692484,0.0993624698433615,0.0564454218797635,0.102251954502283,0.102251954502283,0.10148729859744,0.137310571566494
"HAS2",-0.198905302847688,-0.139411028187499,0.00640074211502783,-0.0935992578849722,-0.10148729859744,-0.10148729859744,-0.10148729859744,-0.10148729859744,-0.0289140838436425,-0.0289140838436425,0.102251954502283,0.0505517020730002,0.10148729859744,0.10148729859744,0.0935992578849722,0.139411028187499
"ESRP1",-0.198905302847688,-0.139411028187499,-0.0935992578849722,-0.193599257884972,-0.10148729859744,-0.10148729859744,-0.10148729859744,-0.10148729859744,-0.0289140838436425,-0.0289140838436425,0.102251954502283,0.0505517020730002,0.10148729859744,0.10148729859744,0.0935992578849722,0.139411028187499
