"","MIR34","MIR200","TWIST1","HA","CD24","MIR190","MIR1199","HAS2","GRHL2","ESRP1","TGFB","ZEB1","MIR129","MIR340","CD44s","SNAIL1"
"GRHL2",0.323911123615992,0.323911123615992,0.213698368353937,0.287950910636775,0.387950910636775,0.287186579426583,0.287186579426583,0.287186579426583,0.287186579426583,0.287186579426583,0.0341499455001718,-0.286436689704484,-0.130302364907999,-0.287186579426583,-0.287950910636775,-0.215070842326839
"SNAIL1",-0.0597361940830721,-0.0597361940830721,-0.202641739905748,0.19661827916917,0.19661827916917,0.196838964765756,0.196838964765756,0.196838964765756,0.196838964765756,0.196838964765756,-0.142121247318626,-0.196768243407906,0.0716710388775985,-0.196838964765756,-0.19661827916917,0.12262229509312
"MIR190",-0.0609728176667344,-0.0609728176667344,-0.204570982944524,0.194270507426188,0.194270507426188,0.196275519957516,0.196275519957516,0.196275519957516,0.196275519957516,0.196275519957516,-0.243078950126518,-0.19661827916917,0.0720277698124786,-0.196275519957516,-0.194270507426188,0.223912081395914
"HAS2",0.199691876906619,0.199691876906619,0.190874529392176,0.26178107606679,0.16178107606679,0.159490999730912,0.159490999730912,0.159490999730912,0.159490999730912,0.159490999730912,0.0305052396330287,-0.159236114429298,-0.110092307692308,-0.159490999730912,-0.16178107606679,-0.190059525490167
"HA",0.200218747296503,0.200218747296503,0.192061744004049,0.159490999730912,0.159490999730912,0.159236114429298,0.159236114429298,0.159236114429298,0.159236114429298,0.159236114429298,0.0311815681354441,-0.158312670878509,-0.110366280295047,-0.159236114429298,-0.159490999730912,-0.190437955007669
"CD44s",0.200218747296503,0.200218747296503,0.192061744004049,0.159490999730912,0.159490999730912,0.159236114429298,0.159236114429298,0.159236114429298,0.159236114429298,0.159236114429298,0.0311815681354441,-0.158312670878509,-0.110366280295047,-0.159236114429298,-0.159490999730912,-0.190437955007669
"CD24",0.200218747296503,0.200218747296503,0.192061744004049,0.159490999730912,0.159490999730912,0.159236114429298,0.159236114429298,0.159236114429298,0.159236114429298,0.159236114429298,0.0311815681354441,-0.158312670878509,-0.110366280295047,-0.159236114429298,-0.159490999730912,-0.190437955007669
"MIR200",0.251347343858973,0.251347343858973,0.248235543415431,0.0913273599843987,0.0913273599843987,0.090365334667943,0.090365334667943,0.090365334667943,0.090365334667943,0.090365334667943,0.232929792002516,-0.0896800421007316,-0.12369404108425,-0.090365334667943,-0.0913273599843987,-0.260652385624896
"TWIST1",-0.0945370841270939,-0.0945370841270939,-0.199663930446895,0.0268103765918878,0.0268103765918878,0.0269857712298232,0.0269857712298232,0.0269857712298232,0.0269857712298232,0.0269857712298232,-0.0728398521269214,-0.0272293342082505,0.156043482236799,-0.0269857712298232,-0.0268103765918878,0.225378682030975
"MIR129",0.094783465402117,0.094783465402117,0.100082340488736,-0.0254690949227373,-0.0254690949227373,-0.0268103765918878,-0.0268103765918878,-0.0268103765918878,-0.0268103765918878,-0.0268103765918878,0.0730370907856986,0.0269857712298232,-0.156017324768842,0.0268103765918878,0.0254690949227373,-0.225694312605972
"ZEB1",-0.199798348831871,-0.199798348831871,-0.192404529918664,-0.159236114429298,-0.159236114429298,-0.158312670878509,-0.158312670878509,-0.158312670878509,-0.158312670878509,-0.158312670878509,-0.0316043323630864,0.0580783834179812,0.110210468515677,0.158312670878509,0.159236114429298,0.19063333110666
"MIR340",-0.200218747296503,-0.200218747296503,-0.192061744004049,-0.159490999730912,-0.159490999730912,-0.159236114429298,-0.159236114429298,-0.159236114429298,-0.159236114429298,-0.159236114429298,-0.0311815681354441,0.158312670878509,0.110366280295047,0.159236114429298,0.159490999730912,0.190437955007669
"MIR1199",-0.200218747296503,-0.200218747296503,-0.192061744004049,-0.159490999730912,-0.159490999730912,-0.159236114429298,-0.159236114429298,-0.159236114429298,-0.159236114429298,-0.159236114429298,-0.0311815681354441,0.158312670878509,0.110366280295047,0.159236114429298,0.159490999730912,0.190437955007669
"ESRP1",-0.199691876906619,-0.199691876906619,-0.190874529392176,-0.16178107606679,-0.16178107606679,-0.159490999730912,-0.159490999730912,-0.159490999730912,-0.159490999730912,-0.159490999730912,-0.0305052396330287,0.159236114429298,0.110092307692308,0.159490999730912,0.0617810760667904,0.190059525490167
"TGFB",0.060213456577444,0.060213456577444,0.203295136046152,-0.196275519957516,-0.196275519957516,-0.19661827916917,-0.19661827916917,-0.19661827916917,-0.19661827916917,-0.19661827916917,0.142462544246954,0.196838964765756,-0.071807796209311,0.19661827916917,0.196275519957516,-0.223030001544475
"MIR34",0.060213456577444,0.060213456577444,0.203295136046152,-0.196275519957516,-0.196275519957516,-0.19661827916917,-0.19661827916917,-0.19661827916917,-0.19661827916917,-0.19661827916917,0.142462544246954,0.196838964765756,-0.071807796209311,0.19661827916917,0.196275519957516,-0.223030001544475
