"","MIR340","MIR190","MIR1199","GRHL2","ESRP1","HA","CD44s","MIR34","SNAIL1","MIR129","TGFB","TWIST1","ZEB1","MIR200","CD24","HAS2"
"GRHL2",0.374344490019749,0.374344490019749,0.374344490019749,0.374344490019749,0.374344490019749,0.36886678301338,0.36886678301338,0.29217874545465,0.126519754904635,0.0992297981552912,0.0159563507611046,-0.0992297981552912,-0.377476382388519,-0.350474808727715,-0.46886678301338,-0.374344490019749
"TWIST1",0.291530560196076,0.291530560196076,0.291530560196076,0.291530560196076,0.291530560196076,0.289851782947267,0.289851782947267,0.14866851154066,0.0106417607253113,0.0842315048221224,0.00461125035202509,0.028240390350476,-0.293461666667893,-0.159609562650934,-0.289851782947267,-0.291530560196076
"MIR129",0.289851782947267,0.289851782947267,0.289851782947267,0.289851782947267,0.289851782947267,0.285082781456954,0.285082781456954,0.146358687087319,0.0076638548655611,0.0892275812019288,0.0029488102280465,0.123219469848384,-0.291530560196076,-0.159855943925957,-0.285082781456954,-0.289851782947267
"MIR1199",0.265099958796389,0.265099958796389,0.265099958796389,0.265099958796389,0.265099958796389,0.259917290996898,0.259917290996898,0.193967589819927,0.101818305385835,0.0828938989026016,0.0071934223481979,-0.0828938989026016,-0.267512827429096,-0.227424998321449,-0.259917290996898,-0.265099958796389
"HA",0.265099958796389,0.265099958796389,0.265099958796389,0.265099958796389,0.265099958796389,0.259917290996898,0.259917290996898,0.193967589819927,0.101818305385835,0.0828938989026016,0.0071934223481979,-0.0828938989026016,-0.267512827429096,-0.227424998321449,-0.259917290996898,-0.265099958796389
"CD44s",0.265099958796389,0.265099958796389,0.265099958796389,0.265099958796389,0.265099958796389,0.259917290996898,0.259917290996898,0.193967589819927,0.101818305385835,0.0828938989026016,0.0071934223481979,-0.0828938989026016,-0.267512827429096,-0.227424998321449,-0.259917290996898,-0.265099958796389
"ESRP1",0.259917290996898,0.259917290996898,0.259917290996898,0.259917290996898,0.259917290996898,0.253555967841682,0.353555967841682,0.192808474962182,0.103899667732098,0.0765925290395879,0.00825622428056505,-0.0765925290395879,-0.265099958796389,-0.222156294422608,-0.253555967841682,-0.259917290996898
"TGFB",0.0907701352903537,0.0907701352903537,0.0907701352903537,0.0907701352903537,0.0907701352903537,0.0913699639107479,0.0913699639107479,0.101609774629584,-0.00311421455747772,-0.0344375769852236,-0.0683081052973747,0.0344375769852236,-0.0919029880194989,0.00771470999248834,-0.0913699639107479,-0.0907701352903537
"MIR190",-0.0913699639107479,-0.0913699639107479,-0.0913699639107479,-0.0913699639107479,-0.0913699639107479,-0.0888636982465874,-0.0888636982465874,-0.0993316913617124,0.00780316534670706,0.02515469093155,-0.0290840236737016,-0.02515469093155,0.0907701352903537,-0.00470345050047472,0.0888636982465874,0.0913699639107479
"SNAIL1",-0.0919029880194989,-0.0919029880194989,-0.0919029880194989,-0.0919029880194989,-0.0919029880194989,-0.0907701352903537,-0.0907701352903537,-0.100484155539084,-0.0938399784235759,0.0281619349855275,0.0699495810002839,-0.0281619349855275,0.0915998964858557,-0.00520232818249284,0.0907701352903537,0.0919029880194989
"MIR34",-0.0907701352903537,-0.0907701352903537,-0.0907701352903537,-0.0907701352903537,-0.0907701352903537,-0.0913699639107479,-0.0913699639107479,-0.101609774629584,0.00311421455747772,0.0344375769852236,0.0683081052973747,-0.0344375769852236,0.0919029880194989,-0.00771470999248834,0.0913699639107479,0.0907701352903537
"ZEB1",-0.267512827429096,-0.267512827429096,-0.267512827429096,-0.267512827429096,-0.267512827429096,-0.265099958796389,-0.265099958796389,-0.19625236408423,-0.104195381256887,-0.0793725526888278,-0.00846171503112473,0.0793725526888278,0.169662160219155,0.228101291503682,0.265099958796389,0.267512827429096
"MIR200",-0.223227692868769,-0.223227692868769,-0.223227692868769,-0.223227692868769,-0.223227692868769,-0.219126427045984,-0.219126427045984,-0.256120394879872,0.00156060913609656,0.0212411827937,-0.011964162556433,-0.0212411827937,0.22440499035603,0.10630936988141,0.219126427045984,0.223227692868769
"HAS2",-0.259917290996898,-0.259917290996898,-0.259917290996898,-0.259917290996898,-0.259917290996898,-0.353555967841682,-0.253555967841682,-0.192808474962182,-0.103899667732098,-0.0765925290395879,-0.00825622428056505,0.0765925290395879,0.265099958796389,0.222156294422608,0.253555967841682,0.259917290996898
"MIR340",-0.265099958796389,-0.265099958796389,-0.265099958796389,-0.265099958796389,-0.265099958796389,-0.259917290996898,-0.259917290996898,-0.193967589819927,-0.101818305385835,-0.0828938989026016,-0.0071934223481979,0.0828938989026016,0.267512827429096,0.227424998321449,0.259917290996898,0.265099958796389
"CD24",-0.265099958796389,-0.265099958796389,-0.265099958796389,-0.265099958796389,-0.265099958796389,-0.259917290996898,-0.259917290996898,-0.193967589819927,-0.101818305385835,-0.0828938989026016,-0.0071934223481979,0.0828938989026016,0.267512827429096,0.227424998321449,0.259917290996898,0.265099958796389
