"","MIR129","SNAIL1","MIR34","MIR340","HAS2","GRHL2","ESRP1","CD44s","CD24","ZEB1","TGFB","HA","MIR190","MIR1199","MIR200","TWIST1"
"SNAIL1",0.77176718989042,0.666406789349865,0.494200897815688,0.215056938852111,0.215056938852111,0.215056938852111,0.215056938852111,0.209098427744269,0.209098427744269,-0.219987227799373,-0.271279892242779,-0.209098427744269,-0.215056938852111,-0.215056938852111,-0.494200897815688,-0.77176718989042
"GRHL2",0.292745710196464,0.274867688664841,0.288526675053649,0.217663651209921,0.217663651209921,0.217663651209921,0.217663651209921,0.215243269044316,0.315243269044316,-0.219692764575603,-0.042481053287072,-0.215243269044316,-0.217663651209921,-0.217663651209921,-0.288526675053649,-0.292745710196464
"MIR34",0.733277598642889,0.737859343510869,0.477208552025504,0.209098427744269,0.209098427744269,0.209098427744269,0.209098427744269,0.201900484299539,0.201900484299539,-0.215056938852111,-0.261284767913184,-0.201900484299539,-0.209098427744269,-0.209098427744269,-0.477208552025504,-0.733277598642889
"MIR190",0.687039147257055,0.703458229304741,0.456705802614663,0.201900484299539,0.201900484299539,0.201900484299539,0.201900484299539,0.193128554474978,0.193128554474978,-0.209098427744269,-0.349193729506356,-0.193128554474978,-0.201900484299539,-0.201900484299539,-0.456705802614663,-0.687039147257055
"MIR1199",0.274383334527412,0.252741596276413,0.184251287519699,0.117801669754401,0.117801669754401,0.117801669754401,0.117801669754401,0.115507702039872,0.115507702039872,-0.119737922360895,-0.0405379156027361,-0.115507702039872,-0.117801669754401,-0.117801669754401,-0.184251287519699,-0.274383334527412
"HA",0.274383334527412,0.252741596276413,0.184251287519699,0.117801669754401,0.117801669754401,0.117801669754401,0.117801669754401,0.115507702039872,0.115507702039872,-0.119737922360895,-0.0405379156027361,-0.115507702039872,-0.117801669754401,-0.117801669754401,-0.184251287519699,-0.274383334527412
"CD24",0.274383334527412,0.252741596276413,0.184251287519699,0.117801669754401,0.117801669754401,0.117801669754401,0.117801669754401,0.115507702039872,0.115507702039872,-0.119737922360895,-0.0405379156027361,-0.115507702039872,-0.117801669754401,-0.117801669754401,-0.184251287519699,-0.274383334527412
"MIR129",0.619974861573565,0.511215251455534,0.241941228009335,0.0464743981997809,0.0464743981997809,0.0464743981997809,0.0464743981997809,0.0411092715231788,0.0411092715231788,-0.0507089258870773,-0.131161903596271,-0.0411092715231788,-0.0464743981997809,-0.0464743981997809,-0.241941228009335,-0.622500901275052
"ZEB1",-0.287066413368172,-0.262087086344795,-0.189789580336369,-0.119737922360895,-0.119737922360895,-0.119737922360895,-0.119737922360895,-0.117801669754401,-0.117801669754401,0.0213371889392789,0.0437574277978581,0.117801669754401,0.119737922360895,0.119737922360895,0.189789580336369,0.287066413368172
"TWIST1",-0.647832564947878,-0.531841023378136,-0.254137101122979,-0.0507089258870773,-0.0507089258870773,-0.0507089258870773,-0.0507089258870773,-0.0464743981997809,-0.0464743981997809,0.0542927811410787,0.138459733971025,0.0464743981997809,0.0507089258870773,0.0507089258870773,0.254137101122979,0.550377470312709
"HAS2",-0.258949544573074,-0.241483318130718,-0.17761272060716,-0.115507702039872,-0.115507702039872,-0.115507702039872,-0.115507702039872,-0.112708719851577,-0.112708719851577,0.117801669754401,0.0365765629457313,0.012708719851577,0.115507702039872,0.115507702039872,0.17761272060716,0.258949544573074
"ESRP1",-0.258949544573074,-0.241483318130718,-0.17761272060716,-0.115507702039872,-0.115507702039872,-0.115507702039872,-0.115507702039872,-0.012708719851577,-0.112708719851577,0.117801669754401,0.0365765629457313,0.112708719851577,0.115507702039872,0.115507702039872,0.17761272060716,0.258949544573074
"MIR340",-0.274383334527412,-0.252741596276413,-0.184251287519699,-0.117801669754401,-0.117801669754401,-0.117801669754401,-0.117801669754401,-0.115507702039872,-0.115507702039872,0.119737922360895,0.0405379156027361,0.115507702039872,0.117801669754401,0.117801669754401,0.184251287519699,0.274383334527412
"CD44s",-0.274383334527412,-0.252741596276413,-0.184251287519699,-0.117801669754401,-0.117801669754401,-0.117801669754401,-0.117801669754401,-0.115507702039872,-0.115507702039872,0.119737922360895,0.0405379156027361,0.115507702039872,0.117801669754401,0.117801669754401,0.184251287519699,0.274383334527412
"MIR200",-0.520504014593864,-0.509275576061745,-0.387357770538302,-0.171326836096253,-0.171326836096253,-0.171326836096253,-0.171326836096253,-0.166415443691189,-0.166415443691189,0.175421019895234,0.281176881542773,0.166415443691189,0.171326836096253,0.171326836096253,0.387357770538302,0.520504014593864
"TGFB",-0.733277598642889,-0.737859343510869,-0.477208552025504,-0.209098427744269,-0.209098427744269,-0.209098427744269,-0.209098427744269,-0.201900484299539,-0.201900484299539,0.215056938852111,0.261284767913184,0.201900484299539,0.209098427744269,0.209098427744269,0.477208552025504,0.733277598642889
