"","HA","MIR190","MIR1199","GRHL2","ESRP1","MIR34","TWIST1","TGFB","MIR129","SNAIL1","ZEB1","MIR200","MIR340","HAS2","CD44s","CD24"
"GRHL2",0.359992362882415,0.367253509379231,0.367253509379231,0.367253509379231,0.367253509379231,0.352950373863971,0.111970227457835,-0.0184578988658261,-0.111970227457835,-0.141521352645104,-0.367209398219107,-0.280817875710691,-0.367253509379231,-0.367253509379231,-0.359992362882415,-0.459992362882415
"ESRP1",0.249907235621521,0.247617159285643,0.247617159285643,0.247617159285643,0.247617159285643,0.216525847579713,0.0787181681064034,-0.0124725173406715,-0.0787181681064034,-0.129162835601177,-0.258067456651829,-0.183844639123093,-0.247617159285643,-0.247617159285643,-0.349907235621521,-0.249907235621521
"HA",0.247617159285643,0.258067456651829,0.258067456651829,0.258067456651829,0.258067456651829,0.230540599950629,0.0996314101155358,-0.00793145453873913,-0.0996314101155358,-0.11449869179796,-0.254343893947033,-0.182790898343324,-0.258067456651829,-0.258067456651829,-0.247617159285643,-0.247617159285643
"SNAIL1",0.115913131520476,0.131817206847827,0.131817206847827,0.131817206847827,0.131817206847827,0.00625568841527008,-0.0231716160556996,0.0867831254742962,0.0231716160556996,-0.0470651125847768,-0.119147980741542,-0.134118183970971,-0.131817206847827,-0.131817206847827,-0.115913131520476,-0.115913131520476
"MIR190",0.11007269495348,0.13287971249734,0.13287971249734,0.13287971249734,0.13287971249734,0.009392434835542,-0.0158886279872203,-0.0109091959112172,0.0158886279872203,0.0593280522102941,-0.115913131520476,-0.132251142958587,-0.13287971249734,-0.13287971249734,-0.11007269495348,-0.11007269495348
"MIR129",0.0464790286975717,0.0297875234814764,0.0297875234814764,0.0297875234814764,0.0297875234814764,0.0294773322545328,0.132498680533324,-0.0151849358691045,0.0686658727129782,-0.0816082516901625,-0.0453976462577229,-0.0130104185659122,-0.0297875234814764,-0.0297875234814764,-0.0464790286975717,-0.0464790286975717
"TWIST1",0.0297875234814764,0.0453976462577229,0.0453976462577229,0.0453976462577229,0.0453976462577229,0.0547314129444003,0.0769024462237007,-0.00382962451379317,0.0242766495897766,-0.0474240881111862,-0.0329585370023297,-0.00694327966846838,-0.0453976462577229,-0.0453976462577229,-0.0297875234814764,-0.0297875234814764
"TGFB",-0.13287971249734,-0.115913131520476,-0.115913131520476,-0.115913131520476,-0.115913131520476,0.0194894714226408,0.0682863402617473,-0.0752927955539322,-0.0682863402617473,-0.0180560002140081,0.131817206847827,0.140394636019598,0.115913131520476,0.115913131520476,0.13287971249734,0.13287971249734
"MIR34",-0.13287971249734,-0.115913131520476,-0.115913131520476,-0.115913131520476,-0.115913131520476,0.0194894714226408,0.0682863402617473,-0.0752927955539322,-0.0682863402617473,-0.0180560002140081,0.131817206847827,0.140394636019598,0.115913131520476,0.115913131520476,0.13287971249734,0.13287971249734
"ZEB1",-0.258067456651829,-0.254343893947033,-0.254343893947033,-0.254343893947033,-0.254343893947033,-0.222589585510856,-0.0828349002993937,0.0125818610428042,0.0828349002993937,0.12837039482629,0.160608536913316,0.186172364254492,0.254343893947033,0.254343893947033,0.258067456651829,0.258067456651829
"MIR200",-0.181843607253784,-0.178856265481632,-0.178856265481632,-0.178856265481632,-0.178856265481632,-0.260085896486358,-0.0839276640486394,0.0117923370336669,0.0839276640486394,0.136121024388505,0.183618170243537,0.0332997369465665,0.178856265481632,0.178856265481632,0.181843607253784,0.181843607253784
"MIR340",-0.247617159285643,-0.258067456651829,-0.258067456651829,-0.258067456651829,-0.258067456651829,-0.230540599950629,-0.0996314101155358,0.00793145453873913,0.0996314101155358,0.11449869179796,0.254343893947033,0.182790898343324,0.258067456651829,0.258067456651829,0.247617159285643,0.247617159285643
"MIR1199",-0.247617159285643,-0.258067456651829,-0.258067456651829,-0.258067456651829,-0.258067456651829,-0.230540599950629,-0.0996314101155358,0.00793145453873913,0.0996314101155358,0.11449869179796,0.254343893947033,0.182790898343324,0.258067456651829,0.258067456651829,0.247617159285643,0.247617159285643
"CD44s",-0.247617159285643,-0.258067456651829,-0.258067456651829,-0.258067456651829,-0.258067456651829,-0.230540599950629,-0.0996314101155358,0.00793145453873913,0.0996314101155358,0.11449869179796,0.254343893947033,0.182790898343324,0.258067456651829,0.258067456651829,0.247617159285643,0.247617159285643
"CD24",-0.247617159285643,-0.258067456651829,-0.258067456651829,-0.258067456651829,-0.258067456651829,-0.230540599950629,-0.0996314101155358,0.00793145453873913,0.0996314101155358,0.11449869179796,0.254343893947033,0.182790898343324,0.258067456651829,0.258067456651829,0.247617159285643,0.247617159285643
"HAS2",-0.349907235621521,-0.247617159285643,-0.247617159285643,-0.247617159285643,-0.247617159285643,-0.216525847579713,-0.0787181681064034,0.0124725173406715,0.0787181681064034,0.129162835601177,0.258067456651829,0.183844639123093,0.247617159285643,0.247617159285643,0.249907235621521,0.249907235621521
