"","CD44s","MIR340","MIR190","MIR1199","GRHL2","ESRP1","MIR34","MIR200","TWIST1","SNAIL1","TGFB","ZEB1","MIR129","HAS2","HA","CD24"
"GRHL2",0.310303321847824,0.311959372803239,0.311959372803239,0.311959372803239,0.311959372803239,0.311959372803239,0.259436451015911,0.259436451015911,0.132173065379229,0.103742340769832,-0.0119208277103014,-0.312488706724721,-0.132173065379229,-0.311959372803239,-0.310303321847824,-0.410303321847824
"HAS2",0.181292517006803,0.181038064080594,0.181038064080594,0.181038064080594,0.181038064080594,0.181038064080594,0.152220659244422,0.152220659244422,0.111692307692308,0.0793164399591447,-0.00445254542617626,-0.183332031795123,-0.111692307692308,-0.181038064080594,-0.0812925170068027,-0.181292517006803
"ESRP1",0.281292517006803,0.181038064080594,0.181038064080594,0.181038064080594,0.181038064080594,0.181038064080594,0.152220659244422,0.152220659244422,0.111692307692308,0.0793164399591447,-0.00445254542617626,-0.183332031795123,-0.111692307692308,-0.181038064080594,-0.181292517006803,-0.181292517006803
"MIR340",0.181038064080594,0.183332031795123,0.183332031795123,0.183332031795123,0.183332031795123,0.183332031795123,0.15327440002419,0.15327440002419,0.1123315770987,0.0789380104416423,-0.00396945363873664,-0.183242666290207,-0.1123315770987,-0.183332031795123,-0.181038064080594,-0.181038064080594
"MIR1199",0.181038064080594,0.183332031795123,0.183332031795123,0.183332031795123,0.183332031795123,0.183332031795123,0.15327440002419,0.15327440002419,0.1123315770987,0.0789380104416423,-0.00396945363873664,-0.183242666290207,-0.1123315770987,-0.183332031795123,-0.181038064080594,-0.181038064080594
"HA",0.181038064080594,0.183332031795123,0.183332031795123,0.183332031795123,0.183332031795123,0.183332031795123,0.15327440002419,0.15327440002419,0.1123315770987,0.0789380104416423,-0.00396945363873664,-0.183242666290207,-0.1123315770987,-0.183332031795123,-0.181038064080594,-0.181038064080594
"CD44s",0.181038064080594,0.183332031795123,0.183332031795123,0.183332031795123,0.183332031795123,0.183332031795123,0.15327440002419,0.15327440002419,0.1123315770987,0.0789380104416423,-0.00396945363873664,-0.183242666290207,-0.1123315770987,-0.183332031795123,-0.181038064080594,-0.181038064080594
"MIR190",0.0881310975139867,0.0896348569124829,0.0896348569124829,0.0896348569124829,0.0896348569124829,0.0896348569124829,0.0838712488606497,0.0838712488606497,-0.0779958626333633,0.0221667377372152,-0.0415847990366249,-0.0892920977008291,0.0779958626333633,-0.0896348569124829,-0.0881310975139867,-0.0881310975139867
"MIR129",0.0461230684326711,0.044483724170376,0.044483724170376,0.044483724170376,0.044483724170376,0.044483724170376,0.0246232140204522,0.0246232140204522,-0.0986763946690662,0.0158185003777277,-0.00283374923788607,-0.0460121631580984,0.0209863429149847,-0.044483724170376,-0.0461230684326711,-0.0461230684326711
"TWIST1",-0.044483724170376,-0.0460121631580984,-0.0460121631580984,-0.0460121631580984,-0.0460121631580984,-0.0460121631580984,-0.0250543812517427,-0.0250543812517427,-0.00195122039369528,-0.0152558545701251,0.00241109496907796,0.0455076398456419,-0.0203324062160572,0.0460121631580984,0.044483724170376,0.044483724170376
"ZEB1",-0.183332031795123,-0.183242666290207,-0.183242666290207,-0.183242666290207,-0.183242666290207,-0.183242666290207,-0.153365790994762,-0.153365790994762,-0.112300414742826,-0.0793613253227885,0.00419709591515941,0.0838640373811721,0.112300414742826,0.183242666290207,0.183332031795123,0.183332031795123
"SNAIL1",-0.0892920977008291,-0.0897776060133199,-0.0897776060133199,-0.0897776060133199,-0.0897776060133199,-0.0897776060133199,-0.0842419869378412,-0.0842419869378412,0.0783734377467779,-0.122576570791121,-0.0585492414423051,0.0896361632976198,-0.0783734377467779,0.0897776060133199,0.0892920977008291,0.0892920977008291
"TGFB",-0.0896348569124829,-0.0892920977008291,-0.0892920977008291,-0.0892920977008291,-0.0892920977008291,-0.0892920977008291,-0.0841069126469812,-0.0841069126469812,0.0784798045603321,-0.0225845650352654,-0.0582729534527065,0.0897776060133199,-0.0784798045603321,0.0892920977008291,0.0896348569124829,0.0896348569124829
"MIR34",-0.0896348569124829,-0.0892920977008291,-0.0892920977008291,-0.0892920977008291,-0.0892920977008291,-0.0892920977008291,-0.0841069126469812,-0.0841069126469812,0.0784798045603321,-0.0225845650352654,-0.0582729534527065,0.0897776060133199,-0.0784798045603321,0.0892920977008291,0.0896348569124829,0.0896348569124829
"MIR200",-0.173173667352639,-0.175148350896943,-0.175148350896943,-0.175148350896943,-0.175148350896943,-0.175148350896943,-0.224980577496715,-0.224980577496715,0.0479040117626218,-0.00169848718405828,0.0167189986056721,0.17495506324978,-0.0479040117626218,0.175148350896943,0.173173667352639,0.173173667352639
"CD24",-0.181038064080594,-0.183332031795123,-0.183332031795123,-0.183332031795123,-0.183332031795123,-0.183332031795123,-0.15327440002419,-0.15327440002419,-0.1123315770987,-0.0789380104416423,0.00396945363873664,0.183242666290207,0.1123315770987,0.183332031795123,0.181038064080594,0.181038064080594
