"","MIR340","MIR190","MIR1199","HAS2","GRHL2","ESRP1","HA","CD44s","CD24","MIR200","TWIST1","MIR129","TGFB","SNAIL1","ZEB1","MIR34"
"GRHL2",0.355391598467598,0.355391598467598,0.355391598467598,0.355391598467598,0.355391598467598,0.355391598467598,0.351315165346579,0.351315165346579,0.451315165346579,0.340507787743669,0.101660590199148,0.101660590199148,0.0178510144195971,-0.133366102361716,-0.357067822552292,-0.340507787743669
"MIR340",0.247591463832966,0.247591463832966,0.247591463832966,0.247591463832966,0.247591463832966,0.247591463832966,0.243258413705524,0.243258413705524,0.243258413705524,0.217848060329733,0.0829805878247458,0.0829805878247458,0.0101345159039841,-0.108957788077605,-0.248336176373926,-0.217848060329733
"MIR1199",0.247591463832966,0.247591463832966,0.247591463832966,0.247591463832966,0.247591463832966,0.247591463832966,0.243258413705524,0.243258413705524,0.243258413705524,0.217848060329733,0.0829805878247458,0.0829805878247458,0.0101345159039841,-0.108957788077605,-0.248336176373926,-0.217848060329733
"HA",0.247591463832966,0.247591463832966,0.247591463832966,0.247591463832966,0.247591463832966,0.247591463832966,0.243258413705524,0.243258413705524,0.243258413705524,0.217848060329733,0.0829805878247458,0.0829805878247458,0.0101345159039841,-0.108957788077605,-0.248336176373926,-0.217848060329733
"CD24",0.247591463832966,0.247591463832966,0.247591463832966,0.247591463832966,0.247591463832966,0.247591463832966,0.243258413705524,0.243258413705524,0.243258413705524,0.217848060329733,0.0829805878247458,0.0829805878247458,0.0101345159039841,-0.108957788077605,-0.248336176373926,-0.217848060329733
"HAS2",0.243258413705524,0.243258413705524,0.243258413705524,0.243258413705524,0.243258413705524,0.243258413705524,0.339950525664811,0.239950525664811,0.239950525664811,0.21563520469222,0.0850810444457503,0.0850810444457503,0.00849200382668942,-0.107822499525098,-0.247591463832966,-0.21563520469222
"TGFB",0.0964393441994493,0.0964393441994493,0.0964393441994493,0.0964393441994493,0.0964393441994493,0.0964393441994493,0.0960108951848821,0.0960108951848821,0.0960108951848821,0.123545357161716,0.0503790719669786,0.0503790719669786,0.0811241116505693,-0.0457256274783402,-0.0976310464210177,-0.123545357161716
"TWIST1",0.0610678393477289,0.0610678393477289,0.0610678393477289,0.0610678393477289,0.0610678393477289,0.0610678393477289,0.0601908661580521,0.0601908661580521,0.0601908661580521,0.0276577633695943,0.0873341956793366,-0.204863763004026,-0.00604586315007954,0.0206949148375572,-0.0609112631473114,-0.0276577633695943
"MIR129",-0.0601908661580521,-0.0601908661580521,-0.0601908661580521,-0.0601908661580521,-0.0601908661580521,-0.0601908661580521,-0.0573592715231788,-0.0573592715231788,-0.0573592715231788,-0.0279349423039953,-0.188118714507788,0.204052881497356,0.0064121635163799,-0.022629867492971,0.0610678393477289,0.0279349423039953
"MIR190",-0.0960108951848821,-0.0960108951848821,-0.0960108951848821,-0.0960108951848821,-0.0960108951848821,-0.0960108951848821,-0.0975146545833783,-0.0975146545833783,-0.0975146545833783,-0.121738601466508,-0.0484872989797371,-0.0484872989797371,-0.181550854182575,0.0481397407559633,0.0964393441994493,0.121738601466508
"SNAIL1",-0.0976310464210177,-0.0976310464210177,-0.0976310464210177,-0.0976310464210177,-0.0976310464210177,-0.0976310464210177,-0.0964393441994493,-0.0964393441994493,-0.0964393441994493,-0.123338243249064,-0.048145368882341,-0.048145368882341,-0.0820829934968232,-0.0533070689802096,0.0970652755582171,0.123338243249064
"MIR34",-0.0964393441994493,-0.0964393441994493,-0.0964393441994493,-0.0964393441994493,-0.0964393441994493,-0.0964393441994493,-0.0960108951848821,-0.0960108951848821,-0.0960108951848821,-0.123545357161716,-0.0503790719669786,-0.0503790719669786,-0.0811241116505693,0.0457256274783402,0.0976310464210177,0.123545357161716
"ZEB1",-0.248336176373926,-0.248336176373926,-0.248336176373926,-0.248336176373926,-0.248336176373926,-0.248336176373926,-0.247591463832966,-0.247591463832966,-0.247591463832966,-0.21874369184134,-0.0844452185508287,-0.0844452185508287,-0.00984183297715484,0.109902105889393,0.149609477789837,0.21874369184134
"MIR200",-0.18185125890324,-0.18185125890324,-0.18185125890324,-0.18185125890324,-0.18185125890324,-0.18185125890324,-0.178661385485518,-0.178661385485518,-0.178661385485518,-0.068800174068199,0.0335481555316474,0.0335481555316474,0.189250338770695,-0.0178086988596782,0.182114832967552,0.068800174068199
"ESRP1",-0.243258413705524,-0.243258413705524,-0.243258413705524,-0.243258413705524,-0.243258413705524,-0.243258413705524,-0.239950525664811,-0.139950525664811,-0.239950525664811,-0.21563520469222,-0.0850810444457503,-0.0850810444457503,-0.00849200382668942,0.107822499525098,0.247591463832966,0.21563520469222
"CD44s",-0.247591463832966,-0.247591463832966,-0.247591463832966,-0.247591463832966,-0.247591463832966,-0.247591463832966,-0.243258413705524,-0.243258413705524,-0.243258413705524,-0.217848060329733,-0.0829805878247458,-0.0829805878247458,-0.0101345159039841,0.108957788077605,0.248336176373926,0.217848060329733
