"","SNAIL1","MIR34","MIR200","MIR340","MIR190","GRHL2","HA","CD44s","CD24","TGFB","ZEB1","MIR129","MIR1199","HAS2","ESRP1","TWIST1"
"SNAIL1",0.46193776218889,0.439010000381224,0.439010000381224,0.248986002863685,0.248986002863685,0.248986002863685,0.243939658888402,0.243939658888402,0.243939658888402,0.229905567551786,-0.25253217380731,-0.191676635237797,-0.248986002863685,-0.248986002863685,-0.248986002863685,-0.452570790717715
"MIR34",0.553152087874397,0.431202706369518,0.431202706369518,0.243939658888402,0.243939658888402,0.243939658888402,0.237341544064066,0.237341544064066,0.237341544064066,0.225956274523995,-0.248986002863685,-0.188196920908667,-0.243939658888402,-0.243939658888402,-0.243939658888402,-0.443043363275077
"MIR190",0.540988670975604,0.420807314905784,0.420807314905784,0.237341544064066,0.237341544064066,0.237341544064066,0.22756710797384,0.22756710797384,0.22756710797384,0.120408621607921,-0.243939658888402,-0.183665464683414,-0.237341544064066,-0.237341544064066,-0.237341544064066,-0.430064920688187
"MIR340",0.27258062884332,0.252683046350505,0.252683046350505,0.199767818819175,0.199767818819175,0.199767818819175,0.194245303950866,0.194245303950866,0.194245303950866,0.0449407820428193,-0.20259772647482,-0.14377432462783,-0.199767818819175,-0.199767818819175,-0.199767818819175,-0.252194271803941
"MIR1199",0.27258062884332,0.252683046350505,0.252683046350505,0.199767818819175,0.199767818819175,0.199767818819175,0.194245303950866,0.194245303950866,0.194245303950866,0.0449407820428193,-0.20259772647482,-0.14377432462783,-0.199767818819175,-0.199767818819175,-0.199767818819175,-0.252194271803941
"HA",0.27258062884332,0.252683046350505,0.252683046350505,0.199767818819175,0.199767818819175,0.199767818819175,0.194245303950866,0.194245303950866,0.194245303950866,0.0449407820428193,-0.20259772647482,-0.14377432462783,-0.199767818819175,-0.199767818819175,-0.199767818819175,-0.252194271803941
"ESRP1",0.264728216355146,0.24456924234629,0.24456924234629,0.194245303950866,0.194245303950866,0.194245303950866,0.189919604205318,0.0899196042053185,0.189919604205318,0.041559139530742,-0.199767818819175,-0.13984738398856,-0.194245303950866,-0.194245303950866,-0.194245303950866,-0.242970527511704
"MIR200",-0.161326059367055,-0.0227700691099548,-0.0227700691099548,0.0987943852068873,0.0987943852068873,0.0987943852068873,0.0994526130549886,0.0994526130549886,0.0994526130549886,-0.0156361123735165,-0.0977576605539265,0.083846757629128,-0.0987943852068873,-0.0987943852068873,-0.0987943852068873,0.167232606165251
"GRHL2",0.163596418389944,0.0818789935856115,0.0818789935856115,0.051295343366741,0.051295343366741,0.051295343366741,0.0482380185259766,0.0482380185259766,0.148238018525977,0.0225787097184097,-0.0519570107685936,-0.103528778465267,-0.051295343366741,-0.051295343366741,-0.051295343366741,-0.162875661056089
"MIR129",-0.306473591933342,-0.16346258752427,-0.16346258752427,-0.0384360226409135,-0.0384360226409135,-0.0384360226409135,-0.0348592715231788,-0.0348592715231788,-0.0348592715231788,-0.0906502098626203,0.0403152509045066,0.0433808096977794,0.0384360226409135,0.0384360226409135,0.0384360226409135,0.279681309141669
"TWIST1",-0.310467004860473,-0.166573151121437,-0.166573151121437,-0.0403152509045066,-0.0403152509045066,-0.0403152509045066,-0.0384360226409135,-0.0384360226409135,-0.0384360226409135,-0.0925380655966299,0.0420549864647015,0.0447148405635916,0.0403152509045066,0.0403152509045066,0.0403152509045066,0.183865409560079
"ZEB1",-0.278865226694183,-0.257453655014369,-0.257453655014369,-0.20259772647482,-0.20259772647482,-0.20259772647482,-0.199767818819175,-0.199767818819175,-0.199767818819175,-0.0478350909859087,0.105317498299206,0.145799877759647,0.20259772647482,0.20259772647482,0.20259772647482,0.258707204181629
"HAS2",-0.264728216355146,-0.24456924234629,-0.24456924234629,-0.194245303950866,-0.194245303950866,-0.194245303950866,-0.289919604205318,-0.189919604205318,-0.189919604205318,-0.041559139530742,0.199767818819175,0.13984738398856,0.194245303950866,0.194245303950866,0.194245303950866,0.242970527511704
"CD44s",-0.27258062884332,-0.252683046350505,-0.252683046350505,-0.199767818819175,-0.199767818819175,-0.199767818819175,-0.194245303950866,-0.194245303950866,-0.194245303950866,-0.0449407820428193,0.20259772647482,0.14377432462783,0.199767818819175,0.199767818819175,0.199767818819175,0.252194271803941
"CD24",-0.27258062884332,-0.252683046350505,-0.252683046350505,-0.199767818819175,-0.199767818819175,-0.199767818819175,-0.194245303950866,-0.194245303950866,-0.194245303950866,-0.0449407820428193,0.20259772647482,0.14377432462783,0.199767818819175,0.199767818819175,0.199767818819175,0.252194271803941
"TGFB",-0.553152087874397,-0.431202706369518,-0.431202706369518,-0.243939658888402,-0.243939658888402,-0.243939658888402,-0.237341544064066,-0.237341544064066,-0.237341544064066,-0.225956274523995,0.248986002863685,0.188196920908667,0.243939658888402,0.243939658888402,0.243939658888402,0.443043363275077
