"","SNAIL1","TGFB","TWIST1","MIR340","MIR1199","HAS2","GRHL2","ESRP1","HA","MIR34","ZEB1","CD44s","CD24","MIR190","MIR200","MIR129"
"SNAIL1",0.114794658734032,0.232322819549596,0.0725859408516232,0.145867374533919,0.145867374533919,0.145867374533919,0.145867374533919,0.145867374533919,0.145175892997948,-0.0793037033216602,-0.145988611147377,-0.145175892997948,-0.145175892997948,-0.145867374533919,-0.227589915970096,-0.199832812077084
"TGFB",0.215570100416021,0.230908875132238,0.0729050412922857,0.145175892997948,0.145175892997948,0.145175892997948,0.145175892997948,0.145175892997948,0.144661754180467,-0.0792586785580402,-0.145867374533919,-0.144661754180467,-0.144661754180467,-0.145175892997948,-0.226698425650421,-0.197629499510604
"MIR34",0.215570100416021,0.230908875132238,0.0729050412922857,0.145175892997948,0.145175892997948,0.145175892997948,0.145175892997948,0.145175892997948,0.144661754180467,-0.0792586785580402,-0.145867374533919,-0.144661754180467,-0.144661754180467,-0.145175892997948,-0.226698425650421,-0.197629499510604
"MIR1199",0.216045698066538,0.158009199157449,0.125571369913997,0.122058132079127,0.122058132079127,0.122058132079127,0.122058132079127,0.122058132079127,0.120783705571056,0.0464320923594078,-0.122266651590596,-0.120783705571056,-0.120783705571056,-0.122058132079127,-0.183055168481184,-0.220095816512255
"HA",0.216045698066538,0.158009199157449,0.125571369913997,0.122058132079127,0.122058132079127,0.122058132079127,0.122058132079127,0.122058132079127,0.120783705571056,0.0464320923594078,-0.122266651590596,-0.120783705571056,-0.120783705571056,-0.122058132079127,-0.183055168481184,-0.220095816512255
"CD44s",0.216045698066538,0.158009199157449,0.125571369913997,0.122058132079127,0.122058132079127,0.122058132079127,0.122058132079127,0.122058132079127,0.120783705571056,0.0464320923594078,-0.122266651590596,-0.120783705571056,-0.120783705571056,-0.122058132079127,-0.183055168481184,-0.220095816512255
"CD24",0.216045698066538,0.158009199157449,0.125571369913997,0.122058132079127,0.122058132079127,0.122058132079127,0.122058132079127,0.122058132079127,0.120783705571056,0.0464320923594078,-0.122266651590596,-0.120783705571056,-0.120783705571056,-0.122058132079127,-0.183055168481184,-0.220095816512255
"HAS2",0.217275593998421,0.154820793360347,0.127854474936828,0.120783705571056,0.120783705571056,0.120783705571056,0.120783705571056,0.120783705571056,0.219511440940012,0.0461159701254773,-0.122058132079127,-0.119511440940012,-0.119511440940012,-0.120783705571056,-0.181790679545462,-0.217082117882118
"ZEB1",-0.216664389046675,-0.159277491840375,-0.123732790917425,-0.122266651590596,-0.122266651590596,-0.122266651590596,-0.122266651590596,-0.122266651590596,-0.122058132079127,-0.0470352727651837,0.0222972108245774,0.122058132079127,0.122058132079127,0.122266651590596,0.18270788279301,0.218506536362676
"ESRP1",-0.217275593998421,-0.154820793360347,-0.127854474936828,-0.120783705571056,-0.120783705571056,-0.120783705571056,-0.120783705571056,-0.120783705571056,-0.119511440940012,-0.0461159701254773,0.122058132079127,0.0195114409400124,0.119511440940012,0.120783705571056,0.181790679545462,0.217082117882118
"MIR340",-0.216045698066538,-0.158009199157449,-0.125571369913997,-0.122058132079127,-0.122058132079127,-0.122058132079127,-0.122058132079127,-0.122058132079127,-0.120783705571056,-0.0464320923594078,0.122266651590596,0.120783705571056,0.120783705571056,0.122058132079127,0.183055168481184,0.220095816512255
"MIR190",-0.21436304377721,-0.331145954316686,-0.068813532273368,-0.144661754180467,-0.144661754180467,-0.144661754180467,-0.144661754180467,-0.144661754180467,-0.144912380746883,0.0779232504354951,0.145175892997948,0.144912380746883,0.144912380746883,0.144661754180467,0.224734560764325,0.194417884904357
"MIR200",-0.262705983139747,-0.373876663968297,-0.123960908334924,-0.153051733283043,-0.153051733283043,-0.153051733283043,-0.153051733283043,-0.153051733283043,-0.152393505434942,0.0210798190442635,0.153385593764505,0.152393505434942,0.152393505434942,0.153051733283043,0.288583648514786,0.24904077928462
"MIR129",-0.227978921550264,-0.211086642518623,0.0223566828463564,-0.205929837677612,-0.205929837677612,-0.205929837677612,-0.205929837677612,-0.205929837677612,-0.206376931567329,0.00625145590839482,0.20655624709881,0.206376931567329,0.206376931567329,0.205929837677612,0.214235072009436,0.102457403622187
"TWIST1",-0.228074983029611,-0.2112838811774,-0.0802060786599198,-0.20655624709881,-0.20655624709881,-0.20655624709881,-0.20655624709881,-0.20655624709881,-0.205929837677612,0.00720618334910932,0.207078167766868,0.205929837677612,0.205929837677612,0.20655624709881,0.215959740934598,0.105884031924568
"GRHL2",-0.240988946469921,-0.256454342519263,-0.147693977207946,-0.22364798478201,-0.22364798478201,-0.22364798478201,-0.22364798478201,-0.22364798478201,-0.222374099431691,-0.14809473674742,0.224133207543368,0.222374099431691,0.122374099431691,0.22364798478201,0.282761365291273,0.242704460619992
