"","MIR340","MIR190","MIR1199","HAS2","GRHL2","HA","CD44s","CD24","TGFB","MIR200","SNAIL1","TWIST1","MIR129","ZEB1","MIR34","ESRP1"
"GRHL2",0.422012971147896,0.422012971147896,0.422012971147896,0.422012971147896,0.422012971147896,0.412713608090571,0.412713608090571,0.512713608090571,0.35446174686042,0.318737990426993,0.139851402094438,-0.104751814000394,-0.104751814000394,-0.427615088483582,-0.385673024420599,-0.422012971147896
"MIR129",0.405002516753684,0.405002516753684,0.405002516753684,0.405002516753684,0.405002516753684,0.389801324503311,0.389801324503311,0.389801324503311,0.142843951769966,0.0104679901499211,0.495656539753844,-0.346130069131402,-0.101839827767298,-0.416753957495353,-0.433867267070831,-0.405002516753684
"MIR340",0.333949638148111,0.333949638148111,0.333949638148111,0.333949638148111,0.333949638148111,0.324858729057202,0.324858729057202,0.324858729057202,0.26415461541134,0.228805029492243,0.115600386615155,-0.0867812764189879,-0.0867812764189879,-0.338328547888951,-0.271001729850845,-0.333949638148111
"HA",0.333949638148111,0.333949638148111,0.333949638148111,0.333949638148111,0.333949638148111,0.324858729057202,0.324858729057202,0.324858729057202,0.26415461541134,0.228805029492243,0.115600386615155,-0.0867812764189879,-0.0867812764189879,-0.338328547888951,-0.271001729850845,-0.333949638148111
"CD44s",0.333949638148111,0.333949638148111,0.333949638148111,0.333949638148111,0.333949638148111,0.324858729057202,0.324858729057202,0.324858729057202,0.26415461541134,0.228805029492243,0.115600386615155,-0.0867812764189879,-0.0867812764189879,-0.338328547888951,-0.271001729850845,-0.333949638148111
"CD24",0.333949638148111,0.333949638148111,0.333949638148111,0.333949638148111,0.333949638148111,0.324858729057202,0.324858729057202,0.324858729057202,0.26415461541134,0.228805029492243,0.115600386615155,-0.0867812764189879,-0.0867812764189879,-0.338328547888951,-0.271001729850845,-0.333949638148111
"HAS2",0.324858729057202,0.324858729057202,0.324858729057202,0.324858729057202,0.324858729057202,0.414935064935065,0.314935064935065,0.314935064935065,0.257874422174625,0.223852447827333,0.114086668545145,-0.0861420070125953,-0.0861420070125953,-0.333949638148111,-0.264679285172235,-0.324858729057202
"SNAIL1",0.286976752339909,0.286976752339909,0.286976752339909,0.286976752339909,0.286976752339909,0.27786979338743,0.27786979338743,0.27786979338743,-0.0341846905788589,-0.14748939590157,0.460519908481236,-0.261894840025622,-0.261894840025622,-0.293594250824452,-0.461412911364788,-0.286976752339909
"MIR200",0.163355482563234,0.163355482563234,0.163355482563234,0.163355482563234,0.163355482563234,0.164013710411335,0.164013710411335,0.164013710411335,0.382791045119603,0.296120705742641,-0.245568139757881,0.144348006587311,0.144348006587311,-0.161264461653025,0.0212086647666438,-0.163355482563234
"ZEB1",-0.338328547888951,-0.338328547888951,-0.338328547888951,-0.338328547888951,-0.338328547888951,-0.333949638148111,-0.333949638148111,-0.333949638148111,-0.270691200777194,-0.230907021815402,-0.117130832723914,0.0875603353158405,0.0875603353158405,0.241965096732794,0.274273526597326,0.338328547888951
"MIR190",-0.266473049599941,-0.266473049599941,-0.266473049599941,-0.266473049599941,-0.266473049599941,-0.251435455614979,-0.251435455614979,-0.251435455614979,0.145028052095833,0.149166557146224,-0.540822172559549,0.249382048899868,0.249382048899868,0.27786979338743,0.438011592878426,0.266473049599941
"TGFB",-0.27786979338743,-0.27786979338743,-0.27786979338743,-0.27786979338743,-0.27786979338743,-0.266473049599941,-0.266473049599941,-0.266473049599941,0.0388165774633055,0.148669044708413,-0.552149934862241,0.257169114452001,0.257169114452001,0.286976752339909,0.451444428699322,0.27786979338743
"MIR34",-0.27786979338743,-0.27786979338743,-0.27786979338743,-0.27786979338743,-0.27786979338743,-0.266473049599941,-0.266473049599941,-0.266473049599941,0.0388165774633055,0.148669044708413,-0.552149934862241,0.257169114452001,0.257169114452001,0.286976752339909,0.451444428699322,0.27786979338743
"ESRP1",-0.324858729057202,-0.324858729057202,-0.324858729057202,-0.324858729057202,-0.324858729057202,-0.314935064935065,-0.414935064935065,-0.314935064935065,-0.257874422174625,-0.223852447827333,-0.114086668545145,0.0861420070125953,0.0861420070125953,0.333949638148111,0.264679285172235,0.324858729057202
"MIR1199",-0.333949638148111,-0.333949638148111,-0.333949638148111,-0.333949638148111,-0.333949638148111,-0.324858729057202,-0.324858729057202,-0.324858729057202,-0.26415461541134,-0.228805029492243,-0.115600386615155,0.0867812764189879,0.0867812764189879,0.338328547888951,0.271001729850845,0.333949638148111
"TWIST1",-0.416753957495353,-0.416753957495353,-0.416753957495353,-0.416753957495353,-0.416753957495353,-0.405002516753684,-0.405002516753684,-0.405002516753684,-0.149972720437196,-0.0124698380094838,-0.504919610976569,0.252667726035167,0.108353037288617,0.425191674962298,0.446309521459498,0.416753957495353
