"","HA","CD44s","MIR340","MIR190","HAS2","GRHL2","ESRP1","MIR200","TWIST1","ZEB1","SNAIL1","MIR129","MIR34","TGFB","MIR1199","CD24"
"TWIST1",0.340058563871261,0.340058563871261,0.341937792134854,0.341937792134854,0.341937792134854,0.341937792134854,0.341937792134854,0.326320852445746,0.361629452982066,-0.342929441404165,-0.306598017750467,-0.46024472962059,-0.0426225616783896,-0.330286871401246,-0.341937792134854,-0.340058563871261
"TGFB",0.289249742654186,0.289249742654186,0.291391987727023,0.291391987727023,0.291391987727023,0.291391987727023,0.291391987727023,0.343206755080946,0.350185856526812,-0.292495415709956,-0.289682198110695,-0.350185856526812,0.0376576139804331,-0.357925123675235,-0.291391987727023,-0.289249742654186
"ESRP1",0.150896722325294,0.250896722325294,0.151151175251502,0.151151175251502,0.151151175251502,0.151151175251502,0.151151175251502,0.132292798312514,0.089903414232826,-0.15038651934666,-0.0556522837568009,-0.089903414232826,-0.127218365139357,-0.138045772122851,-0.151151175251502,-0.150896722325294
"MIR340",0.151151175251502,0.151151175251502,0.15038651934666,0.15038651934666,0.15038651934666,0.15038651934666,0.15038651934666,0.13176592792263,0.0892641448264333,-0.150058845828638,-0.0555576763774253,-0.0892641448264333,-0.12679686882745,-0.137755917050387,-0.15038651934666,-0.151151175251502
"MIR1199",0.151151175251502,0.151151175251502,0.15038651934666,0.15038651934666,0.15038651934666,0.15038651934666,0.15038651934666,0.13176592792263,0.0892641448264333,-0.150058845828638,-0.0555576763774253,-0.0892641448264333,-0.12679686882745,-0.137755917050387,-0.15038651934666,-0.151151175251502
"CD44s",0.151151175251502,0.151151175251502,0.15038651934666,0.15038651934666,0.15038651934666,0.15038651934666,0.15038651934666,0.13176592792263,0.0892641448264333,-0.150058845828638,-0.0555576763774253,-0.0892641448264333,-0.12679686882745,-0.137755917050387,-0.15038651934666,-0.151151175251502
"MIR200",0.035594532812511,0.035594532812511,0.0336198492682072,0.0336198492682072,0.0336198492682072,0.0336198492682072,0.0336198492682072,-0.0684994575941232,-0.213555237410067,-0.0325479814066714,0.164276363137623,0.213555237410067,-0.184896549927823,-0.0336178694778768,-0.0336198492682072,-0.035594532812511
"GRHL2",-0.0179552960128876,-0.0179552960128876,-0.0173183533377284,-0.0173183533377284,-0.0173183533377284,-0.0173183533377284,-0.0173183533377284,-0.0159615204454186,-0.0742669489543788,0.0172742421776049,0.052649722097328,0.0742669489543788,0.00733396120906151,0.0160307827587559,0.0173183533377284,-0.0820447039871124
"ZEB1",-0.15038651934666,-0.15038651934666,-0.150058845828638,-0.150058845828638,-0.150058845828638,-0.150058845828638,-0.150058845828638,-0.131528311399143,-0.0889836836235664,0.0499671681266919,0.0553297375952697,0.0889836836235664,0.12663236508042,0.137138030871526,0.150058845828638,0.15038651934666
"HA",-0.151151175251502,-0.151151175251502,-0.15038651934666,-0.15038651934666,-0.15038651934666,-0.15038651934666,-0.15038651934666,-0.13176592792263,-0.0892641448264333,0.150058845828638,0.0555576763774253,0.0892641448264333,0.12679686882745,0.137755917050387,0.15038651934666,0.151151175251502
"CD24",-0.151151175251502,-0.151151175251502,-0.15038651934666,-0.15038651934666,-0.15038651934666,-0.15038651934666,-0.15038651934666,-0.13176592792263,-0.0892641448264333,0.150058845828638,0.0555576763774253,0.0892641448264333,0.12679686882745,0.137755917050387,0.15038651934666,0.151151175251502
"HAS2",-0.0508967223252938,-0.150896722325294,-0.151151175251502,-0.151151175251502,-0.151151175251502,-0.151151175251502,-0.151151175251502,-0.132292798312514,-0.089903414232826,0.15038651934666,0.0556522837568009,0.089903414232826,0.127218365139357,0.138045772122851,0.151151175251502,0.150896722325294
"MIR190",-0.285490344157946,-0.285490344157946,-0.289249742654186,-0.289249742654186,-0.289249742654186,-0.289249742654186,-0.289249742654186,-0.341557108576625,-0.34829408353957,0.291391987727023,0.289357221323323,0.34829408353957,-0.0386264539909071,0.254558599256079,0.289249742654186,0.285490344157946
"MIR34",-0.289249742654186,-0.289249742654186,-0.291391987727023,-0.291391987727023,-0.291391987727023,-0.291391987727023,-0.291391987727023,-0.343206755080946,-0.350185856526812,0.292495415709956,0.289682198110695,0.350185856526812,-0.0376576139804331,0.357925123675235,0.291391987727023,0.289249742654186
"SNAIL1",-0.291391987727023,-0.291391987727023,-0.292495415709956,-0.292495415709956,-0.292495415709956,-0.292495415709956,-0.292495415709956,-0.344008195873382,-0.351051986294324,0.293000568266028,0.189866065726012,0.351051986294324,-0.0371083118642692,0.359761626194332,0.292495415709956,0.291391987727023
"MIR129",-0.336332781456954,-0.336332781456954,-0.340058563871261,-0.340058563871261,-0.340058563871261,-0.340058563871261,-0.340058563871261,-0.32481176713623,-0.459851210304242,0.341937792134854,0.306254941038514,0.458492179267464,0.0418218225345646,0.327102875909558,0.340058563871261,0.336332781456954
