"","MIR340","MIR190","GRHL2","ESRP1","HA","CD44s","MIR200","SNAIL1","TGFB","TWIST1","MIR129","ZEB1","MIR34","CD24","MIR1199","HAS2"
"MIR340",0.251617917883881,0.251617917883881,0.251617917883881,0.251617917883881,0.249154026634943,0.249154026634943,0.218713029792945,0.105697587380745,0.00866396912609101,-0.0708063425159316,-0.117097759935471,-0.253852055506758,-0.218713029792945,-0.249154026634943,-0.251617917883881,-0.251617917883881
"HA",0.251617917883881,0.251617917883881,0.251617917883881,0.251617917883881,0.249154026634943,0.249154026634943,0.218713029792945,0.105697587380745,0.00866396912609101,-0.0708063425159316,-0.117097759935471,-0.253852055506758,-0.218713029792945,-0.249154026634943,-0.251617917883881,-0.251617917883881
"CD44s",0.251617917883881,0.251617917883881,0.251617917883881,0.251617917883881,0.249154026634943,0.249154026634943,0.218713029792945,0.105697587380745,0.00866396912609101,-0.0708063425159316,-0.117097759935471,-0.253852055506758,-0.218713029792945,-0.249154026634943,-0.251617917883881,-0.251617917883881
"CD24",0.251617917883881,0.251617917883881,0.251617917883881,0.251617917883881,0.249154026634943,0.249154026634943,0.218713029792945,0.105697587380745,0.00866396912609101,-0.0708063425159316,-0.117097759935471,-0.253852055506758,-0.218713029792945,-0.249154026634943,-0.251617917883881,-0.251617917883881
"ESRP1",0.249154026634943,0.249154026634943,0.249154026634943,0.249154026634943,0.241774891774892,0.341774891774892,0.216816296389362,0.104751513586989,0.00837411405362724,-0.0707150183150183,-0.116458490529079,-0.251617917883881,-0.216816296389362,-0.241774891774892,-0.249154026634943,-0.249154026634943
"TWIST1",0.249248743322088,0.249248743322088,0.249248743322088,0.249248743322088,0.248121206363932,0.248121206363932,0.138993054574673,0.0285178347487254,0.00668037058282453,-0.00783005307829762,-0.0271905258625629,-0.249822856056953,-0.138993054574673,-0.248121206363932,-0.249248743322088,-0.249248743322088
"MIR200",0.179282042034097,0.179282042034097,0.179282042034097,0.179282042034097,0.178320016717641,0.178320016717641,0.0668772998105971,-0.0138745702739518,0.0107324159304108,0.0260545371250431,0.0522242641768822,-0.180143050644183,-0.0668772998105971,-0.178320016717641,-0.179282042034097,-0.179282042034097
"SNAIL1",0.114440736535955,0.114440736535955,0.114440736535955,0.114440736535955,0.114161201446945,0.114161201446945,0.128509754310029,-0.0627194083407391,0.0786600241725308,-0.0257274250352043,-0.0922741132392261,-0.114865064683056,-0.128509754310029,-0.114161201446945,-0.114440736535955,-0.114440736535955
"MIR190",0.113047234009071,0.113047234009071,0.113047234009071,0.113047234009071,0.11179410117699,0.11179410117699,0.127644698796583,0.0368532299075402,-0.0216854571860636,-0.0260442191123022,-0.0919781633406627,-0.114161201446945,-0.127644698796583,-0.11179410117699,-0.113047234009071,-0.113047234009071
"TGFB",-0.114161201446945,-0.114161201446945,-0.114161201446945,-0.114161201446945,-0.113047234009071,-0.113047234009071,-0.128194580964689,-0.0372246319502514,-0.0787412853459421,0.0255602771853335,0.0921981369438303,0.114440736535955,0.128194580964689,0.113047234009071,0.114161201446945,0.114161201446945
"MIR34",-0.114161201446945,-0.114161201446945,-0.114161201446945,-0.114161201446945,-0.113047234009071,-0.113047234009071,-0.128194580964689,-0.0372246319502514,-0.0787412853459421,0.0255602771853335,0.0921981369438303,0.114440736535955,0.128194580964689,0.113047234009071,0.114161201446945,0.114161201446945
"ZEB1",-0.253852055506758,-0.253852055506758,-0.253852055506758,-0.253852055506758,-0.251617917883881,-0.251617917883881,-0.220449458233815,-0.105892963479736,-0.00889161140251377,0.0712114531422949,0.117752169408828,0.155003119986742,0.220449458233815,0.251617917883881,0.253852055506758,0.253852055506758
"MIR129",-0.248121206363932,-0.248121206363932,-0.248121206363932,-0.248121206363932,-0.246034768211921,-0.246034768211921,-0.138284708408982,-0.0281747580367727,-0.00637042411903191,-0.0919607419007819,0.0268504787791206,0.249248743322088,0.138284708408982,0.246034768211921,0.248121206363932,0.248121206363932
"HAS2",-0.249154026634943,-0.249154026634943,-0.249154026634943,-0.249154026634943,-0.341774891774892,-0.241774891774892,-0.216816296389362,-0.104751513586989,-0.00837411405362724,0.0707150183150183,0.116458490529079,0.251617917883881,0.216816296389362,0.241774891774892,0.249154026634943,0.249154026634943
"MIR1199",-0.251617917883881,-0.251617917883881,-0.251617917883881,-0.251617917883881,-0.249154026634943,-0.249154026634943,-0.218713029792945,-0.105697587380745,-0.00866396912609101,0.0708063425159316,0.117097759935471,0.253852055506758,0.218713029792945,0.249154026634943,0.251617917883881,0.251617917883881
"GRHL2",-0.3592614577428,-0.3592614577428,-0.3592614577428,-0.3592614577428,-0.355567190226876,-0.355567190226876,-0.341469089031639,-0.129894200474481,-0.0169036825903508,0.0889686130787785,0.137019473338411,0.361555238069222,0.341469089031639,0.255567190226876,0.3592614577428,0.3592614577428
