"","TWIST1","MIR129","HA","MIR340","MIR190","MIR1199","HAS2","GRHL2","ESRP1","ZEB1","MIR200","TGFB","CD44s","CD24","MIR34","SNAIL1"
"MIR129",-0.276346865437472,-0.0281158800445219,0.321258278145695,0.324685997966858,0.324685997966858,0.324685997966858,0.324685997966858,0.324685997966858,0.324685997966858,-0.326615338984147,-0.328817185825176,0.0998319803888618,-0.321258278145695,-0.321258278145695,-0.0205495023577877,0.33708077725746
"SNAIL1",-0.201882640921239,-0.201882640921239,0.313673116381402,0.315423888780991,0.315423888780991,0.315423888780991,0.315423888780991,0.315423888780991,0.315423888780991,-0.316353369484163,-0.42054189700218,0.200223080026403,-0.313673116381402,-0.313673116381402,0.0864061578006501,0.327710023014717
"TGFB",-0.201441978407943,-0.201441978407943,0.310245524264864,0.313673116381402,0.313673116381402,0.313673116381402,0.313673116381402,0.313673116381402,0.313673116381402,-0.315423888780991,-0.418930010464584,0.199491729465701,-0.310245524264864,-0.310245524264864,0.086937450011366,0.427030512262459
"MIR34",-0.201441978407943,-0.201441978407943,0.310245524264864,0.313673116381402,0.313673116381402,0.313673116381402,0.313673116381402,0.313673116381402,0.313673116381402,-0.315423888780991,-0.418930010464584,0.199491729465701,-0.310245524264864,-0.310245524264864,0.086937450011366,0.427030512262459
"HAS2",0.135577865271983,0.135577865271983,0.169140383426098,0.0643057778281333,0.0643057778281333,0.0643057778281333,0.0643057778281333,0.0643057778281333,0.0643057778281333,-0.0613321159759668,-0.0193939162613218,-0.0327451453212102,-0.0691403834260977,-0.0691403834260977,-0.13416295912252,-0.204242922236557
"MIR1199",0.137130376687508,0.137130376687508,0.0643057778281333,0.0613321159759668,0.0613321159759668,0.0613321159759668,0.0613321159759668,0.0613321159759668,0.0613321159759668,-0.0595745943793031,-0.0162326939220172,-0.0341944206835291,-0.0643057778281333,-0.0643057778281333,-0.133636088732636,-0.206040462444694
"HA",0.137130376687508,0.137130376687508,0.0643057778281333,0.0613321159759668,0.0613321159759668,0.0613321159759668,0.0613321159759668,0.0613321159759668,0.0613321159759668,-0.0595745943793031,-0.0162326939220172,-0.0341944206835291,-0.0643057778281333,-0.0643057778281333,-0.133636088732636,-0.206040462444694
"CD44s",0.137130376687508,0.137130376687508,0.0643057778281333,0.0613321159759668,0.0613321159759668,0.0613321159759668,0.0613321159759668,0.0613321159759668,0.0613321159759668,-0.0595745943793031,-0.0162326939220172,-0.0341944206835291,-0.0643057778281333,-0.0643057778281333,-0.133636088732636,-0.206040462444694
"ZEB1",-0.137784786160864,-0.137784786160864,-0.0613321159759668,-0.0595745943793031,-0.0595745943793031,-0.0595745943793031,-0.0595745943793031,-0.0595745943793031,-0.0595745943793031,-0.0414338603420985,0.0144597090929184,0.0350074288136104,0.0613321159759668,0.0613321159759668,0.133252246656233,0.207017342939646
"GRHL2",-0.0996359514576073,-0.0996359514576073,0.0186848644859116,0.0197039727661664,0.0197039727661664,0.0197039727661664,0.0197039727661664,0.0197039727661664,0.0197039727661664,-0.0202333066876485,-0.0426856245434405,0.0167620395308607,-0.0186848644859116,-0.118684864485912,0.016812493803198,0.128797963675433
"MIR340",-0.137130376687508,-0.137130376687508,-0.0643057778281333,-0.0613321159759668,-0.0613321159759668,-0.0613321159759668,-0.0613321159759668,-0.0613321159759668,-0.0613321159759668,0.0595745943793031,0.0162326939220172,0.0341944206835291,0.0643057778281333,0.0643057778281333,0.133636088732636,0.206040462444694
"CD24",-0.137130376687508,-0.137130376687508,-0.0643057778281333,-0.0613321159759668,-0.0613321159759668,-0.0613321159759668,-0.0613321159759668,-0.0613321159759668,-0.0613321159759668,0.0595745943793031,0.0162326939220172,0.0341944206835291,0.0643057778281333,0.0643057778281333,0.133636088732636,0.206040462444694
"ESRP1",-0.135577865271983,-0.135577865271983,-0.0691403834260977,-0.0643057778281333,-0.0643057778281333,-0.0643057778281333,-0.0643057778281333,-0.0643057778281333,-0.0643057778281333,0.0613321159759668,0.0193939162613218,0.0327451453212102,-0.0308596165739023,0.0691403834260977,0.13416295912252,0.204242922236557
"MIR200",0.0988195601011429,0.0988195601011429,-0.179310134653096,-0.179968362501197,-0.179968362501197,-0.179968362501197,-0.179968362501197,-0.179968362501197,-0.179968362501197,0.180337366191234,0.269018872975158,-0.213524153445368,0.179310134653096,0.179310134653096,0.0265943588471054,-0.148856612500669
"MIR190",0.200078142068304,0.200078142068304,-0.304230486670879,-0.310245524264864,-0.310245524264864,-0.310245524264864,-0.310245524264864,-0.310245524264864,-0.310245524264864,0.313673116381402,0.415656902321091,-0.298116670195905,0.304230486670879,0.304230486670879,-0.0878539202915441,-0.425637754602292
"TWIST1",0.177131384265924,0.0288744466152778,-0.324685997966858,-0.326615338984147,-0.326615338984147,-0.326615338984147,-0.326615338984147,-0.326615338984147,-0.326615338984147,0.32753739883105,0.330603450069093,-0.100536404170209,0.324685997966858,0.324685997966858,0.0211346578859676,-0.337725761475931
