"","TWIST1","MIR34","MIR200","MIR129","ZEB1","MIR190","MIR1199","HA","CD44s","CD24","MIR340","HAS2","GRHL2","ESRP1","TGFB","SNAIL1"
"TGFB",-0.11247968274395,-0.0388975394889473,-0.0388975394889473,-0.034370254205418,-0.0904619397024219,0.0897116086740271,0.0897116086740271,0.0912540251264692,0.0912540251264692,-0.0912540251264692,-0.0897116086740271,-0.0897116086740271,-0.0897116086740271,-0.0897116086740271,0.0280420308331854,0.065920371563609
"SNAIL1",-0.112616440075663,-0.0383662472782314,-0.0383662472782314,-0.0342334968737055,-0.090209363424386,0.0904619397024219,0.0904619397024219,0.0897116086740271,0.0897116086740271,-0.0897116086740271,-0.0904619397024219,-0.0904619397024219,-0.0904619397024219,-0.0904619397024219,0.0294884797199073,-0.0341195996571121
"ZEB1",-0.154456739108823,-0.104408339075173,-0.104408339075173,-0.0908677016677369,-0.0571561019201188,-0.0430578127177543,-0.0430578127177543,-0.0427301391997322,-0.0427301391997322,0.0427301391997322,0.0430578127177543,0.0430578127177543,0.0430578127177543,0.0430578127177543,0.0798834046271102,0.143771308098179
"MIR200",0.164843048334952,0.197777407951905,0.197777407951905,0.0814138054765614,-0.0556498759666235,0.0548240105651123,0.0548240105651123,0.0560898333499224,0.0560898333499224,-0.0560898333499224,-0.0548240105651123,-0.0548240105651123,-0.0548240105651123,-0.0548240105651123,-0.283827305097112,-0.155684962016578
"MIR340",0.154300927329453,0.103987940610541,0.103987940610541,0.0903379416178772,-0.0430578127177543,0.0427301391997322,0.0427301391997322,0.0426451774325275,0.0426451774325275,-0.0426451774325275,-0.0427301391997322,-0.0427301391997322,-0.0427301391997322,-0.0427301391997322,-0.080111046903533,-0.143999246880334
"HA",0.154300927329453,0.103987940610541,0.103987940610541,0.0903379416178772,-0.0430578127177543,0.0427301391997322,0.0427301391997322,0.0426451774325275,0.0426451774325275,-0.0426451774325275,-0.0427301391997322,-0.0427301391997322,-0.0427301391997322,-0.0427301391997322,-0.080111046903533,-0.143999246880334
"CD24",0.154300927329453,0.103987940610541,0.103987940610541,0.0903379416178772,-0.0430578127177543,0.0427301391997322,0.0427301391997322,0.0426451774325275,0.0426451774325275,-0.0426451774325275,-0.0427301391997322,-0.0427301391997322,-0.0427301391997322,-0.0427301391997322,-0.080111046903533,-0.143999246880334
"ESRP1",0.154757548334019,0.104409436922448,0.104409436922448,0.0909772110242699,-0.0427301391997322,0.0426451774325275,0.0426451774325275,0.0413729128014842,-0.0586270871985158,-0.0413729128014842,-0.0426451774325275,-0.0426451774325275,-0.0426451774325275,-0.0426451774325275,-0.0790482449711659,-0.143431602604081
"GRHL2",-0.110499238298413,-0.00510137933662629,-0.00510137933662629,-0.0747934185891886,-0.0202612614388947,0.0204818172395122,0.0204818172395122,0.0202270401694485,0.0202270401694485,0.0797729598305515,-0.0204818172395122,-0.0204818172395122,-0.0204818172395122,-0.0204818172395122,-0.00559884197121653,0.0973432036113691
"HAS2",-0.154757548334019,-0.104409436922448,-0.104409436922448,-0.0909772110242699,0.0427301391997322,-0.0426451774325275,-0.0426451774325275,-0.141372912801484,-0.0413729128014842,0.0413729128014842,0.0426451774325275,0.0426451774325275,0.0426451774325275,0.0426451774325275,0.0790482449711659,0.143431602604081
"MIR1199",-0.154300927329453,-0.103987940610541,-0.103987940610541,-0.0903379416178772,0.0430578127177543,-0.0427301391997322,-0.0427301391997322,-0.0426451774325275,-0.0426451774325275,0.0426451774325275,0.0427301391997322,0.0427301391997322,0.0427301391997322,0.0427301391997322,0.080111046903533,0.143999246880334
"CD44s",-0.154300927329453,-0.103987940610541,-0.103987940610541,-0.0903379416178772,0.0430578127177543,-0.0427301391997322,-0.0427301391997322,-0.0426451774325275,-0.0426451774325275,0.0426451774325275,0.0427301391997322,0.0427301391997322,0.0427301391997322,0.0427301391997322,0.080111046903533,0.143999246880334
"MIR190",0.112435688023317,0.0375097416361063,0.0375097416361063,0.0336223439546481,0.0897116086740271,-0.0912540251264692,-0.0912540251264692,-0.0879958797630607,-0.0879958797630607,0.0879958797630607,0.0912540251264692,0.0912540251264692,0.0912540251264692,0.0912540251264692,-0.131218891904783,-0.0661060725849646
"MIR34",0.11247968274395,0.0388975394889473,0.0388975394889473,0.034370254205418,0.0904619397024219,-0.0897116086740271,-0.0897116086740271,-0.0912540251264692,-0.0912540251264692,0.0912540251264692,0.0897116086740271,0.0897116086740271,0.0897116086740271,0.0897116086740271,-0.0280420308331854,-0.065920371563609
"MIR129",0.0852392344497608,-0.0890718792489599,-0.0890718792489599,-0.0292893825783432,0.175014507147436,-0.175590803814938,-0.175590803814938,-0.173802428256071,-0.173802428256071,0.173802428256071,0.175590803814938,0.175590803814938,0.175590803814938,0.175590803814938,0.115953891419285,0.00575581658815411
"TWIST1",-0.0147084642950091,-0.08848672372078,-0.08848672372078,-0.0289493354949009,0.175345056903873,-0.175014507147436,-0.175014507147436,-0.175590803814938,-0.175590803814938,0.175590803814938,0.175014507147436,0.175014507147436,0.175014507147436,0.175014507147436,0.117559977640756,0.00590677034141334
