"","TWIST1","MIR200","TGFB","MIR190","HAS2","GRHL2","CD44s","CD24","ZEB1","MIR34","HA","MIR340","MIR1199","ESRP1","SNAIL1","MIR129"
"TWIST1",0.0290322870843807,0.0898501555836669,0.117476789009131,0.174175977897538,0.174175977897538,0.174175977897538,0.174351372535473,0.174351372535473,-0.174384746164761,-0.0791074071494013,-0.174351372535473,-0.174175977897538,-0.174175977897538,-0.174175977897538,-0.0137428306296239,-0.0550450284697946
"MIR200",0.145664854227642,0.195363960146408,0.296715501989741,0.100145074051247,0.100145074051247,0.100145074051247,0.099891909494285,0.099891909494285,-0.100373504906984,0.00129527261245299,-0.099891909494285,-0.100145074051247,-0.100145074051247,-0.100145074051247,-0.0952141795018973,-0.145664854227642
"MIR340",0.140589335027047,0.106138850619822,0.0906749956983664,0.065342093435531,0.065342093435531,0.065342093435531,0.0659368258059643,0.0659368258059643,-0.065669766953553,-0.0560354459468864,-0.0659368258059643,-0.065342093435531,-0.065342093435531,-0.065342093435531,-0.101461443938591,-0.140589335027047
"MIR1199",0.140589335027047,0.106138850619822,0.0906749956983664,0.065342093435531,0.065342093435531,0.065342093435531,0.0659368258059643,0.0659368258059643,-0.065669766953553,-0.0560354459468864,-0.0659368258059643,-0.065342093435531,-0.065342093435531,-0.065342093435531,-0.101461443938591,-0.140589335027047
"HA",0.140589335027047,0.106138850619822,0.0906749956983664,0.065342093435531,0.065342093435531,0.065342093435531,0.0659368258059643,0.0659368258059643,-0.065669766953553,-0.0560354459468864,-0.0659368258059643,-0.065342093435531,-0.065342093435531,-0.065342093435531,-0.101461443938591,-0.140589335027047
"CD44s",0.140589335027047,0.106138850619822,0.0906749956983664,0.065342093435531,0.065342093435531,0.065342093435531,0.0659368258059643,0.0659368258059643,-0.065669766953553,-0.0560354459468864,-0.0659368258059643,-0.065342093435531,-0.065342093435531,-0.065342093435531,-0.101461443938591,-0.140589335027047
"ZEB1",-0.140246549112431,-0.106010903261021,-0.0902522314707241,-0.065669766953553,-0.065669766953553,-0.065669766953553,-0.065342093435531,-0.065342093435531,-0.0339940814726464,0.0565655135762046,0.065342093435531,0.065669766953553,0.065669766953553,0.065669766953553,0.101363755889096,0.140246549112431
"SNAIL1",-0.0926808812357697,-0.0395771880632493,-0.0566221916205893,0.00885150459358549,0.00885150459358549,0.00885150459358549,0.00845427051972938,0.00845427051972938,-0.00886160764470693,-0.0498922661312183,-0.00845427051972938,-0.00885150459358549,-0.00885150459358549,-0.00885150459358549,-0.107714078122343,0.0926808812357697
"MIR34",-0.0924833428677405,-0.0397482821650053,-0.0563459036309908,0.00845427051972938,0.00845427051972938,0.00845427051972938,0.00853996032264284,0.00853996032264284,-0.00885150459358549,-0.0495770927858784,-0.00853996032264284,-0.00845427051972938,-0.00845427051972938,-0.00845427051972938,-0.00765811841333389,0.0924833428677405
"MIR190",0.0922633692645729,0.0393555091877861,0.155539834403869,-0.00853996032264284,-0.00853996032264284,-0.00853996032264284,-0.0100437197211391,-0.0100437197211391,0.00845427051972938,0.049289059269251,0.0100437197211391,0.00853996032264284,0.00853996032264284,0.00853996032264284,0.00784381943468951,-0.0922633692645729
"TGFB",0.0924833428677405,0.0397482821650053,0.0563459036309908,-0.00845427051972938,-0.00845427051972938,-0.00845427051972938,-0.00853996032264284,-0.00853996032264284,0.00885150459358549,0.0495770927858784,0.00853996032264284,0.00845427051972938,0.00845427051972938,0.00845427051972938,0.00765811841333389,-0.0924833428677405
"GRHL2",0.103401244071334,0.00582045221429311,-0.00125273208984498,-0.010083724884772,-0.010083724884772,-0.010083724884772,-0.010083724884772,0.089916275115228,0.0096867244436604,0.019225440302528,0.010083724884772,0.010083724884772,0.010083724884772,0.010083724884772,-0.0750210976338383,-0.103401244071334
"HAS2",-0.139950065620654,-0.106454972853753,-0.0915445609157577,-0.0659368258059643,-0.0659368258059643,-0.0659368258059643,-0.0677179962894249,-0.0677179962894249,0.065342093435531,0.0564569422587936,-0.0322820037105751,0.0659368258059643,0.0659368258059643,0.0659368258059643,0.102312910352971,0.139950065620654
"ESRP1",-0.139950065620654,-0.106454972853753,-0.0915445609157577,-0.0659368258059643,-0.0659368258059643,-0.0659368258059643,-0.167717996289425,-0.0677179962894249,0.065342093435531,0.0564569422587936,0.0677179962894249,0.0659368258059643,0.0659368258059643,0.0659368258059643,0.102312910352971,0.139950065620654
"CD24",-0.140589335027047,-0.106138850619822,-0.0906749956983664,-0.065342093435531,-0.065342093435531,-0.065342093435531,-0.0659368258059643,-0.0659368258059643,0.065669766953553,0.0560354459468864,0.0659368258059643,0.065342093435531,0.065342093435531,0.065342093435531,0.101461443938591,0.140589335027047
"MIR129",-0.12892768457392,-0.0900657391993121,-0.118012151082955,-0.174351372535473,-0.174351372535473,-0.174351372535473,-0.175394591611479,-0.175394591611479,0.174175977897538,0.0791074071494013,0.175394591611479,0.174351372535473,0.174351372535473,0.174351372535473,0.0139761227937518,0.0549665560659233
