"","MIR34","MIR129","HA","MIR340","MIR1199","HAS2","GRHL2","ZEB1","MIR200","TGFB","MIR190","ESRP1","CD44s","CD24","TWIST1","SNAIL1"
"MIR200",-0.0085216700641649,-0.0588632486055459,0.0755766684680168,0.0755260355566244,0.0755260355566244,0.0755260355566244,0.0755260355566244,-0.0753678911180372,-0.188825021882606,0.0844297965812745,-0.0755260355566244,-0.0755260355566244,-0.0755766684680168,-0.0755766684680168,0.117003938067513,0.0963460887010234
"MIR190",-0.232308336722507,-0.151506996222157,0.0566229469455276,0.0566229469455276,0.0566229469455276,0.0566229469455276,0.0566229469455276,-0.0563658775367872,-0.287210789692148,0.138425489227268,-0.0566229469455276,-0.0566229469455276,-0.0566229469455276,-0.0566229469455276,0.367843748380982,0.45096632951672
"SNAIL1",-0.237930077540915,-0.154720756749286,0.0563658775367872,0.0560569177015658,0.0560569177015658,0.0560569177015658,0.0560569177015658,-0.0558851658325013,-0.292140104114373,0.243279012205454,-0.0560569177015658,-0.0560569177015658,-0.0563658775367872,-0.0563658775367872,0.37852005907904,0.359939534547259
"HAS2",0.175809577882018,0.168062768603945,0.153184910327767,0.054966080811228,0.054966080811228,0.054966080811228,0.054966080811228,-0.0548811190440233,0.0276111381915348,0.00645777481477278,-0.054966080811228,-0.054966080811228,-0.0531849103277675,-0.0531849103277675,-0.297677068030009,-0.320724356446623
"ESRP1",0.175809577882018,0.168062768603945,0.0531849103277675,0.054966080811228,0.054966080811228,0.054966080811228,0.054966080811228,-0.0548811190440233,0.0276111381915348,0.00645777481477278,-0.054966080811228,-0.054966080811228,0.0468150896722325,-0.0531849103277675,-0.297677068030009,-0.320724356446623
"MIR340",0.178654677987392,0.170345873626776,0.054966080811228,0.0548811190440233,0.0548811190440233,0.0548811190440233,0.0548811190440233,-0.0547917535391082,0.0305616123748857,0.00520173616742979,-0.0548811190440233,-0.0548811190440233,-0.054966080811228,-0.054966080811228,-0.303795789491196,-0.326211584450407
"HA",0.178654677987392,0.170345873626776,0.054966080811228,0.0548811190440233,0.0548811190440233,0.0548811190440233,0.0548811190440233,-0.0547917535391082,0.0305616123748857,0.00520173616742979,-0.0548811190440233,-0.0548811190440233,-0.054966080811228,-0.054966080811228,-0.303795789491196,-0.326211584450407
"CD44s",0.178654677987392,0.170345873626776,0.054966080811228,0.0548811190440233,0.0548811190440233,0.0548811190440233,0.0548811190440233,-0.0547917535391082,0.0305616123748857,0.00520173616742979,-0.0548811190440233,-0.0548811190440233,-0.054966080811228,-0.054966080811228,-0.303795789491196,-0.326211584450407
"CD24",0.178654677987392,0.170345873626776,0.054966080811228,0.0548811190440233,0.0548811190440233,0.0548811190440233,0.0548811190440233,-0.0547917535391082,0.0305616123748857,0.00520173616742979,-0.0548811190440233,-0.0548811190440233,-0.054966080811228,-0.054966080811228,-0.303795789491196,-0.326211584450407
"ZEB1",-0.180720113922321,-0.171872829064607,-0.0548811190440233,-0.0547917535391082,-0.0547917535391082,-0.0547917535391082,-0.0547917535391082,-0.0452184328722191,-0.0327367174745019,-0.00334807763084442,0.0547917535391082,0.0547917535391082,0.0548811190440233,0.0548811190440233,0.308189681669445,0.329858604964897
"TWIST1",-0.173451696711273,-0.0741186194317681,0.000215182439968022,0.000190126063120115,0.000190126063120115,0.000190126063120115,0.000190126063120115,-6.8344573906475e-05,-0.172907351030016,0.111035503581247,-0.000190126063120115,-0.000190126063120115,-0.000215182439968022,-0.000215182439968022,0.242418313105372,0.385882727942721
"MIR129",0.171265062895443,0.0726799586941275,-0.000513245033112583,-0.000215182439968022,-0.000215182439968022,-0.000215182439968022,-0.000215182439968022,0.000190126063120115,0.170751514873564,-0.109204001749746,0.000215182439968022,0.000215182439968022,0.000513245033112583,0.000513245033112583,-0.337920405155582,-0.382081437974284
"GRHL2",0.039836719596189,0.119223194238856,-0.0144435643859728,-0.0149531185261002,-0.0149531185261002,-0.0149531185261002,-0.0149531185261002,0.0149972296862237,0.0601304124493806,-0.0402239919184902,0.0149531185261002,0.0149531185261002,0.0144435643859728,-0.0855564356140272,-0.191620348496006,-0.190019551920602
"MIR1199",-0.178654677987392,-0.170345873626776,-0.054966080811228,-0.0548811190440233,-0.0548811190440233,-0.0548811190440233,-0.0548811190440233,0.0547917535391082,-0.0305616123748857,-0.00520173616742979,0.0548811190440233,0.0548811190440233,0.054966080811228,0.054966080811228,0.303795789491196,0.326211584450407
"TGFB",0.235633814596295,0.153398769209398,-0.0566229469455276,-0.0563658775367872,-0.0563658775367872,-0.0563658775367872,-0.0563658775367872,0.0560569177015658,0.290222049184161,-0.241507518625087,0.0563658775367872,0.0563658775367872,0.0566229469455276,0.0566229469455276,-0.37431097231411,-0.456398084391371
"MIR34",0.235633814596295,0.153398769209398,-0.0566229469455276,-0.0563658775367872,-0.0563658775367872,-0.0563658775367872,-0.0563658775367872,0.0560569177015658,0.290222049184161,-0.241507518625087,0.0563658775367872,0.0563658775367872,0.0566229469455276,0.0566229469455276,-0.37431097231411,-0.456398084391371
