"","MIR129","HA","MIR340","MIR190","GRHL2","TGFB","ZEB1","MIR34","MIR200","MIR1199","HAS2","ESRP1","CD44s","CD24","SNAIL1","TWIST1"
"TWIST1",-0.323349535178718,0.268667070498712,0.267890322816427,0.267890322816427,0.267890322816427,0.242852255166067,-0.267298812725961,-0.226593656575204,-0.226593656575204,-0.267890322816427,-0.267890322816427,-0.267890322816427,-0.268667070498712,-0.268667070498712,0.167727320214139,0.227137540268668
"GRHL2",0.328148562630253,0.201751032949986,0.198693708109221,0.198693708109221,0.198693708109221,0.15337797530776,-0.197590929106134,-0.117870574364737,-0.117870574364737,-0.198693708109221,-0.198693708109221,-0.198693708109221,-0.201751032949986,-0.301751032949986,-0.283159082802485,-0.328148562630253
"MIR34",-0.27085164260701,0.176393573209104,0.175879434391624,0.175879434391624,0.175879434391624,0.258342130871014,-0.175423350825344,-0.246673690661441,-0.246673690661441,-0.175879434391624,-0.175879434391624,-0.175879434391624,-0.176393573209104,-0.176393573209104,0.204649987698613,0.27085164260701
"SNAIL1",-0.269043406776589,0.175879434391624,0.175423350825344,0.175423350825344,0.175423350825344,0.257415753494125,-0.175079847087215,-0.245926279585349,-0.245926279585349,-0.175423350825344,-0.175423350825344,-0.175423350825344,-0.175879434391624,-0.175879434391624,0.104130361829239,0.269043406776589
"MIR200",-0.0748487929068863,0.158680377078002,0.157718351761546,0.157718351761546,0.157718351761546,0.123733395048856,-0.157068202402909,-0.20247236210733,-0.20247236210733,-0.157718351761546,-0.157718351761546,-0.157718351761546,-0.158680377078002,-0.158680377078002,0.02331191590205,0.0748487929068863
"MIR340",0.304517687415995,0.118730142994047,0.116606098813928,0.116606098813928,0.116606098813928,0.0612322893811561,-0.115861386272969,-0.0241402598892872,-0.0241402598892872,-0.116606098813928,-0.116606098813928,-0.116606098813928,-0.118730142994047,-0.118730142994047,-0.258047891449781,-0.304517687415995
"MIR1199",0.304517687415995,0.118730142994047,0.116606098813928,0.116606098813928,0.116606098813928,0.0612322893811561,-0.115861386272969,-0.0241402598892872,-0.0241402598892872,-0.116606098813928,-0.116606098813928,-0.116606098813928,-0.118730142994047,-0.118730142994047,-0.258047891449781,-0.304517687415995
"HA",0.304517687415995,0.118730142994047,0.116606098813928,0.116606098813928,0.116606098813928,0.0612322893811561,-0.115861386272969,-0.0241402598892872,-0.0241402598892872,-0.116606098813928,-0.116606098813928,-0.116606098813928,-0.118730142994047,-0.118730142994047,-0.258047891449781,-0.304517687415995
"ZEB1",-0.304424200348373,-0.116606098813928,-0.115861386272969,-0.115861386272969,-0.115861386272969,-0.0597038340966033,0.0151585238913859,0.0240488689187151,0.0240488689187151,0.115861386272969,0.115861386272969,0.115861386272969,0.116606098813928,0.116606098813928,0.256875634855837,0.304424200348373
"CD44s",-0.304517687415995,-0.118730142994047,-0.116606098813928,-0.116606098813928,-0.116606098813928,-0.0612322893811561,0.115861386272969,0.0241402598892872,0.0241402598892872,0.116606098813928,0.116606098813928,0.116606098813928,0.118730142994047,0.118730142994047,0.258047891449781,0.304517687415995
"CD24",-0.304517687415995,-0.118730142994047,-0.116606098813928,-0.116606098813928,-0.116606098813928,-0.0612322893811561,0.115861386272969,0.0241402598892872,0.0241402598892872,0.116606098813928,0.116606098813928,0.116606098813928,0.118730142994047,0.118730142994047,0.258047891449781,0.304517687415995
"HAS2",-0.30296517600047,-0.224582560296846,-0.118730142994047,-0.118730142994047,-0.118730142994047,-0.0657733521830885,0.116606098813928,0.0252993747470322,0.0252993747470322,0.118730142994047,0.118730142994047,0.118730142994047,0.124582560296846,0.124582560296846,0.258993965243537,0.30296517600047
"ESRP1",-0.30296517600047,-0.124582560296846,-0.118730142994047,-0.118730142994047,-0.118730142994047,-0.0657733521830885,0.116606098813928,0.0252993747470322,0.0252993747470322,0.118730142994047,0.118730142994047,0.118730142994047,0.224582560296846,0.124582560296846,0.258993965243537,0.30296517600047
"TGFB",0.27085164260701,-0.176393573209104,-0.175879434391624,-0.175879434391624,-0.175879434391624,-0.258342130871014,0.175423350825344,0.246673690661441,0.246673690661441,0.175879434391624,0.175879434391624,0.175879434391624,0.176393573209104,0.176393573209104,-0.204649987698613,-0.27085164260701
"MIR190",0.273799288889456,-0.175641693509856,-0.176393573209104,-0.176393573209104,-0.176393573209104,-0.15876887340302,0.175879434391624,0.247852009593099,0.247852009593099,0.176393573209104,0.176393573209104,0.176393573209104,0.175641693509856,0.175641693509856,-0.205857044337424,-0.273799288889456
"MIR129",0.326462273865613,-0.269561258278146,-0.268667070498712,-0.268667070498712,-0.268667070498712,-0.244458341387538,0.267890322816427,0.227856360609697,0.227856360609697,0.268667070498712,0.268667070498712,0.268667070498712,0.269561258278146,0.269561258278146,-0.168619319665217,-0.330223314327245
