"","MIR200","MIR340","MIR190","MIR1199","HAS2","HA","CD44s","CD24","TWIST1","MIR34","MIR129","TGFB","ZEB1","SNAIL1","GRHL2","ESRP1"
"GRHL2",0.225672129171751,0.206062021747886,0.206062021747886,0.206062021747886,0.206062021747886,0.206062021747886,0.206062021747886,0.106062021747886,0.116674598067616,0.18233508981307,0.0783165537263482,0.0120383720614822,-0.206150244068133,-0.104174764064137,-0.206062021747886,-0.206062021747886
"TWIST1",0.111703766124881,0.197402780488324,0.197402780488324,0.197402780488324,0.197402780488324,0.197477949618868,0.197477949618868,0.197477949618868,0.0122051501972838,0.0859317432353518,-0.0173404582005235,0.00796388289197787,-0.197437575199528,-0.0301605536828009,-0.197402780488324,-0.197402780488324
"MIR129",0.111395789531103,0.197477949618868,0.197477949618868,0.197477949618868,0.197477949618868,0.197328918322296,0.197328918322296,0.197328918322296,0.112100547686823,0.0863321128072644,-0.0181513397071936,0.00827382935577049,-0.197402780488324,-0.0303938458469288,-0.197477949618868,-0.197477949618868
"MIR200",0.23000504044123,0.139516428669464,0.139516428669464,0.139516428669464,0.139516428669464,0.139263264112502,0.139263264112502,0.139263264112502,0.131125379024062,0.0205374286608564,0.0654171196355054,0.203070724388122,-0.139498857065176,-0.114504537692687,-0.139516428669464,-0.139516428669464
"TGFB",0.142917839085648,0.137255313678252,0.137255313678252,0.137255313678252,0.137255313678252,0.137426693284079,0.137426693284079,0.137426693284079,0.100773234441623,-0.00496671958260688,0.0299126055487027,0.0820761803431893,-0.137299450797569,-0.0489039341237959,-0.137255313678252,-0.137255313678252
"MIR34",0.142917839085648,0.137255313678252,0.137255313678252,0.137255313678252,0.137255313678252,0.137426693284079,0.137426693284079,0.137426693284079,0.100773234441623,-0.00496671958260688,0.0299126055487027,0.0820761803431893,-0.137299450797569,-0.0489039341237959,-0.137255313678252,-0.137255313678252
"MIR340",0.113504303136761,0.105272685711744,0.105272685711744,0.105272685711744,0.105272685711744,0.10518772394454,0.10518772394454,0.10518772394454,0.0967262180741633,0.0938257763455227,0.0599671663281655,0.00452302300789822,-0.10536205121666,-0.079102502164332,-0.105272685711744,-0.105272685711744
"CD44s",0.113504303136761,0.105272685711744,0.105272685711744,0.105272685711744,0.105272685711744,0.10518772394454,0.10518772394454,0.10518772394454,0.0967262180741633,0.0938257763455227,0.0599671663281655,0.00452302300789822,-0.10536205121666,-0.079102502164332,-0.105272685711744,-0.105272685711744
"ZEB1",-0.113412912166189,-0.10536205121666,-0.10536205121666,-0.10536205121666,-0.10536205121666,-0.105272685711744,-0.105272685711744,-0.105272685711744,-0.0964457568712963,-0.0940268364807814,-0.0595620557018022,-0.00449050268269496,0.00533149198267764,0.079428128995983,0.10536205121666,0.10536205121666
"HAS2",-0.113504303136761,-0.10518772394454,-0.10518772394454,-0.10518772394454,-0.10518772394454,-0.0054421768707483,-0.105442176870748,-0.105442176870748,-0.0962695970695971,-0.0937204022675459,-0.0600584905290788,-0.0040399312204586,0.105272685711744,0.0794809316818344,0.10518772394454,0.10518772394454
"ESRP1",-0.113504303136761,-0.10518772394454,-0.10518772394454,-0.10518772394454,-0.10518772394454,-0.105442176870748,-0.205442176870748,-0.105442176870748,-0.0962695970695971,-0.0937204022675459,-0.0600584905290788,-0.0040399312204586,0.105272685711744,0.0794809316818344,0.10518772394454,0.10518772394454
"MIR1199",-0.113504303136761,-0.105272685711744,-0.105272685711744,-0.105272685711744,-0.105272685711744,-0.10518772394454,-0.10518772394454,-0.10518772394454,-0.0967262180741633,-0.0938257763455227,-0.0599671663281655,-0.00452302300789822,0.10536205121666,0.079102502164332,0.105272685711744,0.105272685711744
"HA",-0.113504303136761,-0.105272685711744,-0.105272685711744,-0.105272685711744,-0.105272685711744,-0.10518772394454,-0.10518772394454,-0.10518772394454,-0.0967262180741633,-0.0938257763455227,-0.0599671663281655,-0.00452302300789822,0.10536205121666,0.079102502164332,0.105272685711744,0.105272685711744
"CD24",-0.113504303136761,-0.105272685711744,-0.105272685711744,-0.105272685711744,-0.105272685711744,-0.10518772394454,-0.10518772394454,-0.10518772394454,-0.0967262180741633,-0.0938257763455227,-0.0599671663281655,-0.00452302300789822,0.10536205121666,0.079102502164332,0.105272685711744,0.105272685711744
"MIR190",-0.142367956917541,-0.137426693284079,-0.137426693284079,-0.137426693284079,-0.137426693284079,-0.136925440151247,-0.136925440151247,-0.136925440151247,-0.100465271397188,0.00420735849331649,-0.0283727903265294,-0.182597754548974,0.137255313678252,0.049368186677185,0.137426693284079,0.137426693284079
"SNAIL1",-0.14276475488934,-0.137299450797569,-0.137299450797569,-0.137299450797569,-0.137299450797569,-0.137255313678252,-0.137255313678252,-0.137255313678252,-0.10100116332781,0.00475960566995492,-0.0295023335535652,-0.0824824862102461,0.137339863002055,-0.0511999910500789,0.137299450797569,0.137299450797569
