"","MIR34","TWIST1","MIR129","MIR340","MIR190","MIR1199","HAS2","ZEB1","TGFB","GRHL2","ESRP1","HA","CD44s","CD24","MIR200","SNAIL1"
"HAS2",0.0784098922976648,0.0595987933634992,0.0595987933634992,0.0516152331855712,0.0516152331855712,0.0516152331855712,0.0516152331855712,-0.0613858364141184,0.00578053904625913,-0.0516152331855712,-0.0516152331855712,-0.163574520717378,-0.0635745207173779,-0.0635745207173779,-0.0698888889772426,-0.0919829684609594
"ESRP1",0.0784098922976648,0.0595987933634992,0.0595987933634992,0.0516152331855712,0.0516152331855712,0.0516152331855712,0.0516152331855712,-0.0613858364141184,0.00578053904625913,-0.0516152331855712,-0.0516152331855712,-0.0635745207173779,0.0364254792826221,-0.0635745207173779,-0.0698888889772426,-0.0919829684609594
"MIR1199",0.0916870261227439,0.0801467385689787,0.0801467385689787,0.0613858364141184,0.0613858364141184,0.0613858364141184,0.0613858364141184,-0.0525386514275232,0.000659766099399223,-0.0613858364141184,-0.0613858364141184,-0.0516152331855712,-0.0516152331855712,-0.0516152331855712,-0.0687297741194977,-0.0756158918289822
"CD44s",0.0916870261227439,0.0801467385689787,0.0801467385689787,0.0613858364141184,0.0613858364141184,0.0613858364141184,0.0613858364141184,-0.0525386514275232,0.000659766099399223,-0.0613858364141184,-0.0613858364141184,-0.0516152331855712,-0.0516152331855712,-0.0516152331855712,-0.0687297741194977,-0.0756158918289822
"CD24",0.0916870261227439,0.0801467385689787,0.0801467385689787,0.0613858364141184,0.0613858364141184,0.0613858364141184,0.0613858364141184,-0.0525386514275232,0.000659766099399223,-0.0613858364141184,-0.0613858364141184,-0.0516152331855712,-0.0516152331855712,-0.0516152331855712,-0.0687297741194977,-0.0756158918289822
"MIR200",0.0047302757231274,-0.0220894620995434,-0.0220894620995434,0.0697721633590531,0.0697721633590531,0.0697721633590531,0.0697721633590531,-0.0521127010501443,-0.00273061216156832,-0.0697721633590531,-0.0697721633590531,-0.0498734291818379,-0.0498734291818379,-0.0498734291818379,-0.176670962936712,0.0472887937006669
"TGFB",-0.0776380762737751,-0.0772144974761398,-0.0772144974761398,0.0175635398528296,0.0175635398528296,0.0175635398528296,0.0175635398528296,-0.0439428248314966,-0.0771823030080181,-0.0175635398528296,-0.0175635398528296,-0.047897730084192,-0.047897730084192,-0.047897730084192,-0.0942922325732375,0.025727699059318
"ZEB1",-0.0799341473071708,-0.0623530333648653,-0.0623530333648653,-0.0525386514275232,-0.0525386514275232,-0.0525386514275232,-0.0525386514275232,-0.0397706080203733,-0.00511505065224475,0.0525386514275232,0.0525386514275232,0.0613858364141184,0.0613858364141184,0.0613858364141184,0.0696254056311043,0.0898783470552928
"SNAIL1",-0.0426718448464901,-0.0248060489120918,-0.0248060489120918,0.0439428248314966,0.0439428248314966,0.0439428248314966,0.0439428248314966,-0.0209583835302236,-0.0905578921515253,-0.0439428248314966,-0.0439428248314966,-0.0175635398528296,-0.0175635398528296,-0.0175635398528296,-0.0916177616142101,-0.0318628357556152
"MIR190",-0.0375490477322721,-0.0174256721351807,-0.0174256721351807,0.047897730084192,0.047897730084192,0.047897730084192,0.047897730084192,-0.0175635398528296,0.00740755000288756,-0.047897730084192,-0.047897730084192,-0.0130606373523625,-0.0130606373523625,-0.0130606373523625,-0.0912809730812239,0.0742420908884731
"GRHL2",-0.00655767850292184,-0.0726300463833541,-0.0726300463833541,0.00766089949519435,0.00766089949519435,0.00766089949519435,0.00766089949519435,-0.0167477984806377,-0.00125194816427375,-0.00766089949519435,-0.00766089949519435,-0.017979370832774,-0.017979370832774,0.082020629167226,-0.0162197719666395,0.0588015354530629
"TWIST1",0.0398451128657984,0.0777018484142187,-0.0234500336587692,0.0184097774693798,0.0184097774693798,0.0184097774693798,0.0184097774693798,0.00311075141023053,0.00239772928592462,-0.0184097774693798,-0.0184097774693798,0.00602018995733033,0.00602018995733033,0.00602018995733033,0.00707582271557135,-0.0412356951905421
"MIR129",-0.00732278456274938,-0.128643271008361,0.0724952860783349,0.00602018995733033,0.00602018995733033,0.00602018995733033,0.00602018995733033,0.0184097774693798,-0.0149928264964064,-0.00602018995733033,-0.00602018995733033,0.0225938189845475,0.0225938189845475,0.0225938189845475,-0.00458121230596247,0.0807993016129382
"MIR34",0.0776380762737751,0.0772144974761398,0.0772144974761398,-0.0175635398528296,-0.0175635398528296,-0.0175635398528296,-0.0175635398528296,0.0439428248314966,0.0771823030080181,0.0175635398528296,0.0175635398528296,0.047897730084192,0.047897730084192,0.047897730084192,0.0942922325732375,-0.025727699059318
"MIR340",-0.0916870261227439,-0.0801467385689787,-0.0801467385689787,-0.0613858364141184,-0.0613858364141184,-0.0613858364141184,-0.0613858364141184,0.0525386514275232,-0.000659766099399223,0.0613858364141184,0.0613858364141184,0.0516152331855712,0.0516152331855712,0.0516152331855712,0.0687297741194977,0.0756158918289822
"HA",-0.0916870261227439,-0.0801467385689787,-0.0801467385689787,-0.0613858364141184,-0.0613858364141184,-0.0613858364141184,-0.0613858364141184,0.0525386514275232,-0.000659766099399223,0.0613858364141184,0.0613858364141184,0.0516152331855712,0.0516152331855712,0.0516152331855712,0.0687297741194977,0.0756158918289822
