"","MIR190","MIR1199","HAS2","ESRP1","SNAIL1","TWIST1","MIR129","MIR200","MIR34","TGFB","ZEB1","MIR340","GRHL2","HA","CD44s","CD24"
"ESRP1",0.343797060809056,0.343797060809056,0.343797060809056,0.343797060809056,0.324414395189763,0.198352604258487,0.198352604258487,0.176062552333029,-0.176062552333029,-0.248220069315404,-0.374128411701155,-0.343797060809056,-0.343797060809056,-0.345578231292517,-0.445578231292517,-0.345578231292517
"MIR1199",0.374128411701155,0.374128411701155,0.374128411701155,0.374128411701155,0.332077592919186,0.203740732112368,0.203740732112368,0.190393426937877,-0.190393426937877,-0.24329253308352,-0.373085814143812,-0.374128411701155,-0.374128411701155,-0.343797060809056,-0.343797060809056,-0.343797060809056
"HA",0.374128411701155,0.374128411701155,0.374128411701155,0.374128411701155,0.332077592919186,0.203740732112368,0.203740732112368,0.190393426937877,-0.190393426937877,-0.24329253308352,-0.373085814143812,-0.374128411701155,-0.374128411701155,-0.343797060809056,-0.343797060809056,-0.343797060809056
"CD24",0.374128411701155,0.374128411701155,0.374128411701155,0.374128411701155,0.332077592919186,0.203740732112368,0.203740732112368,0.190393426937877,-0.190393426937877,-0.24329253308352,-0.373085814143812,-0.374128411701155,-0.374128411701155,-0.343797060809056,-0.343797060809056,-0.343797060809056
"MIR200",0.342843526925275,0.342843526925275,0.342843526925275,0.342843526925275,0.309444485873077,0.177245646617457,0.177245646617457,0.0893851446579661,-0.0893851446579661,-0.235648342384683,-0.342931384946712,-0.342843526925275,-0.342843526925275,-0.322337197811351,-0.322337197811351,-0.322337197811351
"SNAIL1",0.182641232441066,0.182641232441066,0.182641232441066,0.182641232441066,0.0783370205545336,0.0912638692371448,0.0912638692371448,-0.0410166278713748,0.0410166278713748,0.00046977424687388,-0.183550507041995,-0.182641232441066,-0.182641232441066,-0.179919443416496,-0.179919443416496,-0.179919443416496
"MIR190",0.178205647358227,0.178205647358227,0.178205647358227,0.178205647358227,0.175343580659485,0.0899137975426635,0.0899137975426635,-0.042829568429373,0.042829568429373,-0.0940939804031032,-0.179919443416496,-0.178205647358227,-0.178205647358227,-0.172190609764242,-0.172190609764242,-0.172190609764242
"TWIST1",0.0819382764371288,0.0819382764371288,0.0819382764371288,0.0819382764371288,-0.123433804153783,0.0495494203366919,-0.202988740093428,0.121514967304393,-0.121514967304393,-0.10416585800834,-0.0794330572304482,-0.0819382764371288,-0.0819382764371288,-0.0717403310600303,-0.0717403310600303,-0.0717403310600303
"MIR129",-0.0717403310600303,-0.0717403310600303,-0.0717403310600303,-0.0717403310600303,0.125176633850503,-0.148084985190248,0.204427400831069,-0.116494948825798,0.116494948825798,0.108927762770245,0.0819382764371288,0.0717403310600303,0.0717403310600303,0.0768073951434879,0.0768073951434879,0.0768073951434879
"GRHL2",-0.146066024812081,-0.146066024812081,-0.146066024812081,-0.146066024812081,-0.193363690719321,-0.137144589690105,-0.137144589690105,-0.0594762716551141,0.0594762716551141,0.0791841962765937,0.137420237427873,0.146066024812081,0.146066024812081,0.122881311436285,0.122881311436285,0.222881311436285
"TGFB",-0.179919443416496,-0.179919443416496,-0.179919443416496,-0.179919443416496,-0.176922039341007,-0.0903977394696323,-0.0903977394696323,0.0420702073400826,-0.0420702073400826,-0.00159117843995043,0.182641232441066,0.179919443416496,0.179919443416496,0.178205647358227,0.178205647358227,0.178205647358227
"MIR34",-0.179919443416496,-0.179919443416496,-0.179919443416496,-0.179919443416496,-0.176922039341007,-0.0903977394696323,-0.0903977394696323,0.0420702073400826,-0.0420702073400826,-0.00159117843995043,0.182641232441066,0.179919443416496,0.179919443416496,0.178205647358227,0.178205647358227,0.178205647358227
"ZEB1",-0.373085814143812,-0.373085814143812,-0.373085814143812,-0.373085814143812,-0.337352747591931,-0.206950454767401,-0.206950454767401,-0.186792622697335,0.186792622697335,0.263747817636366,0.289088666338984,0.373085814143812,0.373085814143812,0.374128411701155,0.374128411701155,0.374128411701155
"MIR340",-0.374128411701155,-0.374128411701155,-0.374128411701155,-0.374128411701155,-0.332077592919186,-0.203740732112368,-0.203740732112368,-0.190393426937877,0.190393426937877,0.24329253308352,0.373085814143812,0.374128411701155,0.374128411701155,0.343797060809056,0.343797060809056,0.343797060809056
"CD44s",-0.374128411701155,-0.374128411701155,-0.374128411701155,-0.374128411701155,-0.332077592919186,-0.203740732112368,-0.203740732112368,-0.190393426937877,0.190393426937877,0.24329253308352,0.373085814143812,0.374128411701155,0.374128411701155,0.343797060809056,0.343797060809056,0.343797060809056
"HAS2",-0.343797060809056,-0.343797060809056,-0.343797060809056,-0.343797060809056,-0.324414395189763,-0.198352604258487,-0.198352604258487,-0.176062552333029,0.176062552333029,0.248220069315404,0.374128411701155,0.343797060809056,0.343797060809056,0.245578231292517,0.345578231292517,0.345578231292517
