"","MIR129","SNAIL1","ZEB1","MIR34","MIR200","MIR340","MIR190","MIR1199","HAS2","CD44s","HA","CD24","GRHL2","ESRP1","TGFB","TWIST1"
"GRHL2",0.133858565005106,0.117155959070127,-0.11943700429582,0.113386330039132,0.113386330039132,0.119216448495203,0.119216448495203,0.119216448495203,0.119216448495203,0.121254665055712,-0.121254665055712,-0.0212546650557122,-0.119216448495203,-0.119216448495203,-0.118430919235447,-0.0895306824928315
"ZEB1",-0.111639038278364,-0.0905933789440822,-0.0725893920215877,-0.0281094721306286,-0.0281094721306286,-0.0269318466460297,-0.0269318466460297,-0.0269318466460297,-0.0269318466460297,-0.0261871341050705,0.0261871341050705,0.0261871341050705,0.0269318466460297,0.0269318466460297,0.0273358135137834,0.0672880868337725
"TGFB",-0.0662684686685048,-0.00151973235031817,-0.0619467997419125,0.0829714080981357,0.0829714080981357,0.0620203616074414,0.0620203616074414,0.0620203616074414,0.0620203616074414,0.062705880030749,-0.062705880030749,-0.062705880030749,-0.0620203616074414,-0.0620203616074414,-0.109975697440148,0.0138140046111578
"MIR200",0.118711711598108,0.0956920189207415,-0.0448194976376444,-0.0416937486131575,-0.0416937486131575,0.044099061861858,0.044099061861858,0.044099061861858,0.044099061861858,0.0452636188238834,-0.0452636188238834,-0.0452636188238834,-0.044099061861858,-0.044099061861858,-0.0526448771028958,-0.058982313622853
"CD24",0.113165993716195,0.0917005101716954,-0.0269318466460297,0.0271041714543354,0.0271041714543354,0.0261871341050705,0.0261871341050705,0.0261871341050705,0.0261871341050705,0.0274615606131419,-0.0274615606131419,-0.0274615606131419,-0.0261871341050705,-0.0261871341050705,-0.0286691468471167,-0.0691889905420929
"HAS2",0.110334943487885,0.0931196208623292,-0.0261871341050705,0.028474034468034,0.028474034468034,0.0274615606131419,0.0274615606131419,0.0274615606131419,0.0274615606131419,0.0317872603586889,-0.131787260358689,-0.0317872603586889,-0.0274615606131419,-0.0274615606131419,-0.0337899197939766,-0.0709241503594445
"ESRP1",0.110334943487885,0.0931196208623292,-0.0261871341050705,0.028474034468034,0.028474034468034,0.0274615606131419,0.0274615606131419,0.0274615606131419,0.0274615606131419,-0.0682127396413111,-0.0317872603586889,-0.0317872603586889,-0.0274615606131419,-0.0274615606131419,-0.0337899197939766,-0.0709241503594445
"MIR129",-0.151440044584461,-0.00393648326367551,-0.0190652576917782,0.011830085792942,0.011830085792942,0.0193408778371052,0.0193408778371052,0.0193408778371052,0.0193408778371052,0.017105408388521,-0.017105408388521,-0.017105408388521,-0.0193408778371052,-0.0193408778371052,-0.0124747081787655,0.0211525649566955
"TWIST1",-0.151466202052418,-0.00293469926477335,-0.0185433370237197,0.0116760974960526,0.0116760974960526,0.0190652576917782,0.0190652576917782,0.0190652576917782,0.0190652576917782,0.0193408778371052,-0.0193408778371052,-0.0193408778371052,-0.0190652576917782,-0.0190652576917782,-0.0144189178152828,-0.0795273513612961
"MIR340",-0.113165993716195,-0.0917005101716954,0.0269318466460297,-0.0271041714543354,-0.0271041714543354,-0.0261871341050705,-0.0261871341050705,-0.0261871341050705,-0.0261871341050705,-0.0274615606131419,0.0274615606131419,0.0274615606131419,0.0261871341050705,0.0261871341050705,0.0286691468471167,0.0691889905420929
"MIR1199",-0.113165993716195,-0.0917005101716954,0.0269318466460297,-0.0271041714543354,-0.0271041714543354,-0.0261871341050705,-0.0261871341050705,-0.0261871341050705,-0.0261871341050705,-0.0274615606131419,0.0274615606131419,0.0274615606131419,0.0261871341050705,0.0261871341050705,0.0286691468471167,0.0691889905420929
"HA",-0.113165993716195,-0.0917005101716954,0.0269318466460297,-0.0271041714543354,-0.0271041714543354,-0.0261871341050705,-0.0261871341050705,-0.0261871341050705,-0.0261871341050705,-0.0274615606131419,0.0274615606131419,0.0274615606131419,0.0261871341050705,0.0261871341050705,0.0286691468471167,0.0691889905420929
"CD44s",-0.113165993716195,-0.0917005101716954,0.0269318466460297,-0.0271041714543354,-0.0271041714543354,-0.0261871341050705,-0.0261871341050705,-0.0261871341050705,-0.0261871341050705,-0.0274615606131419,0.0274615606131419,0.0274615606131419,0.0261871341050705,0.0261871341050705,0.0286691468471167,0.0691889905420929
"SNAIL1",0.065918977709684,-0.0980245957334615,0.0618558722818195,-0.0826202149418998,-0.0826202149418998,-0.0619467997419125,-0.0619467997419125,-0.0619467997419125,-0.0619467997419125,-0.0620203616074414,0.0620203616074414,0.0620203616074414,0.0619467997419125,0.0619467997419125,0.109504382634362,-0.0136164662431286
"MIR34",0.0662684686685048,0.00151973235031817,0.0619467997419125,-0.0829714080981357,-0.0829714080981357,-0.0620203616074414,-0.0620203616074414,-0.0620203616074414,-0.0620203616074414,-0.062705880030749,0.062705880030749,0.062705880030749,0.0620203616074414,0.0620203616074414,0.109975697440148,-0.0138140046111578
"MIR190",0.0671923578018088,0.00230896169107954,0.0620203616074414,-0.083311811345059,-0.083311811345059,-0.062705880030749,-0.062705880030749,-0.062705880030749,-0.062705880030749,-0.0617033737650848,0.0617033737650848,0.0617033737650848,0.062705880030749,0.062705880030749,0.00992828160325802,-0.013330062684189
