"","SNAIL1","TWIST1","MIR200","TGFB","MIR340","MIR190","HAS2","GRHL2","CD44s","MIR129","ZEB1","HA","CD24","MIR1199","ESRP1","MIR34"
"SNAIL1",0.272185967063521,0.313241267628864,0.372472792473719,0.373176533792614,0.287384927707629,0.287384927707629,0.287384927707629,0.287384927707629,0.28486911190654,0.126197247850894,-0.289466156238645,-0.28486911190654,-0.28486911190654,-0.287384927707629,-0.287384927707629,-0.372472792473719
"TGFB",0.367525322727443,0.308272417909977,0.36846558851154,0.367764539643418,0.28486911190654,0.28486911190654,0.28486911190654,0.28486911190654,0.279984793140473,0.123690030102831,-0.287384927707629,-0.279984793140473,-0.279984793140473,-0.28486911190654,-0.28486911190654,-0.36846558851154
"MIR190",0.361165062746013,0.303476993360922,0.36273110304414,0.458328788102404,0.279984793140473,0.279984793140473,0.279984793140473,0.279984793140473,0.270460983616664,0.121358309909254,-0.28486911190654,-0.270460983616664,-0.270460983616664,-0.279984793140473,-0.279984793140473,-0.36273110304414
"MIR200",0.368021463074254,0.328829105692567,0.374405656615351,0.450080353709309,0.229301616166404,0.229301616166404,0.229301616166404,0.229301616166404,0.223478831356278,0.165575160969276,-0.233606659216835,-0.223478831356278,-0.223478831356278,-0.229301616166404,-0.229301616166404,-0.374405656615351
"MIR1199",0.282169564418741,0.268194429475977,0.228259937161319,0.196682502023361,0.159623374990939,0.159623374990939,0.159623374990939,0.159623374990939,0.156309866069953,0.152746061030026,-0.163525668705565,-0.156309866069953,-0.156309866069953,-0.159623374990939,-0.159623374990939,-0.228259937161319
"HA",0.282169564418741,0.268194429475977,0.228259937161319,0.196682502023361,0.159623374990939,0.159623374990939,0.159623374990939,0.159623374990939,0.156309866069953,0.152746061030026,-0.163525668705565,-0.156309866069953,-0.156309866069953,-0.159623374990939,-0.159623374990939,-0.228259937161319
"CD44s",0.282169564418741,0.268194429475977,0.228259937161319,0.196682502023361,0.159623374990939,0.159623374990939,0.159623374990939,0.159623374990939,0.156309866069953,0.152746061030026,-0.163525668705565,-0.156309866069953,-0.156309866069953,-0.159623374990939,-0.159623374990939,-0.228259937161319
"CD24",0.282169564418741,0.268194429475977,0.228259937161319,0.196682502023361,0.159623374990939,0.159623374990939,0.159623374990939,0.159623374990939,0.156309866069953,0.152746061030026,-0.163525668705565,-0.156309866069953,-0.156309866069953,-0.159623374990939,-0.159623374990939,-0.228259937161319
"GRHL2",0.16746141989,0.173779089482637,0.0624661411119882,0.046228388114838,0.0297563255568391,0.0297563255568391,0.0297563255568391,0.0297563255568391,0.0278454975313614,0.109935816703839,-0.0317854389225206,-0.0278454975313614,-0.127845497531361,-0.0297563255568391,-0.0297563255568391,-0.0624661411119882
"ZEB1",-0.284872267121443,-0.272276698095484,-0.232518756389979,-0.201462989828239,-0.163525668705565,-0.163525668705565,-0.163525668705565,-0.163525668705565,-0.159623374990939,-0.152964197521144,0.0661435764166784,0.159623374990939,0.159623374990939,0.163525668705565,0.163525668705565,0.232518756389979
"TWIST1",-0.206780545197286,-0.183182738975697,-0.142136061552325,-0.11762395224668,-0.0690648514436414,-0.0690648514436414,-0.0690648514436414,-0.0690648514436414,-0.0678872017317897,-0.147446799947201,0.0687864937540102,0.0678872017317897,0.0678872017317897,0.0690648514436414,0.0690648514436414,0.142136061552325
"MIR129",-0.204351562076661,-0.0836011490175381,-0.141119738792855,-0.113707356022392,-0.0678872017317897,-0.0678872017317897,-0.0678872017317897,-0.0678872017317897,-0.0625220750551876,-0.146478973632788,0.0690648514436414,0.0625220750551876,0.0625220750551876,0.0678872017317897,0.0678872017317897,0.141119738792855
"HAS2",-0.277344588070585,-0.259518630389219,-0.222569736950571,-0.191754965791477,-0.156309866069953,-0.156309866069953,-0.156309866069953,-0.156309866069953,-0.154019789734075,-0.150097659203542,0.159623374990939,0.0540197897340754,0.154019789734075,0.156309866069953,0.156309866069953,0.222569736950571
"ESRP1",-0.277344588070585,-0.259518630389219,-0.222569736950571,-0.191754965791477,-0.156309866069953,-0.156309866069953,-0.156309866069953,-0.156309866069953,-0.254019789734075,-0.150097659203542,0.159623374990939,0.154019789734075,0.154019789734075,0.156309866069953,0.156309866069953,0.222569736950571
"MIR340",-0.282169564418741,-0.268194429475977,-0.228259937161319,-0.196682502023361,-0.159623374990939,-0.159623374990939,-0.159623374990939,-0.159623374990939,-0.156309866069953,-0.152746061030026,0.163525668705565,0.156309866069953,0.156309866069953,0.159623374990939,0.159623374990939,0.228259937161319
"MIR34",-0.367525322727443,-0.308272417909977,-0.36846558851154,-0.367764539643418,-0.28486911190654,-0.28486911190654,-0.28486911190654,-0.28486911190654,-0.279984793140473,-0.123690030102831,0.287384927707629,0.279984793140473,0.279984793140473,0.28486911190654,0.28486911190654,0.36846558851154
