"","MIR1199","HAS2","GRHL2","ESRP1","CD44s","TGFB","TWIST1","SNAIL1","MIR129","ZEB1","MIR200","MIR34","HA","CD24","MIR340","MIR190"
"GRHL2",0.35059418625564,0.35059418625564,0.35059418625564,0.35059418625564,0.348173804090034,0.31162505330873,0.11088760036922,0.096724804087347,-0.0749247656087904,-0.351696965258727,-0.287119010904346,-0.325011477316342,-0.348173804090034,-0.448173804090034,-0.35059418625564,-0.35059418625564
"MIR340",0.242317772186605,0.242317772186605,0.242317772186605,0.242317772186605,0.240703498609714,0.209614365996763,0.0906857744994731,0.0719060228777154,-0.0564225008405508,-0.243241215737394,-0.18884562178668,-0.202483980259136,-0.240703498609714,-0.240703498609714,-0.242317772186605,-0.242317772186605
"MIR1199",0.242317772186605,0.242317772186605,0.242317772186605,0.242317772186605,0.240703498609714,0.209614365996763,0.0906857744994731,0.0719060228777154,-0.0564225008405508,-0.243241215737394,-0.18884562178668,-0.202483980259136,-0.240703498609714,-0.240703498609714,-0.242317772186605,-0.242317772186605
"HA",0.242317772186605,0.242317772186605,0.242317772186605,0.242317772186605,0.240703498609714,0.209614365996763,0.0906857744994731,0.0719060228777154,-0.0564225008405508,-0.243241215737394,-0.18884562178668,-0.202483980259136,-0.240703498609714,-0.240703498609714,-0.242317772186605,-0.242317772186605
"CD44s",0.242317772186605,0.242317772186605,0.242317772186605,0.242317772186605,0.240703498609714,0.209614365996763,0.0906857744994731,0.0719060228777154,-0.0564225008405508,-0.243241215737394,-0.18884562178668,-0.202483980259136,-0.240703498609714,-0.240703498609714,-0.242317772186605,-0.242317772186605
"ESRP1",0.240703498609714,0.240703498609714,0.240703498609714,0.240703498609714,0.33586889301175,0.20603948676971,0.0915076923076923,0.072000630257091,-0.0574270670505965,-0.242317772186605,-0.187265010617028,-0.202062483947228,-0.23586889301175,-0.23586889301175,-0.240703498609714,-0.240703498609714
"SNAIL1",0.215634307544944,0.215634307544944,0.215634307544944,0.215634307544944,0.214354331084741,-0.00925162982941961,0.246754603655456,0.181110359462038,-0.0925598951242943,-0.216402139430173,0.0728719271377728,-0.301102985642427,-0.214354331084741,-0.214354331084741,-0.215634307544944,-0.215634307544944
"MIR190",0.211783636997337,0.211783636997337,0.211783636997337,0.211783636997337,0.208024238501097,-0.113663498908075,0.246279492761151,0.280929572265773,-0.0922975178570971,-0.214354331084741,0.0749547663364098,-0.298476779249335,-0.208024238501097,-0.208024238501097,-0.211783636997337,-0.211783636997337
"MIR129",0.0143240748051572,0.0143240748051572,0.0143240748051572,0.0143240748051572,0.0135789183222958,-0.0593745889927274,0.085498469995472,0.208650270205972,-0.147309136666256,-0.0150005969800507,0.0956720836084635,-0.112543370382467,-0.0135789183222958,-0.0135789183222958,-0.0143240748051572,-0.0143240748051572
"TWIST1",-0.0150005969800507,-0.0150005969800507,-0.0150005969800507,-0.0150005969800507,-0.0143240748051572,0.0587828730163961,-0.185864578782083,-0.208746331685319,0.147910758429269,0.0154007361588955,-0.0955180953115741,0.11322091888878,0.0143240748051572,0.0143240748051572,0.0150005969800507,0.0150005969800507
"MIR200",-0.13211059529928,-0.13211059529928,-0.13211059529928,-0.13211059529928,-0.132667557324596,-0.339340064407947,0.161299216261096,0.152230438425037,-0.0805858255546366,0.131601018774943,0.242892678545572,-0.00199710022348943,0.132667557324596,0.132667557324596,0.13211059529928,0.13211059529928
"ZEB1",-0.243241215737394,-0.243241215737394,-0.243241215737394,-0.243241215737394,-0.242317772186605,-0.211207861931722,-0.0902806638731098,-0.0715478333628994,0.0566406373316695,0.14382184118305,0.189448802192456,0.203014047888454,0.242317772186605,0.242317772186605,0.243241215737394,0.243241215737394
"TGFB",-0.214354331084741,-0.214354331084741,-0.214354331084741,-0.214354331084741,-0.211783636997337,0.0110556278791514,-0.246587455805585,-0.281022422776451,0.0926054809015318,0.215634307544944,-0.0736193382138646,0.300283534944544,0.211783636997337,0.211783636997337,0.214354331084741,0.214354331084741
"MIR34",-0.214354331084741,-0.214354331084741,-0.214354331084741,-0.214354331084741,-0.211783636997337,0.0110556278791514,-0.246587455805585,-0.281022422776451,0.0926054809015318,0.215634307544944,-0.0736193382138646,0.300283534944544,0.211783636997337,0.211783636997337,0.214354331084741,0.214354331084741
"HAS2",-0.240703498609714,-0.240703498609714,-0.240703498609714,-0.240703498609714,-0.23586889301175,-0.20603948676971,-0.0915076923076923,-0.072000630257091,0.0574270670505965,0.242317772186605,0.187265010617028,0.202062483947228,0.13586889301175,0.23586889301175,0.240703498609714,0.240703498609714
"CD24",-0.242317772186605,-0.242317772186605,-0.242317772186605,-0.242317772186605,-0.240703498609714,-0.209614365996763,-0.0906857744994731,-0.0719060228777154,0.0564225008405508,0.243241215737394,0.18884562178668,0.202483980259136,0.240703498609714,0.240703498609714,0.242317772186605,0.242317772186605
