"","HA","CD44s","TGFB","MIR1199","GRHL2","ESRP1","MIR129","ZEB1","SNAIL1","TWIST1","MIR34","MIR200","MIR340","MIR190","HAS2","CD24"
"TWIST1",0.186586916006224,0.186586916006224,0.0611784399025082,0.187062987166335,0.187062987166335,0.187062987166335,0.0601148648413863,-0.186871616254713,-0.185979426071574,-0.112986129300023,0.00101182566080404,0.00101182566080404,-0.187062987166335,-0.187062987166335,-0.187062987166335,-0.186586916006224
"MIR200",0.105663326554675,0.105663326554675,-0.0978726877082274,0.103891174655941,0.103891174655941,0.103891174655941,0.180015560577592,-0.102819306794405,-0.132054918013837,-0.180015560577592,0.00274256839157719,0.00274256839157719,-0.103891174655941,-0.103891174655941,-0.103891174655941,-0.105663326554675
"ESRP1",0.0863327149041435,0.186332714904143,0.0849424184109782,0.0972741907311155,0.0972741907311155,0.0972741907311155,0.0629070380599792,-0.0954899936198156,-0.0285171934249665,-0.0629070380599792,-0.0924812144470041,-0.0924812144470041,-0.0972741907311155,-0.0972741907311155,-0.0972741907311155,-0.0863327149041435
"MIR340",0.0972741907311155,0.0972741907311155,0.0945076358022826,0.0954899936198156,0.0954899936198156,0.0954899936198156,0.0619024718499336,-0.0924217779510637,-0.031639236944361,-0.0619024718499336,-0.0917435959011663,-0.0917435959011663,-0.0954899936198156,-0.0954899936198156,-0.0954899936198156,-0.0972741907311155
"HA",0.0972741907311155,0.0972741907311155,0.0945076358022826,0.0954899936198156,0.0954899936198156,0.0954899936198156,0.0619024718499336,-0.0924217779510637,-0.031639236944361,-0.0619024718499336,-0.0917435959011663,-0.0917435959011663,-0.0954899936198156,-0.0954899936198156,-0.0954899936198156,-0.0972741907311155
"CD44s",0.0972741907311155,0.0972741907311155,0.0945076358022826,0.0954899936198156,0.0954899936198156,0.0954899936198156,0.0619024718499336,-0.0924217779510637,-0.031639236944361,-0.0619024718499336,-0.0917435959011663,-0.0917435959011663,-0.0954899936198156,-0.0954899936198156,-0.0954899936198156,-0.0972741907311155
"CD24",0.0972741907311155,0.0972741907311155,0.0945076358022826,0.0954899936198156,0.0954899936198156,0.0954899936198156,0.0619024718499336,-0.0924217779510637,-0.031639236944361,-0.0619024718499336,-0.0917435959011663,-0.0917435959011663,-0.0954899936198156,-0.0954899936198156,-0.0954899936198156,-0.0972741907311155
"MIR190",0.084092340572004,0.084092340572004,-0.15669239802106,0.0823379546070917,0.0823379546070917,0.0823379546070917,0.193723257014062,-0.0841374404682742,-0.129965501077555,-0.193723257014062,0.0787041568319179,0.0787041568319179,-0.0823379546070917,-0.0823379546070917,-0.0823379546070917,-0.084092340572004
"ZEB1",-0.0954899936198156,-0.0954899936198156,-0.0933694244201688,-0.0924217779510637,-0.0924217779510637,-0.0924217779510637,-0.0636164014230093,-0.00599932829320643,0.0310531086473893,0.0636164014230093,0.0886545810958291,0.0886545810958291,0.0924217779510637,0.0924217779510637,0.0924217779510637,0.0954899936198156
"GRHL2",-0.00516961262511001,-0.00516961262511001,-0.00773116439115372,-0.00924604574612911,-0.00924604574612911,-0.00924604574612911,0.0595478820393201,0.0110546033111931,-0.0408267523351407,-0.0595478820393201,0.0127842249381605,0.0127842249381605,0.00924604574612911,0.00924604574612911,0.00924604574612911,-0.09483038737489
"SNAIL1",-0.0841374404682742,-0.0841374404682742,0.0583712099387797,-0.0850054704815153,-0.0850054704815153,-0.0850054704815153,-0.195481454782799,0.0841871233406788,0.02888818575109,0.195481454782799,-0.0772267645332392,-0.0772267645332392,0.0850054704815153,0.0850054704815153,0.0850054704815153,0.0841374404682742
"TGFB",-0.0823379546070917,-0.0823379546070917,0.0593951007237626,-0.0841374404682742,-0.0841374404682742,-0.0841374404682742,-0.195527040560037,0.0850054704815153,0.1289441454601,0.195527040560037,-0.078154274663811,-0.078154274663811,0.0841374404682742,0.0841374404682742,0.0841374404682742,0.0823379546070917
"MIR34",-0.0823379546070917,-0.0823379546070917,0.0593951007237626,-0.0841374404682742,-0.0841374404682742,-0.0841374404682742,-0.195527040560037,0.0850054704815153,0.1289441454601,0.195527040560037,-0.078154274663811,-0.078154274663811,0.0841374404682742,0.0841374404682742,0.0841374404682742,0.0823379546070917
"MIR1199",-0.0972741907311155,-0.0972741907311155,-0.0945076358022826,-0.0954899936198156,-0.0954899936198156,-0.0954899936198156,-0.0619024718499336,0.0924217779510637,0.031639236944361,0.0619024718499336,0.0917435959011663,0.0917435959011663,0.0954899936198156,0.0954899936198156,0.0954899936198156,0.0972741907311155
"HAS2",-0.186332714904143,-0.0863327149041435,-0.0849424184109782,-0.0972741907311155,-0.0972741907311155,-0.0972741907311155,-0.0629070380599792,0.0954899936198156,0.0285171934249665,0.0629070380599792,0.0924812144470041,0.0924812144470041,0.0972741907311155,0.0972741907311155,0.0972741907311155,0.0863327149041435
"MIR129",-0.184947571743929,-0.184947571743929,-0.0602486005111303,-0.186586916006224,-0.186586916006224,-0.186586916006224,-0.0594609281424587,0.187062987166335,0.185526564811796,0.0123585142372617,-0.00101182566080404,-0.00101182566080404,0.186586916006224,0.186586916006224,0.186586916006224,0.184947571743929
