"","MIR200","TGFB","ZEB1","TWIST1","HA","MIR1199","HAS2","GRHL2","ESRP1","SNAIL1","MIR340","MIR190","CD44s","CD24","MIR129","MIR34"
"MIR190",0.00570754047982905,-0.0943012429335028,-0.109409271454741,0.0957028510241133,0.107543424317618,0.108295304016866,0.108295304016866,0.108295304016866,0.108295304016866,-0.00691802389576182,-0.108295304016866,-0.108295304016866,-0.107543424317618,-0.107543424317618,-0.0957028510241133,-0.00570754047982905
"SNAIL1",0.00657043612506551,0.00801628411907012,-0.109059015007881,0.0948468224605025,0.109409271454741,0.109129736365731,0.109129736365731,0.109129736365731,0.109129736365731,-0.105021042461485,-0.109129736365731,-0.109129736365731,-0.109409271454741,-0.109409271454741,-0.0948468224605025,-0.00657043612506551
"ZEB1",-0.0838644565180814,-0.07078740235117,-0.0562519973289508,-0.0468954243476607,-0.043966708593845,-0.0437581890823765,-0.0437581890823765,-0.0437581890823765,-0.0437581890823765,-0.0183203381357376,0.0437581890823765,0.0437581890823765,0.043966708593845,0.043966708593845,0.0468954243476607,0.0838644565180814
"MIR340",0.0833343888887632,0.0713402478796252,-0.0437581890823765,0.0473005349740241,0.0435418997578212,0.043966708593845,0.043966708593845,0.043966708593845,0.043966708593845,0.0186785276505536,-0.043966708593845,-0.043966708593845,-0.0435418997578212,-0.0435418997578212,-0.0473005349740241,-0.0833343888887632
"MIR1199",0.0833343888887632,0.0713402478796252,-0.0437581890823765,0.0473005349740241,0.0435418997578212,0.043966708593845,0.043966708593845,0.043966708593845,0.043966708593845,0.0186785276505536,-0.043966708593845,-0.043966708593845,-0.0435418997578212,-0.0435418997578212,-0.0473005349740241,-0.0833343888887632
"CD44s",0.0833343888887632,0.0713402478796252,-0.0437581890823765,0.0473005349740241,0.0435418997578212,0.043966708593845,0.043966708593845,0.043966708593845,0.043966708593845,0.0186785276505536,-0.043966708593845,-0.043966708593845,-0.0435418997578212,-0.0435418997578212,-0.0473005349740241,-0.0833343888887632
"CD24",0.0833343888887632,0.0713402478796252,-0.0437581890823765,0.0473005349740241,0.0435418997578212,0.043966708593845,0.043966708593845,0.043966708593845,0.043966708593845,0.0186785276505536,-0.043966708593845,-0.043966708593845,-0.0435418997578212,-0.0435418997578212,-0.0473005349740241,-0.0833343888887632
"MIR129",-0.00429727231030975,-0.00111021745866615,-0.00721696738543541,-0.103557094693004,0.00664459161147903,0.00709168550119587,0.00709168550119587,0.00709168550119587,0.00709168550119587,0.0113560666362078,-0.00709168550119587,-0.00709168550119587,-0.00664459161147903,-0.00664459161147903,0.0311950620616154,0.00429727231030975
"TWIST1",0.0034349378477289,0.000574855384842533,0.00716477531862956,0.0048123248185271,-0.00709168550119587,-0.00721696738543541,-0.00721696738543541,-0.00721696738543541,-0.00721696738543541,-0.012851881100322,0.00721696738543541,0.00721696738543541,0.00709168550119587,0.00709168550119587,-0.0324244630555992,-0.0034349378477289
"GRHL2",-0.011665001269309,-0.0131876617690668,0.0198145095943533,0.0507772738291093,-0.0195498426336123,-0.0195498426336123,-0.0195498426336123,-0.0195498426336123,-0.0195498426336123,0.0341099096538597,0.0195498426336123,0.0195498426336123,0.0195498426336123,-0.0804501573663877,-0.0507772738291093,0.011665001269309
"HA",-0.0833343888887632,-0.0713402478796252,0.0437581890823765,-0.0473005349740241,-0.0435418997578212,-0.043966708593845,-0.043966708593845,-0.043966708593845,-0.043966708593845,-0.0186785276505536,0.043966708593845,0.043966708593845,0.0435418997578212,0.0435418997578212,0.0473005349740241,0.0833343888887632
"HAS2",-0.0844935037465082,-0.0700842092322822,0.043966708593845,-0.0452000783530195,0.057730364873222,-0.0435418997578212,-0.0435418997578212,-0.0435418997578212,-0.0435418997578212,-0.0203814604793142,0.0435418997578212,0.0435418997578212,0.042269635126778,0.042269635126778,0.0452000783530195,0.0844935037465082
"ESRP1",-0.0844935037465082,-0.0700842092322822,0.043966708593845,-0.0452000783530195,-0.042269635126778,-0.0435418997578212,-0.0435418997578212,-0.0435418997578212,-0.0435418997578212,-0.0203814604793142,0.0435418997578212,0.0435418997578212,-0.057730364873222,0.042269635126778,0.0452000783530195,0.0844935037465082
"MIR200",-0.0206485800818972,0.0882739603882229,0.0937264122758275,-0.107105182513159,-0.0928355897690491,-0.0933925517943655,-0.0933925517943655,-0.0933925517943655,-0.0933925517943655,-0.0568227083734106,0.0933925517943655,0.0933925517943655,0.0928355897690491,0.0928355897690491,0.107105182513159,0.0206485800818972
"TGFB",-0.00746192644474133,-0.00650482629361912,0.109129736365731,-0.0941630358019399,-0.108295304016866,-0.109409271454741,-0.109409271454741,-0.109409271454741,-0.109409271454741,0.00506101368220565,0.109409271454741,0.109409271454741,0.108295304016866,0.108295304016866,0.0941630358019399,0.00746192644474133
"MIR34",-0.00746192644474133,-0.00650482629361912,0.109129736365731,-0.0941630358019399,-0.108295304016866,-0.109409271454741,-0.109409271454741,-0.109409271454741,-0.109409271454741,0.00506101368220565,0.109409271454741,0.109409271454741,0.108295304016866,0.108295304016866,0.0941630358019399,0.00746192644474133
